-2.0 + 0.0im	1.3062790224424878e-5 + 0.0im
-1.98019801980198 + 0.0im	1.3857283089842839e-5 + 0.0im
-1.96059209881384 + 0.0im	1.4710780311993182e-5 + 0.0im
-1.94118029585529 + 0.0im	1.561138306656659e-5 + 0.0im
-1.92196068896563 + 0.0im	1.656180768240153e-5 + 0.0im
-1.9029313752135 + 0.0im	1.756463513933802e-5 + 0.0im
-1.88409047050841 + 0.0im	1.862249202943071e-5 + 0.0im
-1.86543610941427 + 0.0im	1.9738097049242652e-5 + 0.0im
-1.84696644496462 + 0.0im	2.091427209625209e-5 + 0.0im
-1.82867964847983 + 0.0im	2.215395173293586e-5 + 0.0im
-1.81057390938597 + 0.0im	2.3460192998839846e-5 + 0.0im
-1.79264743503561 + 0.0im	2.4836177115600978e-5 + 0.0im
-1.77489845053031 + 0.0im	2.6285216320488527e-5 + 0.0im
-1.75732519854486 + 0.0im	2.7810757364443888e-5 + 0.0im
-1.73992593915333 + 0.0im	2.9416391110640986e-5 + 0.0im
-1.72269894965676 + 0.0im	3.110585219663032e-5 + 0.0im
-1.70564252441263 + 0.0im	3.28830287204705e-5 + 0.0im
-1.68875497466597 + 0.0im	3.475196283075248e-5 + 0.0im
-1.67203462838215 + 0.0im	3.671686273751033e-5 + 0.0im
-1.65547983008134 + 0.0im	3.878210501388882e-5 + 0.0im
-1.63908894067459 + 0.0im	4.095224039549413e-5 + 0.0im
-1.62286033730158 + 0.0im	4.3232000855171906e-5 + 0.0im
-1.60679241316988 + 0.0im	4.562630558197924e-5 + 0.0im
-1.59088357739592 + 0.0im	4.814027259307739e-5 + 0.0im
-1.57513225484744 + 0.0im	5.077921650793727e-5 + 0.0im
-1.55953688598757 + 0.0im	5.354866826396846e-5 + 0.0im
-1.54409592672036 + 0.0im	5.64543717419448e-5 + 0.0im
-1.52880784823798 + 0.0im	5.950229713225798e-5 + 0.0im
-1.51367113686929 + 0.0im	6.269864851609517e-5 + 0.0im
-1.49868429392999 + 0.0im	6.604988126139508e-5 + 0.0im
-1.48384583557425 + 0.0im	6.956209989514491e-5 + 0.0im
-1.46915429264777 + 0.0im	7.324340846402208e-5 + 0.0im
-1.45460821054235 + 0.0im	7.710050187743806e-5 + 0.0im
-1.44020614905183 + 0.0im	8.11409071821936e-5 + 0.0im
-1.42594668222953 + 0.0im	8.537244730480235e-5 + 0.0im
-1.41182839824706 + 0.0im	8.980325807056238e-5 + 0.0im
-1.39784989925452 + 0.0im	9.444179967207925e-5 + 0.0im
-1.3840098012421 + 0.0im	9.92968670342291e-5 + 0.0im
-1.37030673390307 + 0.0im	0.00010437761392721365 + 0.0im
-1.35673934049808 + 0.0im	0.00010969356590005214 + 0.0im
-1.34330627772088 + 0.0im	0.00011525463617406719 + 0.0im
-1.33000621556522 + 0.0im	0.00012107115138552268 + 0.0im
-1.31683783719329 + 0.0im	0.0001271538662123781 + 0.0im
-1.30379983880524 + 0.0im	0.00013351399804782798 + 0.0im
-1.29089092951014 + 0.0im	0.00014016324529864664 + 0.0im
-1.27810983119816 + 0.0im	0.00014711381436977085 + 0.0im
-1.26545527841402 + 0.0im	0.0001543784692755688 + 0.0im
-1.2529260182317 + 0.0im	0.00016197055997204486 + 0.0im
-1.24052081013039 + 0.0im	0.00016990405102652157 + 0.0im
