-2.0 + 0.0im	2.601730605971169e-5 + 0.0im
-1.98019801980198 + 0.0im	2.7293274214085745e-5 + 0.0im
-1.96059209881384 + 0.0im	2.8854877062226057e-5 + 0.0im
-1.94118029585529 + 0.0im	3.0486023889913487e-5 + 0.0im
-1.92196068896563 + 0.0im	3.219546029689034e-5 + 0.0im
-1.9029313752135 + 0.0im	3.3988367262339735e-5 + 0.0im
-1.88409047050841 + 0.0im	3.5869134096631604e-5 + 0.0im
-1.86543610941427 + 0.0im	3.784199024860212e-5 + 0.0im
-1.84696644496462 + 0.0im	3.9911137202406355e-5 + 0.0im
-1.82867964847983 + 0.0im	4.208084908557988e-5 + 0.0im
-1.81057390938597 + 0.0im	4.435552858081755e-5 + 0.0im
-1.79264743503561 + 0.0im	4.673969783365988e-5 + 0.0im
-1.77489845053031 + 0.0im	4.923802962180326e-5 + 0.0im
-1.75732519854486 + 0.0im	5.1855340751863796e-5 + 0.0im
-1.73992593915333 + 0.0im	5.45966443051942e-5 + 0.0im
-1.72269894965676 + 0.0im	5.746710431648841e-5 + 0.0im
-1.70564252441263 + 0.0im	6.0472085627427525e-5 + 0.0im
-1.68875497466597 + 0.0im	6.36171151330659e-5 + 0.0im
-1.67203462838215 + 0.0im	6.690794788489659e-5 + 0.0im
-1.65547983008134 + 0.0im	7.035053572974557e-5 + 0.0im
-1.63908894067459 + 0.0im	7.395103617231442e-5 + 0.0im
-1.62286033730158 + 0.0im	7.771583409927444e-5 + 0.0im
-1.60679241316988 + 0.0im	8.165152482606541e-5 + 0.0im
-1.59088357739592 + 0.0im	8.576498203189528e-5 + 0.0im
-1.57513225484744 + 0.0im	9.006327682882684e-5 + 0.0im
-1.55953688598757 + 0.0im	9.455379313321367e-5 + 0.0im
-1.54409592672036 + 0.0im	9.924413411686586e-5 + 0.0im
-1.52880784823798 + 0.0im	0.00010414218592541865 + 0.0im
-1.51367113686929 + 0.0im	0.00010925611997933541 + 0.0im
-1.49868429392999 + 0.0im	0.00011459445844482379 + 0.0im
-1.48384583557425 + 0.0im	0.00012016494365723182 + 0.0im
-1.46915429264777 + 0.0im	0.00012597867052006154 + 0.0im
-1.45460821054235 + 0.0im	0.00013204413875169936 + 0.0im
-1.44020614905183 + 0.0im	0.00013837116124129764 + 0.0im
-1.42594668222953 + 0.0im	0.00014496991713542652 + 0.0im
-1.41182839824706 + 0.0im	0.00015185097355636143 + 0.0im
-1.39784989925452 + 0.0im	0.0001590253117755206 + 0.0im
-1.3840098012421 + 0.0im	0.0001665042853168777 + 0.0im
-1.37030673390307 + 0.0im	0.00017429975872409236 + 0.0im
-1.35673934049808 + 0.0im	0.00018242403442098596 + 0.0im
-1.34330627772088 + 0.0im	0.00019088990260979208 + 0.0im
-1.33000621556522 + 0.0im	0.00019971068405590437 + 0.0im
-1.31683783719329 + 0.0im	0.00020890022568265847 + 0.0im
-1.30379983880524 + 0.0im	0.00021847300058198108 + 0.0im
-1.29089092951014 + 0.0im	0.00022844407562302535 + 0.0im
-1.27810983119816 + 0.0im	0.00023882915256754256 + 0.0im
-1.26545527841402 + 0.0im	0.00024964468436986946 + 0.0im
-1.2529260182317 + 0.0im	0.0002609079021177681 + 0.0im
-1.24052081013039 + 0.0im	0.0002726367276757443 + 0.0im
-1.22823842587168 + 0.0im	0.0002848502338905561 + 0.0im
-1.2160776493779 + 0.0im	0.00029756818683363077 + 0.0im
-1.20403727661178 + 0.0im	0.0003108116615067797 + 0.0im
-1.19211611545721 + 0.0im	0.0003246028724223097 + 0.0im
-1.1803129856012 + 0.0im	0.0003389653849803932 + 0.0im
-1.16862671841703 + 0.0im	0.0003539244044212961 + 0.0im
-1.15705615684854 + 0.0im	0.0003695067593706394 + 0.0im
-1.14560015529559 + 0.0im	0.00038574175191911946 + 0.0im
-1.13425757950058 + 0.0im	0.00040266099037904976 + 0.0im
-1.12302730643622 + 0.0im	0.0004202994796444688 + 0.0im
-1.11190822419427 + 0.0im	0.00043869632346117427 + 0.0im
-1.10089923187552 + 0.0im	0.00045789583321818156 + 0.0im
-1.08999923948071 + 0.0im	0.00047794979927292196 + 0.0im
-1.07920716780269 + 0.0im	0.0004989206352801175 + 0.0im
-1.06852194831949 + 0.0im	0.0005208864208862671 + 0.0im
-1.0579425230886 + 0.0im	0.0005439512476928871 + 0.0im
-1.04746784464218 + 0.0im	0.0005682639865881918 + 0.0im
-1.03709687588335 + 0.0im	0.0005940632331211299 + 0.0im
-1.02682858998351 + 0.0im	0.0006217987509925076 + 0.0im
-1.01666197028071 + 0.0im	0.0006525880812984036 + 0.0im
-1.00659601017892 + 0.0im	0.0006924861862773609 + 0.0im
-0.996629713048433 + 0.0im	0.007089034553685143 + 0.0im
-0.986762092127162 + 0.0im	0.0071006052699302035 + 0.0im
-0.976992170422933 + 0.0im	0.007178254755166604 + 0.0im
-0.967318980616765 + 0.0im	0.007275886936966493 + 0.0im
-0.957741564967094 + 0.0im	0.007384291798444348 + 0.0im
-0.948258975214945 + 0.0im	0.007500019725287008 + 0.0im
-0.938870272490044 + 0.0im	0.007621425748923308 + 0.0im
-0.929574527217865 + 0.0im	0.007747614529338985 + 0.0im
-0.920370819027589 + 0.0im	0.007878058463409887 + 0.0im
-0.91125823666098 + 0.0im	0.008012431882698876 + 0.0im
-0.902235877882158 + 0.0im	0.008150528984519045 + 0.0im
-0.893302849388275 + 0.0im	0.00829221982101736 + 0.0im
-0.884458266721065 + 0.0im	0.008437424746933254 + 0.0im
-0.875701254179272 + 0.0im	0.008586099862624881 + 0.0im
-0.867030944731952 + 0.0im	0.008738226229215003 + 0.0im
-0.858446479932626 + 0.0im	0.008893803485121124 + 0.0im
-0.849947009834283 + 0.0im	0.009052845935081244 + 0.0im
-0.841531692905231 + 0.0im	0.00921537925974083 + 0.0im
-0.833199695945773 + 0.0im	0.009381438202105363 + 0.0im
-0.824950194005716 + 0.0im	0.009551064917049198 + 0.0im
-0.816782370302689 + 0.0im	0.00972430801242262 + 0.0im
-0.808695416141276 + 0.0im	0.009901221189897058 + 0.0im
-0.800688530832947 + 0.0im	0.01008186312468682 + 0.0im
-0.792760921616779 + 0.0im	0.010266297030844524 + 0.0im
-0.784911803580969 + 0.0im	0.010454589056387773 + 0.0im
-0.777140399585118 + 0.0im	0.010646809714358225 + 0.0im
-0.769445940183285 + 0.0im	0.01084303219787106 + 0.0im
-0.761827663547807 + 0.0im	0.011043332864112833 + 0.0im
-0.754284815393868 + 0.0im	0.011247790920633344 + 0.0im
-0.74681664890482 + 0.0im	0.011456488181769304 + 0.0im
-0.739422424658238 + 0.0im	0.011669509170251988 + 0.0im
-0.732101410552711 + 0.0im	0.011886940709938154 + 0.0im
-0.724852881735357 + 0.0im	0.012108872401467234 + 0.0im
-0.717676120530057 + 0.0im	0.0123353959248062 + 0.0im
-0.710570416366393 + 0.0im	0.012566605166806764 + 0.0im
-0.7035350657093 + 0.0im	0.012802596476371261 + 0.0im
-0.696569371989405 + 0.0im	0.013043468164637357 + 0.0im
-0.689672645534065 + 0.0im	0.013289320903315114 + 0.0im
