w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-2.0 + 0.0im	-0.040859546325988996 - 0.0002777810753063058im	-0.014838934266413473 + 0.00015238013218924919im	-0.014838934266413473 + 0.00015238013218924924im	-0.026020610184387852 - 0.00043016120804661436im
-1.9801980198019802 + 0.0im	-0.04170531435263403 - 0.0002910925055548309im	-0.014667437761436525 + 0.00016024217745696785im	-0.01466743776143653 + 0.00016024217745696785im	-0.027037875249995912 - 0.00045133468356700954im
-1.9605920988138417 + 0.0im	-0.04201843328577977 - 0.00030494588678365534im	-0.014789943562966344 + 0.00016845479385404357im	-0.014789943562966344 + 0.00016845479385404352im	-0.027228488009488114 - 0.0004734006811968999im
-1.9411802958552888 + 0.0im	-0.042358031255377966 - 0.0003193580500236864im	-0.01489959366940402 + 0.00017703044405052812im	-0.014899593669404024 + 0.00017703044405052818im	-0.027458436218885312 - 0.000496388494637242im
-1.9219606889656324 + 0.0im	-0.04270980029546524 - 0.0003343460919653957im	-0.015004208341115368 + 0.00018598187554241786im	-0.015004208341115368 + 0.00018598187554241778im	-0.02770559119948244 - 0.0005203279680745002im
-1.9029313752134975 + 0.0im	-0.04306936760189098 - 0.00034992736779850626im	-0.015106168923831882 + 0.00019532212078859286im	-0.015106168923831882 + 0.00019532212078859286im	-0.027963196799710113 - 0.0005452494891572762im
-1.8840904705084134 + 0.0im	-0.04343483079633607 - 0.0003661194835853255im	-0.015206507501706653 + 0.00020506449717485443im	-0.015206507501706658 + 0.00020506449717485432im	-0.02822831982703624 - 0.0005711839813336762im
-1.8654361094142706 + 0.0im	-0.0438052015421047 - 0.00038294028818109646im	-0.015305763035833286 + 0.00021522260681650193im	-0.015305763035833286 + 0.00021522260681650202im	-0.028499436872396623 - 0.0005981628955742406im
-1.8469664449646244 + 0.0im	-0.04417990421363996 - 0.0004004078647170588im	-0.015404237627889405 + 0.00022581033621254474im	-0.015404237627889405 + 0.00022581033621254485im	-0.028775664750557074 - 0.0006262182015092166im
-1.828679648479826 + 0.0im	-0.04455857561703751 - 0.0004185405216642648im	-0.015502124887263801 + 0.00023684185576631215im	-0.015502124887263801 + 0.00023684185576631215im	-0.029056450812187946 - 0.0006553823780129851im
-1.8105739093859663 + 0.0im	-0.04494098201332712 - 0.00043735678349858574im	-0.015599548700608992 + 0.0002483316191889457im	-0.015599548700608996 + 0.0002483316191889458im	-0.029341431939374437 - 0.0006856884032725567im
-1.79264743503561 + 0.0im	-0.04532695326355204 - 0.00045687538098975177im	-0.01569659333467961 + 0.0002602943628039741im	-0.015696593334679612 + 0.0002602943628039742im	-0.029630358327803433 - 0.0007171697443811896im
-1.774898450530307 + 0.0im	-0.04571637195367035 - 0.0004771152411397063im	-0.015793316702871325 + 0.0002727451047729307im	-0.015793316702871325 + 0.0002727451047729307im	-0.02992305441464373 - 0.0007498603465023589im
-1.7573251985448584 + 0.0im	-0.04610915335390311 - 0.000498095476797985im	-0.01588975810944889 + 0.00028569914426372205im	-0.015889758109448898 + 0.00028569914426372205im	-0.030219392940553834 - 0.0007837946216535065im
-1.739925939153325 + 0.0im	-0.04650522993863581 - 0.0005198353759842655im	-0.015985947522387096 + 0.0002991720605852234im	-0.015985947522387096 + 0.00029917206058522347im	-0.030519280887385265 - 0.0008190074371631866im
-1.7226989496567575 + 0.0im	-0.04690455278876868 - 0.0005423543909506381im	-0.01608190426163667 + 0.00031317971231332184im	-0.01608190426163667 + 0.00031317971231332184im	-0.03082264896000779 - 0.0008555341038593721im
-1.7056425244126312 + 0.0im	-0.04730708896872778 - 0.0005656721270185592im	-0.016177641040505345 + 0.00032773823643538413im	-0.016177641040505345 + 0.0003277382364353843im	-0.031129446092772933 - 0.0008934103640508906im
-1.6887549746659716 + 0.0im	-0.04771280280214291 - 0.0005898083312277814im	-0.016273166793162014 + 0.0003428640475418365im	-0.01627316679316202 + 0.0003428640475418366im	-0.03143963407203783 - 0.0009326723793679182im
-1.6720346283821501 + 0.0im	-0.04812167304943116 - 0.0006147828808368706im	-0.01636848643054138 + 0.0003585738370952526im	-0.016368486430541375 + 0.0003585738370952526im	-0.031753184719331334 - 0.000973356718531596im
-1.6554798300813367 + 0.0im	-0.04853368013121305 - 0.0006406157717171689im	-0.01646360155369426 + 0.0003748845728089892im	-0.01646360155369426 + 0.0003748845728089892im	-0.03207007653526893 - 0.0010155003451266232im
-1.6390889406745908 + 0.0im	-0.04894880934138808 - 0.0006673271066842281im	-0.01655851235466441 + 0.0003918134981690444im	-0.016558512354664417 + 0.00039181349816904445im	-0.03239029512853558 - 0.001059140605454551im
-1.622860337301575 + 0.0im	-0.04936704825016069 - 0.000694937083812836im	-0.016653216663464428 + 0.0004093781321343529im	-0.016653216663464428 + 0.00040937813213435284im	-0.032713830326958876 - 0.001104315216549101im
-1.6067924131698763 + 0.0im	-0.04978838628272924 - 0.0007234659847837557im	-0.01674771104288629 + 0.0004275962690522487im	-0.01674771104288629 + 0.0004275962690522489im	-0.0330406741978843 - 0.0011510622544383745im
-1.5908835773959171 + 0.0im	-0.05021281455817681 - 0.000752934163312179im	-0.016841990249373565 + 0.0004464859788272553im	-0.016841990249373565 + 0.0004464859788272552im	-0.03337082341918244 - 0.0011994201427420843im
-1.5751322548474427 + 0.0im	-0.050640326142107124 - 0.0007833620337096773im	-0.016936048969320522 + 0.0004660656073827051im	-0.016936048969320522 + 0.0004660656073827051im	-0.03370427593764077 - 0.0012494276416951371im
-1.559536885987567 + 0.0im	-0.05107091602459652 - 0.0008147700596330772im	-0.01702988025666385 + 0.0004863537774559643im	-0.01702988025666385 + 0.0004863537774559642im	-0.0340410387971014 - 0.001301123837691728im
-1.5440959267203633 + 0.0im	-0.05150457357341631 - 0.000847178743075169im	-0.01712347739150204 + 0.0005073693897692055im	-0.01712347739150204 + 0.0005073693897692057im	-0.03438109657820293 - 0.001354548133446823im
-1.5288078482379834 + 0.0im	-0.0519412990424896 - 0.0008806086136535329im	-0.01721683131289795 + 0.0005291316246187437im	-0.017216831312897946 + 0.000529131624618744im	-0.03472446911818107 - 0.0014097402388743164im
-1.5136711368692906 + 0.0im	-0.05238108514502017 - 0.0009150802182549335im	-0.017309933604820582 + 0.0005516599439268818im	-0.017309933604820582 + 0.000551659943926882im	-0.035071152895795106 - 0.0014667401627832806im
-1.4986842939299907 + 0.0im	-0.052823929485104754 - 0.0009506141110937723im	-0.017402775825449336 + 0.0005749740938010764im	-0.017402775825449336 + 0.0005749740938010764im	-0.035421153869673476 - 0.0015255882054955715im
-1.483845835574248 + 0.0im	-0.05326983027610255 - 0.0009872308442438655im	-0.017495348821472207 + 0.0005990941076459246im	-0.01749534882147221 + 0.0005990941076459248im	-0.0357744806521092 - 0.00158632495248961im
-1.4691542926477703 + 0.0im	-0.053718777420022006 - 0.0010249509587035466im	-0.01758763921084444 + 0.0006240403098740407im	-0.017587639210844445 + 0.0006240403098740408im	-0.03613113649165754 - 0.0016489912691763403im
-1.4546082105423468 + 0.0im	-0.05417076933385706 - 0.0010637949760544294im	-0.017679640398344184 + 0.0006498333202623366im	-0.017679640398344187 + 0.0006498333202623368im	-0.03649112646432603 - 0.0017136282969142985im
-1.4402061490518285 + 0.0im	-0.05462580101186347 - 0.0011037833907744862im	-0.01777134026467719 + 0.000676494059000486im	-0.01777134026467719 + 0.0006764940590004861im	-0.036854461125754204 - 0.001780277450371128im
-1.4259466822295332 + 0.0im	-0.05508387699815511 - 0.0011449366632660532im	-0.017862726814384236 + 0.0007040437524784948im	-0.017862726814384243 + 0.0007040437524784951im	-0.03722114849959225 - 0.001848980416339175im
-1.4118283982470625 + 0.0im	-0.055544983636672186 - 0.0011872752136592223im	-0.017953790162259436 + 0.0007325039398602472im	-0.01795379016225944 + 0.0007325039398602473im	-0.03759119068237453 - 0.0019197791541124185im
-1.3978498992545174 + 0.0im	-0.05600911948845316 - 0.0012308194164505836im	-0.01804451689074895 + 0.0007618964804897225im	-0.01804451689074895 + 0.0007618964804897224im	-0.037964600272895076 - 0.00199271589753143im
-1.3840098012420965 + 0.0im	-0.05647628055222647 - 0.0012755895960366974im	-0.01813489561941049 + 0.0007922435621761791im	-0.01813489561941049 + 0.0007922435621761794im	-0.038341385508555335 - 0.0020678331588020334im
-1.370306733903066 + 0.0im	-0.05694646631022801 - 0.0013216060232007078im	-0.018224913430662508 + 0.0008235677104040853im	-0.018224913430662508 + 0.0008235677104040852im	-0.03872155332258936 - 0.0021451737341918417im
-1.356739340498085 + 0.0im	-0.05741967021148281 - 0.001368888912609412im	-0.018314558110009944 + 0.0008558917985128265im	-0.018314558110009947 + 0.0008558917985128268im	-0.03910511217340628 - 0.002224780711707043im
-1.3433062777208762 + 0.0im	-0.057895888002985764 - 0.0014174584213767067im	-0.0184038161447184 + 0.0008892390588903291im	-0.0184038161447184 + 0.0008892390588903292im	-0.03949207243674582 - 0.0023066974808494635im
-1.330006215565224 + 0.0im	-0.05837511540224866 - 0.0014673346487477197im	-0.0184926740697471 + 0.0009236330952236384im	-0.0184926740697471 + 0.0009236330952236384im	-0.039882443726022315 - 0.002390967744551278im
-1.316837837193291 + 0.0im	-0.058857350925539606 - 0.0015185376369560625im	-0.018581118689530465 + 0.0009590978958482121im	-0.018581118689530465 + 0.0009590978958482128im	-0.040276232070588704 - 0.002477635533381561im
-1.3037998388052385 + 0.0im	-0.05934258674550456 - 0.0015710873733045495im	-0.018669134373079484 + 0.0009956578482362421im	-0.018669134373079484 + 0.0009956578482362417im	-0.04067344602971018 - 0.0025667452221153192im
-1.2908909295101372 + 0.0im	-0.059830816193755326 - 0.0016250037935173697im	-0.01875670396608976 + 0.0010333377546625974im	-0.01875670396608976 + 0.0010333377546625979im	-0.04107410038062479 - 0.002658341548751622im
-1.2781098311981556 + 0.0im	-0.060322030725126374 - 0.0016803067864091849im	-0.018843824169506078 + 0.0010721628490852333im	-0.018843824169506078 + 0.0010721628490852335im	-0.04147820371698212 - 0.0027524696360630794im
-1.2654552784140154 + 0.0im	-0.060816233835362186 - 0.0017370161999136547im	-0.018930469839730756 + 0.001112158815274768im	-0.018930469839730756 + 0.001112158815274768im	-0.04188576449994832 - 0.002849175015753983im
-1.2529260182316984 + 0.0im	-0.06131342230098655 - 0.0017951518485111071im	-0.019016626694934435 + 0.0011533518062257836im	-0.019016626694934435 + 0.001153351806225784im	-0.04229679434613291 - 0.002948503655299234im
-1.2405208101303944 + 0.0im	-0.0618135856402212 - 0.0018547335220915398im	-0.01910227981107792 + 0.0011957684648799386im	-0.019102279811077913 + 0.0011957684648799388im	-0.04271130612434796 - 0.003050501987530507im
-1.2282384258716776 + 0.0im	-0.06231671972647892 - 0.001915780996285918im	-0.019187414097839667 + 0.001239435946188426im	-0.019187414097839674 + 0.0012394359461884265im	-0.043129303037679534 - 0.003155216943029948im
-1.2160776493778986 + 0.0im	-0.06282281891726649 - 0.0019783140442948413im	-0.01927201178128862 + 0.0012843819405384707im	-0.01927201178128862 + 0.0012843819405384705im	-0.04355080441119453 - 0.0032626959853854004im
-1.2040372766117808 + 0.0im	-0.06333187870008121 - 0.0020423524502399437im	-0.019356056487130967 + 0.001330634698565665im	-0.019356056487130964 + 0.0013306346985656648im	-0.043975822779162926 - 0.0033729871493540825im
-1.1921161154572086 + 0.0im	-0.06384389446683132 - 0.0021079160240592455im	-0.019439530875976902 + 0.0013782230573707388im	-0.019439530875976902 + 0.0013782230573707388im	-0.044404361000483734 - 0.0034861390819747574im
-1.1803129856011967 + 0.0im	-0.0643588600094659 - 0.002175024617963421im	-0.019522417093729545 + 0.001427176468156095im	-0.019522417093729545 + 0.0014271764681560955im	-0.044836439815706446 - 0.0036022010866604954im
-1.1686267184170265 + 0.0im	-0.06487676994209707 - 0.0022436981444656384im	-0.019604697383995815 + 0.0014775250252939238im	-0.01960469738399582 + 0.001477525025293924im	-0.04527207027361605 - 0.0037212231702966683im
-1.1570561568485411 + 0.0im	-0.06539762019166065 - 0.0023139565959929527im	-0.019686353187301445 + 0.001529299496834109im	-0.01968635318730145 + 0.0015292994968341097im	-0.045711265133121674 - 0.003843256093360217im
-1.1456001552955852 + 0.0im	-0.06592140609731983 - 0.0023858200660825933im	-0.019767365079880927 + 0.0015825313564562912im	-0.019767365079880927 + 0.0015825313564562908im	-0.04615403764327291 - 0.0039683514230680035im
-1.1342575795005794 + 0.0im	-0.06644811736693175 - 0.0024593087721616596im	-0.019847714552851448 + 0.00163725281686653im	-0.019847714552851455 + 0.0016372528168665293im	-0.0466004016331801 - 0.004096561589553204im
-1.1230273064362173 + 0.0im	-0.0669777581804781 - 0.0025344430799037936im	-0.019927382691525986 + 0.0016934968646349165im	-0.019927382691525986 + 0.0016934968646349173im	-0.04705037248853694 - 0.004227939945059547im
-1.1119082241942746 + 0.0im	-0.06751031589780342 - 0.002611243529151311im	-0.020006347426775203 + 0.0017512972964662196im	-0.020006347426775203 + 0.00175129729646622im	-0.04750396573040378 - 0.004362540826134126im
-1.1008992318755193 + 0.0im	-0.06804578922607914 - 0.002689730861386168im	-0.02008459031653148 + 0.0018106887568912864im	-0.02008459031653148 + 0.001810688756891287im	-0.04796119533590285 - 0.004500419618789744im
-1.089999239480712 + 0.0im	-0.06858417100671507 - 0.0027699260487279932im	-0.020162089620372223 + 0.0018717067773624237im	-0.020162089620372227 + 0.0018717067773624237im	-0.0484220783156659 - 0.004641632826598341im
-1.0792071678026853 + 0.0im	-0.06912545696984801 - 0.002851850324432021im	-0.020238823666072124 + 0.0019343878167313998im	-0.020238823666072128 + 0.0019343878167314im	-0.0488866312610725 - 0.00478623814166692im
-1.0685219483194903 + 0.0im	-0.0696696447056147 - 0.0029355252148545734im	-0.020314772087478394 + 0.001998769303083894im	-0.020314772087478394 + 0.001998769303083894im	-0.04935487056634268 - 0.004934294518437489im
-1.0579425230886044 + 0.0im	-0.07021672671870116 - 0.003020972572848357im	-0.020389912263030913 + 0.0020648896768994413im	-0.02038991226303092 + 0.0020648896768994405im	-0.04982681166749466 - 0.00508586225024229im
-1.0474678446421826 + 0.0im	-0.0707666999231848 - 0.0031082146125445092im	-0.020464221576374782 + 0.002132788435500988im	-0.02046422157637479 + 0.0021327884355009877im	-0.050302476616920354 - 0.005241003048535413im
-1.037096875883349 + 0.0im	-0.07131956240865443 - 0.0031972739454729313im	-0.020537677313895896 + 0.002202506178753134im	-0.020537677313895893 + 0.0022025061787531333im	-0.050781880445496794 - 0.005399780124711355im
-1.026828589983514 + 0.0im	-0.0718753012494009 - 0.003288173617967224im	-0.020610256988602752 + 0.0022740846559629302im	-0.020610256988602752 + 0.0022740846559629307im	-0.051265049862855 - 0.005562258274410784im
-1.016661970280707 + 0.0im	-0.07243392114286551 - 0.0033809371497951573im	-0.020681936943515822 + 0.002347566813932112im	-0.020681936943515833 + 0.002347566813932112im	-0.05175198276121348 - 0.005728503964203193im
-1.0065960101789178 + 0.0im	-0.07299541509349741 - 0.003475588573950324im	-0.02075269302959189 + 0.0024229968461041626im	-0.020752693029591894 + 0.0024229968461041626im	-0.052242720161130136 - 0.005898585420525672im
-0.9966297130484334 + 0.0im	-0.07355977751708946 - 0.003572152477535597im	-0.02082250168888112 + 0.0025004202427443855im	-0.020822501688881122 + 0.0025004202427443855im	-0.05273727458698694 - 0.00607257272074639im
-0.9867620921271618 + 0.0im	-0.07412700754405327 - 0.0036706540436636423im	-0.020891339893715517 + 0.0025798838420857955im	-0.020891339893715517 + 0.002579883842085796im	-0.0532356696175033 - 0.006250537886211034im
-0.9769921704229325 + 0.0im	-0.07469709847170894 - 0.0037711190942949393im	-0.020959174632534213 + 0.0026614358823680946im	-0.020959174632534217 + 0.0026614358823680946im	-0.053737924113641984 - 0.006432554977119791im
-0.9673189806167649 + 0.0im	-0.07527004878750843 - 0.0038735741339286493im	-0.021025998926263927 + 0.002745126054691618im	-0.02102599892626393 + 0.0027451260546916185im	-0.05424404977691469 - 0.006618700189072172im
-0.957741564967094 + 0.0im	-0.07584585401602857 - 0.003978046394056844im	-0.021091772987595132 + 0.0028310055566025186im	-0.021091772987595136 + 0.002831005556602518im	-0.05475408049167169 - 0.006809051951106382im
-0.9482589752149445 + 0.0im	-0.07642451048695119 - 0.0040845638782880484im	-0.02115647620365224 + 0.002919127146319949im	-0.021156476203652252 + 0.0029191271463199484im	-0.05526803357691285 - 0.0070036910250501im
-0.9388702724900441 + 0.0im	-0.07700601407729052 - 0.004193155408041153im	-0.02122008291121941 + 0.0030095451975104253im	-0.02122008291121941 + 0.0030095451975104236im	-0.05578593060967467 - 0.00720270060598875im
-0.9295745272178654 + 0.0im	-0.07759036106501234 - 0.004303850668706636im	-0.021282567651593517 + 0.003102315754508786im	-0.021282567651593517 + 0.0031023157545087884im	-0.0563077929632845 - 0.007406166423647649im
-0.9203708190275894 + 0.0im	-0.07817754797580624 - 0.0044166802561673695im	-0.021343905832020095 + 0.0031974965878798314im	-0.021343905832020105 + 0.0031974965878798305im	-0.05683364153354884 - 0.007614176844474467im
-0.9112582366609796 + 0.0im	-0.078767570215984 - 0.004531675723567449im	-0.02140407245680836 + 0.00329514725020865im	-0.02140407245680837 + 0.0032951472502086485im	-0.057363499553334175 - 0.007826822974198384im
-0.902235877882158 + 0.0im	-0.07936043014127954 - 0.004648869628213139im	-0.021463040689517855 + 0.0033953291320024366im	-0.021463040689517855 + 0.003395329132002435im	-0.05789738797223609 - 0.00804419876063288im
-0.8933028493882752 + 0.0im	-0.0799561159403139 - 0.0047682955784864355im	-0.021520786239068408 + 0.00349810551758054im	-0.021520786239068408 + 0.0034981055175805423im	-0.05843532817945617 - 0.00826640109647928im
-0.8844582667210645 + 0.0im	-0.08055462660419098 - 0.004889988280647936im	-0.02157728391789203 + 0.0036035416408241026im	-0.021577283917892036 + 0.0036035416408241026im	-0.05897734107083191 - 0.00849352992187934im
-0.8757012541792718 + 0.0im	-0.08115595772223967 - 0.005013983585402198im	-0.021632508858742436 + 0.003711704740650791im	-0.021632508858742436 + 0.003711704740650791im	-0.05952344758922239 - 0.008725688326455282im
-0.8670309447319523 + 0.0im	-0.08176010618029188 - 0.005140318534095455im	-0.02168643515761169 + 0.003822664116074644im	-0.02168643515761169 + 0.0038226641160746437im	-0.060073667809228265 - 0.008962982650567376im
-0.858446479932626 + 0.0im	-0.08236706492152701 - 0.00526903140441235im	-0.021739043646508832 + 0.0039364911807051985im	-0.02173904364650883 + 0.003936491180705197im	-0.060628021452755365 - 0.009205522585509805im
-0.8499470098342832 + 0.0im	-0.08297683107670803 - 0.005400161755435408im	-0.02179030292830631 + 0.004053259516534691im	-0.021790302928306304 + 0.004053259516534693im	-0.061186527426615546 - 0.009453421272357342im
-0.8415316929052309 + 0.0im	-0.0835893988120907 - 0.005533750471928111im	-0.021840194612337844 + 0.004173044926856324im	-0.02184019461233784 + 0.004173044926856325im	-0.06174920385789888 - 0.00970679539916666im
-0.8331996959457731 + 0.0im	-0.08420476278613664 - 0.005669839807699821im	-0.02188869394206247 + 0.004295925488151036im	-0.02188869394206247 + 0.004295925488151038im	-0.06231606795224901 - 0.009965765296228075im
-0.824950194005716 + 0.0im	-0.08482291587839681 - 0.005808473427908394im	-0.02193577997139678 + 0.004421981600774879im	-0.021935779971396785 + 0.004421981600774879im	-0.06288713635732718 - 0.010230455029055473im
-0.8167823703026891 + 0.0im	-0.08544386063164396 - 0.0059496964501539115im	-0.02198142983198922 + 0.004551296038273234im	-0.021981429831989224 + 0.004551296038273235im	-0.0634624227260208 - 0.010500992488794351im
-0.8086954161412763 + 0.0im	-0.08606756483393256 - 0.006093555484215036im	-0.022025623697585355 + 0.004683953995143077im	-0.02202562369758536 + 0.004683953995143077im	-0.06404194119164508 - 0.010777509479720311im
-0.8006885308329468 + 0.0im	-0.08669404503102515 - 0.0062400986702774285im	-0.0220683418124435 + 0.004820043132858594im	-0.022068341812443503 + 0.004820043132858595im	-0.06462570336610782 - 0.011060141803493243im
-0.792760921616779 + 0.0im	-0.0873232841141023 - 0.006389375715502059im	-0.022109564874567906 + 0.004959653623970652im	-0.02210956487456791 + 0.00495965362397065im	-0.06521372040863756 - 0.011349029339824948im
-0.7849118035809693 + 0.0im	-0.08795527168661557 - 0.006541437928779392im	-0.022149275134222948 + 0.005102878194084801im	-0.022149275134222948 + 0.005102878194084802im	-0.06580600034861858 - 0.011644316123211457im
-0.7771403995851182 + 0.0im	-0.08859000694292879 - 0.0066963382535144556im	-0.022187454239734467 + 0.005249812161517699im	-0.022187454239734467 + 0.005249812161517701im	-0.06640254890971212 - 0.011946150415374463im
-0.7694459401832853 + 0.0im	-0.08922746122729387 - 0.006854131298286073im	-0.022224094125093057 + 0.0054005534744264545im	-0.022224094125093064 + 0.005400553474426454im	-0.06700337092340322 - 0.0122546847730499im
-0.7618276635478072 + 0.0im	-0.0898676426840229 - 0.007014873365222928im	-0.02225917243658042 + 0.005555202745200453im	-0.02225917243658042 + 0.005555202745200451im	-0.06760846769446534 - 0.012570076110755836im
-0.7542848153938685 + 0.0im	-0.09051052052445474 - 0.007178622475937745im	-0.022292681759337036 + 0.0057138632819003395im	-0.022292681759337043 + 0.005713863281900339im	-0.068217839136469 - 0.012892485758165605im
-0.7468166489048202 + 0.0im	-0.09115609120544713 - 0.0073454383948605905im	-0.02232461074019631 + 0.005876641116523898im	-0.02232461074019631 + 0.0058766411165239im	-0.06883147965686556 - 0.01322207951170711im
-0.7394224246582378 + 0.0im	-0.09180433591002922 - 0.00751538264981142im	-0.02235494772920129 + 0.00604364502987401im	-0.022354947729201297 + 0.00604364502987401im	-0.0694493852397045 - 0.013559027680003178im
-0.7321014105527107 + 0.0im	-0.09245523617872926 - 0.007688518549651667im	-0.022383689808020614 + 0.006214986572799262im	-0.022383689808020614 + 0.006214986572799262im	-0.07007154469432926 - 0.013903505122763825im
-0.7248528817353571 + 0.0im	-0.09310876392205193 - 0.007864911198854322im	-0.022410830552843337 + 0.006390780083573492im	-0.022410830552843337 + 0.006390780083573494im	-0.07069794465385001 - 0.014255691282735863im
-0.7176761205300566 + 0.0im	-0.0937649364877029 - 0.008044627508832149im	-0.022436367169280554 + 0.006571142701176254im	-0.022436367169280557 + 0.006571142701176254im	-0.07132856881024394 - 0.014615770210311638im
-0.7105704163663926 + 0.0im	-0.09442369445797275 - 0.008227736205863328im	-0.02246029942791678 + 0.006756194374232281im	-0.022460299427916785 + 0.006756194374232279im	-0.07196339450591475 - 0.014983930580394043im
-0.7035350657092996 + 0.0im	-0.09508502730484195 - 0.008414307835454422im	-0.02248262943158999 + 0.006946057865364325im	-0.02248262943158999 + 0.006946057865364327im	-0.07260239739571213 - 0.01536036570111242im
-0.6965693719894055 + 0.0im	-0.09574890896945448 - 0.008604414762980898im	-0.022503362159144252 + 0.007140858750710099im	-0.02250336215914426 + 0.007140858750710099im	-0.0732455480435936 - 0.015745273513979918im
-0.6896726455340648 + 0.0im	-0.09641531582804637 - 0.008798131170445783im	-0.022522503473738163 + 0.007340725414350806im	-0.022522503473738166 + 0.007340725414350803im	-0.0738928115532353 - 0.01613885658508077im
-0.682844203499074 + 0.0im	-0.09708421695605865 - 0.008995533049198208im	-0.02254006820361509 + 0.007545789037396im	-0.022540068203615093 + 0.0075457890373960045im	-0.0745441517424145 - 0.016541322086873717im
-0.6760833698010634 + 0.0im	-0.09775557920128863 - 0.009196698188454379im	-0.022556067300008045 + 0.007756183581466694im	-0.022556067300008045 + 0.007756183581466694im	-0.07519951924851868 - 0.016952881770195896im
-0.6693894750505578 + 0.0im	-0.0984293738053094 - 0.009401706159464512im	-0.022570510717431703 + 0.007972045766316254im	-0.022570510717431706 + 0.007972045766316257im	-0.07585886539262776 - 0.01737375192605097im
-0.6627618564857007 + 0.0im	-0.09910557577428457 - 0.009610638295171057im	-0.02258342949395263 + 0.00819351504132715im	-0.02258342949395264 + 0.008193515041327154im	-0.07652213587829768 - 0.017804153336763787im
-0.6561998579066344 + 0.0im	-0.09978410407588943 - 0.009823577665204834im	-0.022594842330091982 + 0.008420733550619754im	-0.022594842330091982 + 0.008420733550619753im	-0.07718926848497794 - 0.01824431121608559im
-0.649702829610529 + 0.0im	-0.10046496795716506 - 0.010040609046067576im	-0.02260477252284637 + 0.00865384609150848im	-0.022604772522846376 + 0.008653846091508478im	-0.07786019510542504 - 0.0186944551378325im
-0.6432701283272565 + 0.0im	-0.10114810159101546 - 0.010261818886351753im	-0.022613260442949142 + 0.008893000066040178im	-0.022613260442949146 + 0.008893000066040178im	-0.07853484122201539 - 0.019154818952643836im
-0.6369011171556995 + 0.0im	-0.10183346503072375 - 0.010487295266850454im	-0.022620343529370934 + 0.009138345425349489im	-0.022620343529370937 + 0.009138345425349484im	-0.07921312469368477 - 0.019625640692447384im
-0.6305951655006926 + 0.0im	-0.10252099722843178 - 0.010717127855413252im	-0.022626040465455192 + 0.009390034606566611im	-0.022626040465455195 + 0.009390034606566611im	-0.0798949556714314 - 0.020107162462222848im
-0.6243516490105867 + 0.0im	-0.10321066334178067 - 0.010951407856406472im	-0.022630424698681068 + 0.00964822246201391im	-0.022630424698681064 + 0.009648222462013913im	-0.08058023956033063 - 0.02059963031865895im
-0.6181699495154324 + 0.0im	-0.10390239425760993 - 0.011190227954639852im	-0.02263352423292882 + 0.009913066180429907im	-0.022633524232928824 + 0.009913066180429909im	-0.08126887171882198 - 0.02110329413530394im
-0.6120494549657746 + 0.0im	-0.10459615488769414 - 0.011433682253625232im	-0.022635403729056883 + 0.010184725199961359im	-0.02263540372905688 + 0.010184725199961357im	-0.08196074009834875 - 0.0216184074538164im
-0.605989559372054 + 0.0im	-0.10529183708966225 - 0.011681866208036417im	-0.02263613245455327 + 0.010463361112667808im	-0.02263613245455327 + 0.01046336111266781im	-0.08265572151783199 - 0.022145227320929734im
-0.599989662744608 + 0.0im	-0.10598941622304352 - 0.011934876550244477im	-0.022635727486487213 + 0.01074913756028666im	-0.022635727486487213 + 0.010749137560286663im	-0.08335368961858938 - 0.022684014110752358im
-0.5940491710342654 + 0.0im	-0.10668881041958739 - 0.012192811210806776im	-0.02263430699336351 + 0.01104222012101196im	-0.02263430699336351 + 0.011042220121011964im	-0.08405450474049189 - 0.02323503133203572im
-0.58816749607353 + 0.0im	-0.10738994679266012 - 0.012455769232793745im	-0.022631929423097316 + 0.011342776187045812im	-0.022631929423097323 + 0.011342776187045812im	-0.0847580185631089 - 0.02379854542005235im
-0.5823440555183466 + 0.0im	-0.10809274852357259 - 0.012723850679842844im	-0.02262867382004384 + 0.01165097483268782im	-0.022628673820043847 + 0.01165097483268782im	-0.08546407393245159 - 0.024374825512739316im
-0.5765782727904422 + 0.0im	-0.10879713483011971 - 0.012997156537835496im	-0.022624631030803442 + 0.0119669866727361im	-0.022624631030803446 + 0.011966986672736095im	-0.08617250330527741 - 0.024964143210776113im
-0.5708695770202398 + 0.0im	-0.10950301823128301 - 0.01327578861009906im	-0.022619892812204674 + 0.012290983710981529im	-0.02261989281220467 + 0.01229098371098153im	-0.08688312801594092 - 0.025566772321281066im
-0.5652174029903364 + 0.0im	-0.11021031469950282 - 0.01355984940604389im	-0.022614556239272485 + 0.012623139178587199im	-0.02261455623927249 + 0.012623139178587199im	-0.08759576090569136 - 0.026182988584827507im
-0.559621191079541 + 0.0im	-0.11091892815660323 - 0.013849442023152449im	-0.02260872754363571 + 0.012963627362155368im	-0.02260872754363572 + 0.012963627362155365im	-0.08831020218322908 - 0.026813069385500262im
-0.5540803872074663 + 0.0im	-0.11162876063174795 - 0.014144670022246515im	-0.02260252071693706 + 0.013312623421297111im	-0.02260252071693706 + 0.013312623421297114im	-0.08902624301647319 - 0.027457293443732107im
