w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-0.01880640097736963 + 0.0im	-0.1741884085524247 - 0.028882353692939913im	-0.20079728151410087 + 0.006260512985506229im	-0.20079728151410087 + 0.006260512985506233im	0.026608872547377618 - 0.03514286667841982im
-0.018620198987494684 + 0.0im	-0.1743689848458093 - 0.028875117664720756im	-0.20078314326711763 + 0.006193737983717372im	-0.20078314326711758 + 0.006193737983717376im	0.02641415706433767 - 0.035068855648412216im
-0.018435840581677906 + 0.0im	-0.17454760122499768 - 0.028868369097827404im	-0.2007697892394625 + 0.0061280958168910115im	-0.2007697892394625 + 0.006128095816891015im	0.026222185885583175 - 0.03499646491469296im
-0.018253307506611787 + 0.0im	-0.1747242720073555 - 0.028862087791311736im	-0.20075720552219756 + 0.006063553064995481im	-0.20075720552219756 + 0.006063553064995486im	0.02603293299082923 - 0.0349256408562823im
-0.01807258168971464 + 0.0im	-0.17489901504191682 - 0.0288562539331639im	-0.2007453901741585 + 0.006000076915343369im	-0.20074539017415843 + 0.006000076915343371im	0.025846374630525203 - 0.0348563308484828im
-0.017893645237341226 + 0.0im	-0.17507184740590853 - 0.02885084810137109im	-0.20073432916469186 + 0.005937635164709665im	-0.20073432916469186 + 0.005937635164709672im	0.025662481279619547 - 0.03478848326605677im
-0.017716480433011116 + 0.0im	-0.17524278376990984 - 0.028845851265150366im	-0.20072401567095413 + 0.005876196221720042im	-0.20072401567095413 + 0.005876196221720049im	0.02548122515557724 - 0.034722047486846916im
-0.01754106973565457 + 0.0im	-0.17541184874440702 - 0.028841244786325465im	-0.20071443065274153 + 0.005815729109463094im	-0.20071443065274158 + 0.0058157291094631im	0.02530257939777042 - 0.034656973895765567im
-0.017367395777875813 + 0.0im	-0.17557905235804125 - 0.028837010420819327im	-0.20070555845284385 + 0.005756203468280294im	-0.20070555845284385 + 0.005756203468280303im	0.025126510748293068 - 0.03459321388907719im
-0.01719544136423348 + 0.0im	-0.17574441536885518 - 0.02883313032023325im	-0.20069741299209568 + 0.005697589558687599im	-0.20069741299209568 + 0.005697589558687605im	0.02495299033320935 - 0.03453071987889895im
-0.0170251894695381 + 0.0im	-0.17590795509665505 - 0.02882958703348359im	-0.20068995629474576 + 0.005639858264382593im	-0.20068995629474573 + 0.005639858264382597im	0.02478199880595559 - 0.03446944529784488im
-0.016856623237166433 + 0.0im	-0.1760696895057744 - 0.028826363508468126im	-0.20068318121342393 + 0.005582981095291677im	-0.20068318121342393 + 0.005582981095291684im	0.024613491223315645 - 0.03440934460373904im
-0.01668972597739251 + 0.0im	-0.17622963593090615 - 0.028823443093732953im	-0.200677081384386 + 0.005526930190612174im	-0.200677081384386 + 0.005526930190612177im	0.024447447256078055 - 0.03435037328432497im
-0.01652448116573516 + 0.0im	-0.176387813604783 - 0.02882080954011285im	-0.20067163875499888 + 0.005471678321804851im	-0.20067163875499888 + 0.005471678321804855im	0.02428383465266176 - 0.03429248786189817im
-0.01636087244132194 + 0.0im	-0.17654424035531627 - 0.028818447002317633im	-0.2006668514480346 + 0.005417198895493345im	-0.2006668514480346 + 0.00541719889549335im	0.02412261223734651 - 0.03423564589779204im
-0.016198883605269245 + 0.0im	-0.17669893434234765 - 0.028816340040437392im	-0.20066269323561106 + 0.005363465956227781im	-0.20066269323561112 + 0.005363465956227786im	0.023963760222842533 - 0.0341798059966469im
-0.01603849861907846 + 0.0im	-0.17685191351045554 - 0.02881447362134115im	-0.20065915787723854 + 0.005310454189071053im	-0.2006591578772386 + 0.005310454189071058im	0.02380724418595917 - 0.03412492781039453im
-0.01587970160304798 + 0.0im	-0.17700319513639928 - 0.02881283311994351im	-0.20065622122152554 + 0.005258138921967504im	-0.20065622122152557 + 0.005258138921967514im	0.023653033275252734 - 0.03407097204189407im
-0.01572247683470097 + 0.0im	-0.1771528014997566 - 0.028811404320315072im	-0.20065388751427155 + 0.005206496127855176im	-0.20065388751427155 + 0.005206496127855182im	0.02350108518184388 - 0.03401790044815391im
-0.015566808747228683 + 0.0im	-0.17730074667675172 - 0.028810173416612794im	-0.20065212896338244 + 0.005155502426484116im	-0.2006521289633825 + 0.0051555024264841225im	0.023351371088715985 - 0.033965675843081286im
-0.01541268192794919 + 0.0im	-0.1774470543974536 - 0.0288091270138089im	-0.2006509308595327 + 0.005105135085905353im	-0.20065093085953276 + 0.0051051350859053594im	0.023203878335053992 - 0.0339142620996993im
-0.015260081116781376 + 0.0im	-0.17759174108878595 - 0.028808252128195905im	-0.2006502926046758 + 0.005055372023596304im	-0.2006502926046758 + 0.005055372023596313im	0.023058547187821923 - 0.03386362415177803im
-0.015108991204734036 + 0.0im	-0.1777348280063958 - 0.028807536187648922im	-0.2006501796673464 + 0.005006191807190865im	-0.2006501796673464 + 0.005006191807190871im	0.022915357052337437 - 0.033813727994826306im
-0.014959397232409936 + 0.0im	-0.1778763285811219 - 0.028806967031625195im	-0.20065059348732514 + 0.0049575736547840645im	-0.20065059348732514 + 0.004957573654784073im	0.022774269875408426 - 0.03376454068639651im
-0.014811284388524689 + 0.0im	-0.17801626369800908 - 0.028806532910884756im	-0.2006515180908208 + 0.004909497434783429im	-0.2006515180908208 + 0.0049094974347834355im	0.0226352564620973 - 0.03371603034565623im
-0.014664638008440286 + 0.0im	-0.1781546484742389 - 0.02880622248691485im	-0.20065293040359916 + 0.004861943665281349im	-0.2006529304035991 + 0.004861943665281357im	0.022498278555939017 - 0.03366816615218498im
-0.014519443572713155 + 0.0im	-0.17829151390411196 - 0.02880602483104406im	-0.2006548197322611 + 0.004814893512925008im	-0.2006548197322611 + 0.004814893512925015im	0.022363298364211318 - 0.03362091834395868im
-0.014375686705656589 + 0.0im	-0.1784268634967124 - 0.02880592942323314im	-0.20065717362832575 + 0.004768328791262903im	-0.2006571736283258 + 0.004768328791262911im	0.022230305814181794 - 0.03357425821448645im
-0.014233353173917414 + 0.0im	-0.17856073184163027 - 0.028805926150529862im	-0.20065997224969448 + 0.0047222319585490885im	-0.20065997224969448 + 0.004722231958549099im	0.022099240802920094 - 0.033528158109070186im
-0.014092428885066746 + 0.0im	-0.178693124572395 - 0.028806005305178718im	-0.20066320070333585 + 0.004676586114989242im	-0.20066320070333585 + 0.004676586114989248im	0.021970078725548674 - 0.033482591420160045im
-0.0139528998862047 + 0.0im	-0.1788240651789784 - 0.02880615758237644im	-0.20066684847171576 + 0.004631374999414523im	-0.20066684847171576 + 0.004631374999414532im	0.021842785803667608 - 0.03343753258178388im
-0.013814752362578911 + 0.0im	-0.17895357233443174 - 0.02880637407766601im	-0.20067089937726296 + 0.004586582985372353im	-0.20067089937726293 + 0.0045865829853723615im	0.021717327914185666 - 0.033392957063032136im
-0.013677972636216743 + 0.0im	-0.17908166460447783 - 0.02880664628396395im	-0.2006753349499671 + 0.00454219507662529im	-0.2006753349499671 + 0.0045421950766253im	0.021593673487776598 - 0.033348841360583865im
-0.013542547164571032 + 0.0im	-0.17920836104756208 - 0.028806966088217225im	-0.20068013921650424 + 0.004498196902052091im	-0.2006801392165043 + 0.0044981969020520965im	0.02147178400016477 - 0.03330516299026483im
-0.01340846253917924 + 0.0im	-0.17933367930569852 - 0.028807325767687256im	-0.20068530993659742 + 0.0044545747099473555im	-0.20068530993659742 + 0.004454574709947363im	0.02135163090123719 - 0.03326190047763102im
-0.013275705484335881 + 0.0im	-0.17945763831113956 - 0.02880771798586012im	-0.20069081206351794 + 0.0044113153617188535im	-0.20069081206351794 + 0.004411315361718863im	0.021233180490003466 - 0.033219033347576254im
-0.0131442628557781 + 0.0im	-0.17958025629232188 - 0.02880813578798418im	-0.20069665054072333 + 0.004368406324984092im	-0.20069665054072333 + 0.0043684063249840996im	0.021116395970612434 - 0.033176542112966494im
