w	A_d_u-self_d_u	A_d_d-self_d_u	A_d_u-self_d_d	A_d_d-self_d_d
-0.025097215008577586 + 0.0im	-0.9135411823947377 + 0.05398168442949551im	0.050641154675526504 - 0.23965527346245555im	0.050641154675525525 - 0.2396552734624538im	-0.9641823218212634 + 0.29363695789199773im
-0.024848727731264935 + 0.0im	-0.913818125285621 + 0.05348130925508134im	0.04986949411064176 - 0.23926180827647786im	0.049869494110640664 - 0.23926180827647614im	-0.9636875965298087 + 0.29274311753160603im
-0.02460270072402469 + 0.0im	-0.9141010725320136 + 0.05298929763790964im	0.049116047932312945 - 0.23888015208203672im	0.049116047932311745 - 0.23888015208203503im	-0.9632171025042928 + 0.29186944971999307im
-0.024359109627747216 + 0.0im	-0.9143900326500598 + 0.05250526955818326im	0.04838080730694594 - 0.23850969262948715im	0.04838080730694471 - 0.23850969262948557im	-0.9627708257707503 + 0.29101496218771705im
-0.024117930324502195 + 0.0im	-0.914684985116948 + 0.05202884828639464im	0.04766363993578593 - 0.23814982286176242im	0.0476636399357848 - 0.23814982286176076im	-0.9623486585066149 + 0.29017867114820367im
-0.023879138935150687 + 0.0im	-0.9149859228413117 + 0.05155966063349389im	0.04696456181777009 - 0.23779994132539156im	0.046964561817768966 - 0.23779994132538992im	-0.9619504999632075 + 0.28935960195893234im
-0.02364271181698088 + 0.0im	-0.9152928055200447 + 0.051097337206177054im	0.04628349384519856 - 0.2374594525897228im	0.0462834938451973 - 0.23745945258972112im	-0.9615763348020134 + 0.2885567897959467im
-0.023408625561367205 + 0.0im	-0.9156056623162453 + 0.05064151266656414im	0.04562034958361342 - 0.23712776767315624im	0.04562034958361216 - 0.23712776767315466im	-0.9612259939316997 + 0.2877692803397673im
-0.02317685699145268 + 0.0im	-0.9159243584979142 + 0.05019182599550703im	0.04497497668333982 - 0.2368043044751684im	0.04497497668333879 - 0.23680430447516687im	-0.9608993378415434 + 0.2869961304707221im
-0.02294738315985414 + 0.0im	-0.9162489345456675 + 0.04974792075874953im	0.04434722125270311 - 0.23648848821284477im	0.04434722125270185 - 0.23648848821284302im	-0.9605961692907169 + 0.28623640897164143im
-0.022720181346390235 + 0.0im	-0.9165792580634037 + 0.04930944537513518im	0.04373703219655779 - 0.23617975186063261im	0.043737032196556475 - 0.2361797518606311im	-0.9603163016556703 + 0.2854891972358146im
-0.022495229055831914 + 0.0im	-0.916915286451309 + 0.04887605338604577im	0.043144247252671755 - 0.23587753659197494im	0.04314424725267056 - 0.23587753659197339im	-0.9600595212030119 + 0.28475358997806743im
-0.02227250401567516 + 0.0im	-0.9172569643010825 + 0.04844740372523671im	0.042568641293606664 - 0.23558129222147967im	0.04256864129360541 - 0.23558129222147814im	-0.959825565255645 + 0.28402869594676333im
-0.022051984173935803 + 0.0im	-0.9176041333113688 + 0.048023160988226114im	0.04201006990367638 - 0.23529047764625188im	0.04201006990367526 - 0.23529047764625036im	-0.959614180970944 + 0.2833136386345246im
-0.021833647696966142 + 0.0im	-0.9179567670359529 + 0.047602995700386085im	0.041468296467335145 - 0.23500456128500968im	0.04146829646733392 - 0.235004561285008im	-0.9594250611221579 + 0.28260755698544265im
-0.02161747296729321 + 0.0im	-0.9183147469052287 + 0.04718658458288056im	0.040943196932371376 - 0.2347230215135956im	0.04094319693236993 - 0.23472302151359398im	-0.9592579840004485 + 0.28190960609652305im
-0.021403438581478425 + 0.0im	-0.9186779436722621 + 0.046773610815592545im	0.04043447318568001 - 0.2344453470954925im	0.04043447318567872 - 0.23444534709549103im	-0.9591124592062807 + 0.28121895791113205im
-0.02119152334799844 + 0.0im	-0.9190462534315336 + 0.0463637642961872im	0.039941967929862904 - 0.2341710376059611im	0.03994196792986156 - 0.2341710376059596im	-0.9589881624239447 + 0.280534801902195im
-0.020981706285146968 + 0.0im	-0.9194195350012071 + 0.045956741894460584im	0.03946529646146339 - 0.2338996038484202im	0.039465296461462046 - 0.2338996038484187im	-0.9588848162772159 + 0.27985634574292745im
-0.020773966618957394 + 0.0im	-0.9197976630072959 + 0.04555224770113433im	0.03900433468238246 - 0.2336305682617101im	0.03900433468238114 - 0.2336305682617086im	-0.9588019858523552 + 0.2791828159628911im
-0.020568283781145936 + 0.0im	-0.9201804689109914 + 0.04514999327026765im	0.038558739154126345 - 0.23336346531689509im	0.03855873915412509 - 0.2333634653168936im	-0.9587392565550343 + 0.2785134585872096im
-0.020364637407075184 + 0.0im	-0.9205678720340873 + 0.04474969785447279im	0.03812830714389211 - 0.23309784190228744im	0.038128307143890726 - 0.23309784190228594im	-0.9586961592193152 + 0.2778475397568064im
-0.020163007333737805 + 0.0im	-0.9209596492300604 + 0.04435108863213824im	0.03771265883001018 - 0.23283325769540347im	0.03771265883000883 - 0.23283325769540195im	-0.9586722854624892 + 0.2771843463275887im
-0.019963373597760202 + 0.0im	-0.9213556471236816 + 0.04395390092588637im	0.03731149328963985 - 0.2325692855206023im	0.03731149328963843 - 0.2325692855206009im	-0.9586671582996308 + 0.2765231864465354im
-0.019765716433425944 + 0.0im	-0.921755687687923 + 0.043557878411513117im	0.036924555281469235 - 0.23230551169118493im	0.03692455528146795 - 0.2323055116911836im	-0.9586802853404973 + 0.27586339010274474im
-0.019570016270718756 + 0.0im	-0.9221596647304574 + 0.04316277331668779im	0.036551520851241893 - 0.23204153633478933im	0.03655152085124067 - 0.23204153633478775im	-0.9587111672739351 + 0.2752043096515233im
-0.019376253733384908 + 0.0im	-0.9225672969542904 + 0.04276834660871778im	0.03619196874411404 - 0.23177697370095537im	0.036191968744112624 - 0.2317769737009539im	-0.9587593083677158 + 0.27454532030971934im
-0.01918440963701476 + 0.0im	-0.9229784929365012 + 0.042374368170716284im	0.03584563754962529 - 0.23151145244979027im	0.03584563754962381 - 0.23151145244978877im	-0.9588241569509235 + 0.2738858206205528im
-0.018994464987143328 + 0.0im	-0.9233929965084084 + 0.04198061696554614im	0.03551219815463045 - 0.23124461592071777im	0.0355121981546291 - 0.23124461592071643im	-0.9589051847654171 + 0.27322523288631034im
-0.01880640097736963 + 0.0im	-0.9238106291780829 + 0.04158688118694846im	0.03519121428169348 - 0.23097612238036208im	0.035191214281692064 - 0.2309761223803605im	-0.9590018278488275 + 0.272563003567357im
-0.018620198987494684 + 0.0im	-0.9242312000492421 + 0.04119295839730547im	0.034882338175799006 - 0.2307056452486688im	0.03488233817579744 - 0.23070564524866735im	-0.9591135145857501 + 0.2718986036460203im
-0.018435840581677906 + 0.0im	-0.92465448069976 + 0.04079865565152714im	0.03458522650479595 - 0.2304328733024473im	0.03458522650479441 - 0.23043287330244594im	-0.9592396912957991 + 0.2712315289540207im
-0.018253307506611787 + 0.0im	-0.9250802971185773 + 0.04040378960659484im	0.034299490376227565 - 0.23015751085557548im	0.03429949037622609 - 0.23015751085557418im	-0.959379762369337 + 0.27056130046221644im
-0.01807258168971464 + 0.0im	-0.9255084031919131 + 0.040008186616339834im	0.034024730580218175 - 0.22987927791518986im	0.03402473058021676 - 0.22987927791518856im	-0.9595331322737175 + 0.26988746453157547im
-0.017893645237341226 + 0.0im	-0.9259386141157013 + 0.03961168281108088im	0.03376057489194184 - 0.22959791031325189im	0.03376057489194043 - 0.2295979103132505im	-0.9596991878608524 + 0.2692095931243783im
-0.017716480433011116 + 0.0im	-0.9263706384625466 + 0.03921412416179285im	0.03350668190271082 - 0.22931315981296913im	0.03350668190270937 - 0.22931315981296774im	-0.9598773333671242 + 0.26852728397480785im
-0.01754106973565457 + 0.0im	-0.9268043892835939 + 0.038815366528528315im	0.03326257291332975 - 0.22902479418961874im	0.0332625729133282 - 0.22902479418961727im	-0.9600669408444092 + 0.2678401607181925im
-0.017367395777875813 + 0.0im	-0.9272395435783576 + 0.03841527569286139im	0.033027887163453735 - 0.2287325972854026im	0.03302788716345217 - 0.22873259728540127im	-0.96026741423881 + 0.2671478729783094im
-0.01719544136423348 + 0.0im	-0.9276759075045822 + 0.038013727374177034im	0.03280221605648443 - 0.22843636903806017im	0.03280221605648289 - 0.22843636903805875im	-0.9604781055473954 + 0.2664500964122827im
-0.0170251894695381 + 0.0im	-0.9281132556006502 + 0.037610607229677774im	0.03258515018168133 - 0.2281359254830256im	0.032585150181679755 - 0.2281359254830244im	-0.9606984005504685 + 0.2657465327127487im
-0.016856623237166433 + 0.0im	-0.928551367517066 + 0.03720581083803311im	0.03237630328108665 - 0.2278310987290174im	0.03237630328108517 - 0.2278310987290161im	-0.9609276627293792 + 0.26503690956709564im
-0.01668972597739251 + 0.0im	-0.9289900054481054 + 0.03679924366664759im	0.0321752600949562 - 0.22752173690702565im	0.032175260094954694 - 0.22752173690702437im	-0.9611652602313334 + 0.264320980573718im
-0.01652448116573516 + 0.0im	-0.9294289526226189 + 0.03639082102257611im	0.031981623845078425 - 0.22720770409274677im	0.03198162384507692 - 0.2272077040927454im	-0.9614105600688576 + 0.2635985251153677im
-0.01636087244132194 + 0.0im	-0.9298679899168508 + 0.03598046798716643im	0.031794980361410985 - 0.22688888020259565im	0.03179498036140935 - 0.22688888020259435im	-0.9616629644272845 + 0.26286934818980695im
-0.016198883605269245 + 0.0im	-0.9303068754590285 + 0.035568119334559924im	0.03161492637740381 - 0.2265651608635199im	0.03161492637740224 - 0.22656516086351872im	-0.9619217857649442 + 0.26213328019812465im
-0.01603849861907846 + 0.0im	-0.9307454190672588 + 0.0351537194342318im	0.03144105175367886 - 0.22623645725690356im	0.031441051753677285 - 0.22623645725690233im	-0.9621864807893323 + 0.26139017669117975im
-0.01587970160304798 + 0.0im	-0.9311833188502538 + 0.03473722213780253im	0.03127296567756791 - 0.22590269593694617im	0.03127296567756635 - 0.22590269593694506im	-0.9624563344713246 + 0.26063991807479336im
-0.01572247683470097 + 0.0im	-0.9316204791206316 + 0.034318590650400556im	0.031110330934308275 - 0.2255638186239738im	0.031110330934306683 - 0.22556381862397262im	-0.9627307995332528 + 0.2598824092744186im
-0.015566808747228683 + 0.0im	-0.9320565892215861 + 0.033897797386902496im	0.030952674889067798 - 0.22521978197320883im	0.030952674889066344 - 0.22521978197320783im	-0.9630092572814172 + 0.25911757936015567im
-0.01541268192794919 + 0.0im	-0.9324914582744708 + 0.03347482381342558im	0.030799630588994705 - 0.2248705573196185im	0.030799630588993283 - 0.22487055731961722im	-0.9632910761714947 + 0.25834538113308836im
-0.015260081116781376 + 0.0im	-0.9329248813137658 + 0.03304966027448935im	0.03065079871803151 - 0.22451613039950855im	0.03065079871802989 - 0.22451613039950732im	-0.9635756926031667 + 0.257565790674042im
-0.015108991204734036 + 0.0im	-0.9333566282730769 + 0.03262230580630688im	0.030505866203409414 - 0.22415650104962112im	0.03050586620340792 - 0.22415650104961998im	-0.9638624854988238 + 0.2567788068559717im
-0.014959397232409936 + 0.0im	-0.9337865121430086 + 0.03219276793670707im	0.030364394370527587 - 0.22379168288454557im	0.03036439437052616 - 0.2237916828845443im	-0.9641508993022898 + 0.25598445082129645im
-0.014811284388524689 + 0.0im	-0.9342143275440081 + 0.03176106247222832im	0.03022602012653721 - 0.22342170295332273im	0.030226020126535663 - 0.22342170295332137im	-0.9644403602427314 + 0.2551827654255949im
-0.014664638008440286 + 0.0im	-0.9346398679783828 + 0.031327213272958614im	0.030090416107876824 - 0.22304660137617519im	0.03009041610787528 - 0.22304660137617405im	-0.9647302830426824 + 0.2543738146491776im
-0.014519443572713155 + 0.0im	-0.9350629527348056 + 0.03089125201573413im	0.029957240320943924 - 0.22266643096235664im	0.0299572403209425 - 0.2226664309623554im	-0.9650201778639667 + 0.25355768297813397im
-0.014375686705656589 + 0.0im	-0.935483382610296 + 0.030453217946337402im	0.02982609246712929 - 0.22228125681016025im	0.029826092467127623 - 0.22228125681015887im	-0.9653094663561873 + 0.2527344747565408im
-0.014233353173917414 + 0.0im	-0.9359009750071992 + 0.030013157621366963im	0.029696676367974715 - 0.22189115589017797im	0.02969667636797288 - 0.22189115589017683im	-0.9655976308271711 + 0.2519043135115882im
-0.014092428885066746 + 0.0im	-0.936315548758105 + 0.029571124640476308im	0.029568611716770575 - 0.22149621661293964im	0.029568611716769572 - 0.22149621661293872im	-0.965884166175595 + 0.2510673412534592im
-0.0139528998862047 + 0.0im	-0.9367269265261918 + 0.029127179369703216im	0.029441660742506842 - 0.2210965383820998im	0.029441660742505524 - 0.22109653838209853im	-0.96616858123665 + 0.25022371775184615im
-0.013814752362578911 + 0.0im	-0.9371349469539113 + 0.028681388656632254im	0.0293154274762943 - 0.22069223113437925im	0.02931542747629289 - 0.22069223113437803im	-0.9664503745514957 + 0.24937361979105419im
-0.013677972636216743 + 0.0im	-0.9375394401426926 + 0.02823382553815085im	0.029189680723496463 - 0.2202834148674906im	0.029189680723494767 - 0.22028341486748934im	-0.9667291046790121 + 0.2485172404056842im
-0.013542547164571032 + 0.0im	-0.9379402513365594 + 0.027784568941574477im	0.02906405396324913 - 0.21987021915730648im	0.029064053963247582 - 0.21987021915730537im	-0.9670043103758578 + 0.24765478809892366im
-0.01340846253917924 + 0.0im	-0.9383372282220263 + 0.027333703379928884im	0.028938320739395215 - 0.21945278266554086im	0.028938320739394084 - 0.21945278266553989im	-0.9672755513204768 + 0.24678648604551237im
-0.013275705484335881 + 0.0im	-0.9387302295274772 + 0.02688131864218566im	0.02881221158917226 - 0.2190312526392401im	0.028812211589170654 - 0.21903125263923887im	-0.9675424230324123 + 0.2459125712814683im
-0.0131442628557781 + 0.0im	-0.9391191070809014 + 0.026427509479255474im	0.028685398684502275 - 0.21860578440337902im	0.02868539868450065 - 0.21860578440337797im	-0.9678045093268968 + 0.24503329388267678im
-0.013014121639384257 + 0.0im	-0.9395037356110056 + 0.025972375286544343im	0.028557690122763473 - 0.218176540847871im	0.028557690122761863 - 0.21817654084786983im	-0.9680614293600757 + 0.2441489161344573im
-0.012885268949885403 + 0.0im	-0.9398839905739242 + 0.02551601978388097im	0.028428846736931117 - 0.21774369191029463im	0.028428846736929424 - 0.21774369191029355im	-0.9683128204779375 + 0.24325971169421762im
-0.012757692029589507 + 0.0im	-0.9402597421035164 + 0.025058550693618443im	0.028298571728143034 - 0.21730741405563989im	0.02829857172814141 - 0.21730741405563883im	-0.9685583205589917 + 0.24236596474930003im
-0.012631378247118324 + 0.0im	-0.940630888916959 + 0.02460007941771026im	0.02816673388568921 - 0.2168678897543647im	0.028166733885687596 - 0.21686788975436366im	-0.9687976093485903 + 0.2414679691721163im
-0.012506315096156757 + 0.0im	-0.9409973234252055 + 0.02414072071455087im	0.02803303718800298 - 0.21642530696004636im	0.028033037188001368 - 0.2164253069600453im	-0.9690303631421855 + 0.2405660276746385im
-0.012382490194214611 + 0.0im	-0.9413589378764704 + 0.02368059237636126im	0.027897363326249546 - 0.21597985858787952im	0.027897363326247898 - 0.21597985858787858im	-0.969256288392177 + 0.23966045096428218im
-0.012259891281400604 + 0.0im	-0.9417156501153618 + 0.02321981490788618im	0.027759444603281804 - 0.21553174199527156im	0.027759444603280104 - 0.2155317419952706im	-0.9694751021037807 + 0.23875155690319894im
-0.01213850621920852 + 0.0im	-0.9420673652949783 + 0.022758511207153317im	0.027619170982529993 - 0.2150811584657383im	0.027619170982528377 - 0.21508115846573736im	-0.9696865378066915 + 0.23783966967293288im
-0.012018322989315365 + 0.0im	-0.9424140121039281 + 0.02229680624902687im	0.027476355702885775 - 0.21462831269729357im	0.027476355702884207 - 0.21462831269729257im	-0.9698903738740222 + 0.23692511894636156im
-0.011899329692391452 + 0.0im	-0.9427555164077411 + 0.021834826772267227im	0.027330845195275493 - 0.2141734122964729im	0.02733084519527375 - 0.2141734122964718im	-0.9700863676703936 + 0.2360082390687808im
-0.01178151454692223 + 0.0im	-0.9430917919759665 + 0.02137270097078517im	0.0271825288616804 - 0.21371666727911418im	0.027182528861678896 - 0.2137166672791133im	-0.9702743364815101 + 0.23508936824993998im
-0.011664865888041812 + 0.0im	-0.9434228522681727 + 0.020910558189754326im	0.027031211998670354 - 0.2132582895789587im	0.02703121199866892 - 0.21325828957895762im	-0.9704540456598633 + 0.23416884776875352im
-0.011549372166378032 + 0.0im	-0.9437485633025566 + 0.020448528627219183im	0.026876809233673804 - 0.21279849256510966im	0.026876809233672253 - 0.21279849256510863im	-0.9706253534035946 + 0.23324702119236926im
-0.011435021946908942 + 0.0im	-0.944068918252892 + 0.01998674304180632im	0.026719212169762405 - 0.21233749056932605im	0.026719212169760833 - 0.2123374905693249im	-0.9707881157837145 + 0.23232423361117213im
-0.011321803907830635 + 0.0im	-0.9443838726054238 + 0.01952533246711781im	0.026558299655481635 - 0.21187549842408385im	0.02655829965548005 - 0.21187549842408274im	-0.9709421767389044 + 0.2314008308912418im
-0.011209706839436272 + 0.0im	-0.9446933956007775 + 0.019064427933352304im	0.026394042792555805 - 0.21141273101230126im	0.02639404279255415 - 0.21141273101230018im	-0.9710874238785404 + 0.2304771589456933im
-0.01109871964300621 + 0.0im	-0.9449974620700023 + 0.018604160196668402im	0.026226307518735857 - 0.21094940282953334im	0.026226307518734244 - 0.21094940282953242im	-0.9712237550669848 + 0.2295535630262413im
-0.010988831329709119 + 0.0im	-0.9452960543278252 + 0.018144659476768535im	0.026055024548834377 - 0.21048572755943745im	0.02605502454883284 - 0.21048572755943634im	-0.9713510846150302 + 0.22863038703624564im
-0.010880031019513979 + 0.0im	-0.9455891589537669 + 0.017686055203148626im	0.02588018268737669 - 0.2100219176632057im	0.025880182687375103 - 0.21002191766320463im	-0.971469341314242 + 0.22770797286639372im
-0.01077230794011285 + 0.0im	-0.9458767628931333 + 0.01722847577042153im	0.025701727673120605 - 0.20955818398363824im	0.02570172767311899 - 0.2095581839836371im	-0.9715784760108046 + 0.22678665975409912im
-0.010665651425854307 + 0.0im	-0.9461588745280416 + 0.016772048303086262im	0.025519587237856127 - 0.20909473536445056im	0.025519587237854326 - 0.20909473536444947im	-0.9716784470333901 + 0.2258667836675758im
-0.010560050916687432 + 0.0im	-0.9464355257996193 + 0.016316898430077813im	0.025333729643186073 - 0.20863177828536034im	0.025333729643184307 - 0.20863177828535948im	-0.9717692324724541 + 0.22494867671547722im
-0.010455495957116269 + 0.0im	-0.9467066349420085 + 0.015863150069395454im	0.025144181512601168 - 0.20816951651343352im	0.02514418151259953 - 0.2081695165134326im	-0.971850807803706 + 0.22403266658286775im
-0.010351976195164623 + 0.0im	-0.9469723184117459 + 0.015410925223069328im	0.02495091467209137 - 0.2077081507711094im	0.02495091467208976 - 0.20770815077110844im	-0.9719232259249301 + 0.22311907599421724im
-0.010249481381351112 + 0.0im	-0.9472325385057805 + 0.014960343782687919im	0.024753937607733256 - 0.20724787842126483im	0.02475393760773151 - 0.20724787842126383im	-0.9719864710856408 + 0.22220822220399133im
-0.010148001367674369 + 0.0im	-0.9474873509788007 + 0.014511523345672048im	0.02455322814453828 - 0.20678889316962162im	0.024553228144536633 - 0.20678889316962085im	-0.9720405638942072 + 0.22130041651533255im
-0.010047526106608286 + 0.0im	-0.9477367765436714 + 0.014064579042443133im	0.02434881643447349 - 0.20633138478473007im	0.024348816434472047 - 0.20633138478472923im	-0.9720855792607862 + 0.22039596382721136im
-0.009948045650107214 + 0.0im	-0.9479808510762873 + 0.013619623374597802im	0.024140731950125303 - 0.20587553883571583im	0.024140731950123836 - 0.20587553883571483im	-0.9721215690438553 + 0.21949516221035176im
-0.009849550148621003 + 0.0im	-0.9482196144004059 + 0.013176766064164153im	0.023928999490894998 - 0.2054215364479108im	0.023928999490893436 - 0.20542153644790978im	-0.9721485960991989 + 0.21859830251211296im
-0.009752029850119805 + 0.0im	-0.9484530855537062 + 0.012736113913980182im	0.023713641428057725 - 0.20496955407643708im	0.023713641428056098 - 0.20496955407643597im	-0.9721667463794301 + 0.21770566799045515im
-0.00965547509912852 + 0.0im	-0.9486813662768165 + 0.012297770679200262im	0.023494731136190636 - 0.20451976329774818im	0.023494731136189093 - 0.2045197632977472im	-0.9721761051470044 + 0.21681753397698608im
-0.009559876335770812 + 0.0im	-0.9489045057235291 + 0.011861836949901967im	0.023272303334529506 - 0.2040723306190935im	0.023272303334527913 - 0.2040723306190924im	-0.9721767961267529 + 0.2159341675690326im
-0.009465224094822587 + 0.0im	-0.9491225063798276 + 0.011428410044733018im	0.023046420851586934 - 0.2036274173058028im	0.023046420851585158 - 0.20362741730580175im	-0.9721689197260511 + 0.2150558273505734im
-0.009371509004774839 + 0.0im	-0.9493354632717423 + 0.010997583915507633im	0.022817141771517068 - 0.20318517922625068im	0.022817141771515326 - 0.20318517922624985im	-0.9721525867380212 + 0.21418276314179555im
-0.00927872178690578 + 0.0im	-0.9495434303659681 + 0.010569449062629856im	0.02258453617871945 - 0.20274576671429992im	0.0225845361787178 - 0.202745766714299im	-0.9721279481896133 + 0.21331521577696724im
-0.009186853254362158 + 0.0im	-0.949746470540599 + 0.010144092461194987im	0.022348675621516604 - 0.20230932444899435im	0.02234867562151489 - 0.2023093244489935im	-0.9720951400222633 + 0.2124534169102262im
-0.009095894311249662 + 0.0im	-0.9499446662836605 + 0.009721597497591002im	0.022109645509041872 - 0.2018759913512029im	0.022109645509040297 - 0.20187599135120202im	-0.9720542957635335 + 0.21159758884883065im
-0.009005835951732339 + 0.0im	-0.9501380581588634 + 0.009302043916397319im	0.02186751487903334 - 0.20144590049690278im	0.02186751487903163 - 0.20144590049690175im	-0.9720055867204208 + 0.2107479444133367im
-0.00891666925914093 + 0.0im	-0.9503268123937222 + 0.008885507777353483im	0.021622392946550172 - 0.2010191790467271im	0.021622392946548507 - 0.2010191790467263im	-0.971949160641681 + 0.2099046868241173im
-0.008828385405090029 + 0.0im	-0.9505108413355543 + 0.008472061422148252im	0.0213743463391274 - 0.2005959481913815im	0.021374346339125824 - 0.20059594819138057im	-0.9718851915026723 + 0.2090680096135658im
-0.008740975648603988 + 0.0im	-0.9506904154578728 + 0.008061773450757596im	0.021123475368569473 - 0.20017632311248953im	0.02112347536856784 - 0.20017632311248865im	-0.9718138550824572 + 0.20823809656328318im
-0.008654431335251473 + 0.0im	-0.9508654209748892 + 0.0076547087070421545im	0.020869878900927126 - 0.199760412958409im	0.02086987890092549 - 0.1997604129584081im	-0.9717353127323057 + 0.20741512166548695im
-0.008568743896288587 + 0.0im	-0.951036104471816 + 0.007250928273295859im	0.020613632824929125 - 0.19934832083451354im	0.020613632824927577 - 0.1993483208345127im	-0.9716497459432781 + 0.20659924910784533im
-0.008483904847810482 + 0.0im	-0.9512024630808182 + 0.006850489473422345im	0.0203549282764722 - 0.19894014380743072im	0.02035492827647056 - 0.1989401438074299im	-0.9715573711111136 + 0.2057906332808887im
-0.008399905789911368 + 0.0im	-0.951364617834673 + 0.006453445884401024im	0.020093775976442206 - 0.19853597292268205im	0.020093775976440572 - 0.19853597292268124im	-0.9714583809463844 + 0.2049894188071185im
-0.00831673840585284 + 0.0im	-0.951522605441875 + 0.006059847355692535im	0.019830322970003023 - 0.19813589323517108im	0.019830322970001486 - 0.19813589323517025im	-0.971352901220881 + 0.20419574059089937im
-0.008234394461240436 + 0.0im	-0.9516765571548904 + 0.005669740036222358im	0.019564665647824647 - 0.19773998385193486im	0.019564665647822964 - 0.197739983851934im	-0.9712411934034342 + 0.2034097238881925im
-0.008152865803208353 + 0.0im	-0.9518265465148184 + 0.005283166408572173im	0.01929691783931065 - 0.19734831798655736im	0.019296917839309036 - 0.1973483179865566im	-0.9711234580608858 + 0.2026314843951643im
-0.00807214435961223 + 0.0im	-0.9519726644623132 + 0.004900165330001286im	0.019027190027734002 - 0.19696096302465016im	0.01902719002773264 - 0.1969609630246493im	-0.9709998505044884 + 0.2018611283546866im
-0.007992222138229931 + 0.0im	-0.9521149970776092 + 0.0045207720799144155im	0.018755569021449987 - 0.19657798059976958im	0.018755569021448378 - 0.19657798059976858im	-0.9708705898965734 + 0.2010987526797186im
-0.00791309122597023 + 0.0im	-0.9522536336607903 + 0.004145018413387955im	0.0184822541388254 - 0.19619942667915155im	0.01848225413882374 - 0.19619942667915066im	-0.9707358736782711 + 0.2003444450925739im
-0.007834743788089335 + 0.0im	-0.952388658532529 + 0.0037729326203640237im	0.01820726822745587 - 0.19582535165863857im	0.018207268227454197 - 0.19582535165863774im	-0.9705959163139144 + 0.1995982842790369im
-0.007757172067415183 + 0.0im	-0.9525201800454677 + 0.0034045395901206475im	0.017930729023992724 - 0.19545580046616093im	0.017930729023991235 - 0.19545580046616015im	-0.9704509161139213 + 0.198860340056316im
-0.0076803683835793895 + 0.0im	-0.9526482619250667 + 0.0030398608806262925im	0.01765281220397058 - 0.19509081267314587im	0.01765281220396896 - 0.1950908126731449im	-0.970301082343887 + 0.19813067355380623im
-0.007604325132256821 + 0.0im	-0.9527729970725254 + 0.002678914792388751im	0.01737357738386025 - 0.19473042261322268im	0.017373577383858658 - 0.19473042261322193im	-0.970146587303311 + 0.19740933740564526im
-0.007529034784412694 + 0.0im	-0.9528944945587605 + 0.002321716446411365im	0.01709318914892661 - 0.19437465950760596im	0.017093189148925 - 0.19437465950760507im	-0.9699876672331909 + 0.19669637595405132im
-0.007454489885557123 + 0.0im	-0.9530128206616518 + 0.0019682778658735296im	0.016811701409322245 - 0.19402354759653037im	0.016811701409320676 - 0.19402354759652957im	-0.9698245030777696 + 0.19599182546243765im
-0.007380683055007053 + 0.0im	-0.9531280693571139 + 0.0016186080611579297im	0.016529245867354398 - 0.1936771062761355im	0.01652924586735282 - 0.19367710627613455im	-0.9696572964616486 + 0.19529571433732684im
-0.0073076069851554975 + 0.0im	-0.9532403253051426 + 0.001272713117853341im	0.01624591546251796 - 0.1933353502401979im	0.01624591546251619 - 0.19333535024019705im	-0.969486242294931 + 0.19460806335808462im
-0.007235254440748017 + 0.0im	-0.953349676571626 + 0.0009305962873693598im	0.015961858849308563 - 0.19299828962612497im	0.015961858849307006 - 0.1929982896261243im	-0.9693115375338043 + 0.19392888591352755im
-0.007163618258166354 + 0.0im	-0.9534562060865799 + 0.0005922580798078133im	0.015677154923869657 - 0.1926659301646343im	0.015677154923868227 - 0.19266593016463343im	-0.9691333658833221 + 0.1932581882444753im
-0.007092691344719162 + 0.0im	-0.9535600047030395 + 0.0002576963587449796im	0.015391950734471712 - 0.1923382733325637im	0.015391950734470155 - 0.19233827333256284im	-0.9689519405285548 + 0.19259596969134174im
-0.007022466677939764 + 0.0im	-0.9536611436404082 - 7.309356241112864e-5im	0.015106294250873816 - 0.19201531650826462im	0.015106294250872222 - 0.19201531650826378im	-0.9687674279537872 + 0.19194222294588642im
-0.006952937304890856 + 0.0im	-0.9537597060377526 - 0.0004001188228132954im	0.01482029043826491 - 0.1916970531290564im	0.014820290438263314 - 0.19169705312905552im	-0.9685800052604804 + 0.1912969343062759im
-0.006884096341476095 + 0.0im	-0.9538557806209433 - 0.0007233889156308689im	0.01453409909885242 - 0.1913834728502326im	0.0145340990988508 - 0.19138347285023177im	-0.9683898662000963 + 0.19066008393463438im
-0.0068159369717585095 + 0.0im	-0.9539494334976064 - 0.0010429155888700566im	0.014247759684858486 - 0.19107456170513215im	0.014247759684856877 - 0.1910745617051313im	-0.9681971880317493 + 0.19003164611629456im
-0.006748452447285653 + 0.0im	-0.9540407514927908 - 0.0013587127458473995im	0.013961391810490713 - 0.19077030226580624im	0.013961391810489174 - 0.19077030226580544im	-0.9680021321549354 + 0.1894115895199916im
-0.006681636086421439 + 0.0im	-0.9541298080964872 - 0.0016707963455923377im	0.013675069913370306 - 0.1904706738038356im	0.013675069913368778 - 0.19047067380383464im	-0.9678048874578024 + 0.18879987745827567im
-0.006615481273684593 + 0.0im	-0.9542166775309862 - 0.0019791843034410363im	0.01338892130279684 - 0.19017565245086898im	0.01338892130279517 - 0.19017565245086807im	-0.96760560298309 + 0.18819646814746022im
