w	A_d_u-self_d_u	A_d_d-self_d_u	A_d_u-self_d_d	A_d_d-self_d_d
-2.0 + 0.0im	-0.0737269444716522 + 0.0001587679132272257im	-0.09639719539736565 - 0.0004718877323279809im	-0.09639719539736562 - 0.00047188773232798026im	0.022670252936059128 + 0.000630655646053773im
-1.9801980198019802 + 0.0im	-0.07398711642593214 + 0.00016663638405850183im	-0.09816150663401366 - 0.0004984240457682182im	-0.09816150663401361 - 0.0004984240457682173im	0.024174393187975287 + 0.0006650604303290422im
-1.9605920988138417 + 0.0im	-0.07455535893941484 + 0.00017486397367639503im	-0.09902409102543966 - 0.0005262478029060507im	-0.09902409102543966 - 0.0005262478029060498im	0.024468735191289517 + 0.0007011117770883614im
-1.9411802958552888 + 0.0im	-0.07511200787832481 + 0.00018346590372990223im	-0.09993583437595363 - 0.0005554094243958374im	-0.09993583437595363 - 0.0005554094243958364im	0.024823823434294765 + 0.0007388753286350851im
-1.9219606889656324 + 0.0im	-0.07566520397022901 + 0.00019245800839256093im	-0.10087267030025254 - 0.0005859606957068638im	-0.10087267030025254 - 0.0005859606957068627im	0.02520747438910841 + 0.0007784187046120314im
-1.9029313752134975 + 0.0im	-0.07621740387121644 + 0.0002018567583497417im	-0.1018273374889733 - 0.0006179547796757222im	-0.10182733748897325 - 0.0006179547796757209im	0.025609936697142364 + 0.0008198115385411627im
-1.8840904705084134 + 0.0im	-0.07676966289534407 + 0.00021167928568587577im	-0.10279673008660416 - 0.0006514462286521047im	-0.10279673008660416 - 0.0006514462286521037im	0.02602706588990195 + 0.0008631255148566011im
-1.8654361094142706 + 0.0im	-0.07732251176811152 + 0.00022194340970058818im	-0.10377926364848139 - 0.0006864909962841436im	-0.10377926364848138 - 0.0006864909962841424im	0.026456757300997266 + 0.0009084344065060988im
-1.8469664449646244 + 0.0im	-0.07787623466226863 + 0.00023266766368332297im	-0.10477406762211613 - 0.0007231464489964643im	-0.10477406762211612 - 0.0007231464489964631im	0.026897838213634787 + 0.0009558141132037252im
-1.828679648479826 + 0.0im	-0.07843100198102029 + 0.00024387132267667463im	-0.10578062324033122 - 0.000761471377221334im	-0.10578062324033122 - 0.0007614713772213328im	0.027349624341751443 + 0.0010053427004243407im
-1.8105739093859663 + 0.0im	-0.07898690982538836 + 0.00025557443225926766im	-0.1067986057861142 - 0.0008015260064506946im	-0.1067986057861142 - 0.0008015260064506936im	0.027811696005577955 + 0.00105710043923851im
-1.79264743503561 + 0.0im	-0.07954401074441213 + 0.0002677978383796486im	-0.10782782671159083 - 0.0008433720081845275im	-0.10782782671159083 - 0.0008433720081845264im	0.028283818562015773 + 0.0011111698470947595im
-1.774898450530307 + 0.0im	-0.0801023287048506 + 0.00028056321827331056im	-0.10886817860149564 - 0.0008870725108587151im	-0.1088681786014956 - 0.0008870725108587135im	0.028765852334046136 + 0.0011676357296644625im
-1.7573251985448584 + 0.0im	-0.08066186825476916 + 0.0002938931124955881im	-0.10991960658565911 - 0.0009326921108435092im	-0.10991960658565911 - 0.0009326921108435082im	0.0292577361520641 + 0.0012265852238732085im
-1.739925939153325 + 0.0im	-0.08122262135344915 + 0.0003078109581038382im	-0.1109820867953571 - 0.0009802968836117498im	-0.11098208679535704 - 0.0009802968836117483im	0.029759463632954865 + 0.00128810784225119im
-1.7226989496567575 + 0.0im	-0.08178456071069096 + 0.000322341123022951im	-0.11205562448555285 - 0.0010299543951840268im	-0.11205562448555284 - 0.0010299543951840249im	0.03027106376989683 + 0.0013522955187438895im
-1.7056425244126312 + 0.0im	-0.08234766595905613 + 0.00033750894162891013im	-0.11314024280808391 - 0.001081733713966239im	-0.11314024280808391 - 0.0010817337139662378im	0.030792582168424114 + 0.001419242656133187im
-1.6887549746659716 + 0.0im	-0.08291190040952695 + 0.00035334075158578016im	-0.11423599724875509 - 0.0011357054231031im	-0.11423599724875509 - 0.0011357054231030984im	0.03132409633649007 + 0.0014890461752278625im
-1.6720346283821501 + 0.0im	-0.0834772223650279 + 0.0003698639319721747im	-0.11534292808973864 - 0.0011919416334794286im	-0.11534292808973864 - 0.0011919416334794266im	0.03186570581658403 + 0.0015618055659913502im
-1.6554798300813367 + 0.0im	-0.08404358787495984 + 0.00038710694273392653im	-0.11646110486443555 - 0.0012505159975091454im	-0.11646110486443552 - 0.0012505159975091439im	0.03241751512729464 + 0.0016376229407834009im
-1.6390889406745908 + 0.0im	-0.08461095000223269 + 0.00040509936550036627im	-0.11759059101679555 - 0.001311503723860053im	-0.11759059101679549 - 0.0013115037238600514im	0.032979643312044254 + 0.0017166030899011542im
-1.622860337301575 + 0.0im	-0.08517925545275294 + 0.0004238719458022991im	-0.11873146747629611 - 0.0013749815932704258im	-0.11873146747629608 - 0.0013749815932704247im	0.0335522135242397 + 0.0017988535396136823im
-1.6067924131698763 + 0.0im	-0.08574844994807065 + 0.0004434566367304518im	-0.11988381476084362 - 0.0014410279756213336im	-0.11988381476084362 - 0.0014410279756213312im	0.034135360363179004 + 0.001884484612892788im
-1.5908835773959171 + 0.0im	-0.08631847599867233 + 0.00046388664407385127im	-0.12104770549892763 - 0.001509722848436281im	-0.12104770549892759 - 0.0015097228484362794im	0.034729232023018634 + 0.0019736094930510066im
-1.5751322548474427 + 0.0im	-0.08688927529308191 + 0.00048519647297827945im	-0.12222324340707438 - 0.0015811478169872584im	-0.12222324340707438 - 0.0015811478169872567im	0.0353339683261313 + 0.0020663442905061065im
-1.559536885987567 + 0.0im	-0.08746077916180223 + 0.0005074219761656506im	-0.12341051012784708 - 0.0016553861361935178im	-0.12341051012784704 - 0.0016553861361935155im	0.03594974475718204 + 0.00216280811289926im
-1.5440959267203633 + 0.0im	-0.088032922744846 + 0.0005306004037558045im	-0.12460960410289157 - 0.0017325227345063605im	-0.12460960410289157 - 0.0017325227345063587im	0.03657667317565873 + 0.002263123138801607im
-1.5288078482379834 + 0.0im	-0.08860565508451346 + 0.0005547704547329344im	-0.12582061827770155 - 0.0018126442399798658im	-0.12582061827770155 - 0.001812644239979863im	0.03721495889683152 + 0.0023674146952514224im
-1.5136711368692906 + 0.0im	-0.08917888924730685 + 0.0005799723300994817im	-0.12704364859186998 - 0.0018958390087337991im	-0.12704364859186995 - 0.0018958390087337963im	0.037864755932677976 + 0.0024758113393709186im
-1.4986842939299907 + 0.0im	-0.08975255664724452 + 0.0006062477877610293im	-0.12827879960375305 - 0.0019821971560208206im	-0.12827879960375305 - 0.0019821971560208184im	0.03852623864236883 + 0.002588444944318338im
-1.483845835574248 + 0.0im	-0.09032658521382111 + 0.000633640199186336im	-0.1295261713713991 - 0.002071810590115605im	-0.12952617137139907 - 0.002071810590115603im	0.03919957973617826 + 0.002705450789837121im
