w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-2.0 + 0.0im	-0.4608534269501496 - 0.001534089687320646im	0.058131006752629645 + 0.0009917169874666238im	0.058131006752629645 + 0.0009917169874666244im	-0.5189844365956654 - 0.0025258066752557344im
-1.9801980198019802 + 0.0im	-0.46795996417087193 - 0.0016208055739539032im	0.06104941140717206 + 0.0010504759505171424im	0.06104941140717206 + 0.0010504759505171426im	-0.5290093684065396 - 0.0026712815249442003im
-1.9605920988138417 + 0.0im	-0.47214702933577557 - 0.0017117398894136665im	0.06207587109745389 + 0.0011123011607447667im	0.06207587109745389 + 0.0011123011607447667im	-0.5342228910920669 - 0.0028240410506361778im
-1.9411802958552888 + 0.0im	-0.47650611121796926 - 0.0018070577979883893im	0.06320969213456458 + 0.001177328357756844im	0.06320969213456458 + 0.001177328357756844im	-0.5397158023641634 - 0.002984386156227465im
-1.9219606889656324 + 0.0im	-0.4809591238242211 - 0.0019069289085053992im	0.06440077599618149 + 0.0012456981011172853im	0.06440077599618149 + 0.0012456981011172855im	-0.5453598867451127 - 0.0031526270101092974im
-1.9029313752134975 + 0.0im	-0.4854825621691125 - 0.002011527313609152im	0.0656341320664972 + 0.0013175559006088284im	0.0656341320664972 + 0.001317555900608829im	-0.5511166934397869 - 0.0033290832147088696im
-1.8840904705084134 + 0.0im	-0.4900664357294044 - 0.0021210316277625986im	0.06690359018361128 + 0.0013930523500780062im	0.06690359018361128 + 0.0013930523500780062im	-0.5569700226336194 - 0.003514083978335663im
-1.8654361094142706 + 0.0im	-0.49470573168627446 - 0.002235625024144103im	0.0682061503797129 + 0.001472343265113442im	0.0682061503797129 + 0.0014723432651134413im	-0.5629118713140058 - 0.003707968289756667im
-1.8469664449646244 + 0.0im	-0.4993976924032367 - 0.00235549527063754im	0.06954027631157411 + 0.0015555898248283634im	0.06954027631157411 + 0.0015555898248283634im	-0.5689379655916816 - 0.00391108509596897im
-1.828679648479826 + 0.0im	-0.5041407485599927 - 0.0024808347651389356im	0.07090520392791554 + 0.001642958718039067im	0.07090520392791554 + 0.0016429587180390674im	-0.5750459523393515 - 0.004123793483684905im
-1.8105739093859663 + 0.0im	-0.5089339968739653 - 0.0026118405704298195im	0.07230059329372647 + 0.001734622294152704im	0.07230059329372647 + 0.0017346222941527036im	-0.5812345923662031 - 0.004346462865093154im
-1.79264743503561 + 0.0im	-0.513776936309172 - 0.002748714448894793im	0.07372638075659466 + 0.0018307587191002009im	0.07372638075659466 + 0.0018307587191002002im	-0.5875033077258938 - 0.004579473168509232im
-1.774898450530307 + 0.0im	-0.5186692951840532 - 0.0028916628973888296im	0.07518267217835171 + 0.0019315521366730316im	0.07518267217835167 + 0.0019315521366730316im	-0.5938519565034887 - 0.004823215034579602im
-1.7573251985448584 + 0.0im	-0.5236110207036541 - 0.0030408971825885544im	0.07666969914723651 + 0.002037192835646359im	0.07666969914723651 + 0.0020371928356463604im	-0.600280699619898 - 0.005078090018756036im
-1.739925939153325 + 0.0im	-0.5286021411709549 - 0.0031966333771906944im	0.0781877741465859 + 0.002147877423095308im	0.0781877741465859 + 0.002147877423095309im	-0.6067899142098854 - 0.005344510800810385im
-1.7226989496567575 + 0.0im	-0.5336428331691548 - 0.0033590923973505628im	0.07973728415233142 + 0.0022638090043358666im	0.07973728415233142 + 0.0022638090043358666im	-0.6133801116188626 - 0.005622901402213976im
-1.7056425244126312 + 0.0im	-0.5387333000640271 - 0.003528500041783191im	0.08131865084029868 + 0.0023851973699474875im	0.08131865084029873 + 0.0023851973699474884im	-0.6200519413730368 - 0.005913697412261259im
-1.6887549746659716 + 0.0im	-0.5438737715199068 - 0.003705087032979721im	0.08293234731620142 + 0.0025122591903600196im	0.08293234731620144 + 0.0025122591903600205im	-0.6268061157781913 - 0.006217346223873244im
-1.6720346283821501 + 0.0im	-0.5490645601041504 - 0.0038890890610219935im	0.08457889420629505 + 0.0026452182185140176im	0.08457889420629505 + 0.002645218218514019im	-0.6336434416523319 - 0.006534307280072323im
-1.6554798300813367 + 0.0im	-0.5543059855600782 - 0.004080746830508259im	0.08625879850333523 + 0.002784305501129909im	0.08625879850333526 + 0.0027843055011299083im	-0.6405647780961942 - 0.006865052332177176im
-1.6390889406745908 + 0.0im	-0.5595984053293734 - 0.0042803061111332365im	0.0879726369303833 + 0.002929759599148433im	0.0879726369303833 + 0.0029297595991484332im	-0.6475710317866202 - 0.007210065710823254im
-1.622860337301575 + 0.0im	-0.5649421850943391 - 0.004488017792495407im	0.08972098672859717 + 0.0030818268179317833im	0.08972098672859717 + 0.0030818268179317833im	-0.6546631712129962 - 0.007569844610971235im
-1.6067924131698763 + 0.0im	-0.5703377190527332 - 0.004704137943734227im	0.09150444411072123 + 0.0032407614478420993im	0.09150444411072123 + 0.0032407614478421006im	-0.6618421623807853 - 0.007944899392122735im
-1.5908835773959171 + 0.0im	-0.5757854112876334 - 0.00492892787862891im	0.09332363117437037 + 0.0034068260158412987im	0.0933236311743704 + 0.0034068260158412974im	-0.6691090400121716 - 0.008335753895018849im
-1.5751322548474427 + 0.0im	-0.581285681731022 - 0.005162654226819088im	0.09517918733705757 + 0.0035802915487833714im	0.09517918733705757 + 0.0035802915487833727im	-0.6764648475587405 - 0.00874294577615324im
-1.559536885987567 + 0.0im	-0.5868389483174901 - 0.00540558901183558im	0.09707178736179654 + 0.00376143784909775im	0.09707178736179654 + 0.0037614378490977507im	-0.6839107090267484 - 0.009167026861486134im
-1.5440959267203633 + 0.0im	-0.5924456538101229 - 0.005658009736656599im	0.09900203497945405 + 0.00395055378358902im	0.09900203497945405 + 0.00395055378358902im	-0.6914476763978353 - 0.009608563520800332im
-1.5288078482379834 + 0.0im	-0.5981062551600494 - 0.005920199477530874im	0.10097068544893345 + 0.004147937586105396im	0.10097068544893345 + 0.004147937586105396im	-0.699076942979448 - 0.010068137064192791im
-1.5136711368692906 + 0.0im	-0.6038212062441682 - 0.00619244698683443im	0.102978424076301 + 0.00435389717485454im	0.10297842407630096 + 0.00435389717485454im	-0.7067996339917328 - 0.01054634416224718im
-1.4986842939299907 + 0.0im	-0.6095909911571511 - 0.00647504680575166im	0.10502596796657417 + 0.004568750485171486im	0.10502596796657417 + 0.004568750485171488im	-0.7146169569795896 - 0.011043797291482946im
-1.483845835574248 + 0.0im	-0.6154160653951026 - 0.006768299387594069im	0.10711405297353885 + 0.004792825818568862im	0.10711405297353885 + 0.004792825818568863im	-0.722530101822972 - 0.011561125206724239im
-1.4691542926477703 + 0.0im	-0.621296916393429 - 0.007072511232591472im	0.10924343053102038 + 0.005026462208924328im	0.10924343053102038 + 0.0050264622089243325im	-0.7305403340549712 - 0.012098973442078503im
-1.4546082105423468 + 0.0im	-0.6272340284985347 - 0.007387995035009954im	0.11141487069645421 + 0.005270009806684568im	0.11141487069645421 + 0.005270009806684568im	-0.7386488922950399 - 0.012658004842258512im
-1.4402061490518285 + 0.0im	-0.6332279134033248 - 0.007715069843469306im	0.11362914963173314 + 0.005523830281988052im	0.11362914963173312 + 0.005523830281988054im	-0.7468570592302366 - 0.01323890012602252im
-1.4259466822295332 + 0.0im	-0.6392790803393249 - 0.008054061235348962im	0.11588707200167818 + 0.005788297247631522im	0.11588707200167818 + 0.005788297247631519im	-0.7551661420380497 - 0.013842358483546754im
-1.4118283982470625 + 0.0im	-0.645388021211318 - 0.008405301506185809im	0.11818945156464129 + 0.006063796702826216im	0.11818945156464129 + 0.006063796702826217im	-0.7635774718745342 - 0.014469098209579272im
-1.3978498992545174 + 0.0im	-0.651555295428299 - 0.008769129874979903im	0.12053712625992369 + 0.006350727498710078im	0.12053712625992373 + 0.006350727498710078im	-0.7720924065008345 - 0.015119857374258147im
-1.3840098012420965 + 0.0im	-0.6577813770466507 - 0.009145892706334799im	0.1229309462484669 + 0.006649501826601062im	0.12293094624846695 + 0.00664950182660106im	-0.7807123098181207 - 0.01579539453350482im
-1.370306733903066 + 0.0im	-0.6640668525845638 - 0.009535943750366845im	0.12537175987960486 + 0.006960545729994143im	0.12537175987960483 + 0.0069605457299941435im	-0.7894386205205047 - 0.016496489480930656im
-1.356739340498085 + 0.0im	-0.6704122494125645 - 0.00993964440132454im	0.12786045620420936 + 0.007284299641320662im	0.12786045620420936 + 0.007284299641320666im	-0.7982727086602158 - 0.017223944043215506im
-1.3433062777208762 + 0.0im	-0.6768181220161756 - 0.010357363975862108im	0.1303979594406 + 0.0076212189445029905im	0.13039795944060004 + 0.0076212189445029905im	-0.8072160882989589 - 0.01797858292093595im
-1.330006215565224 + 0.0im	-0.6832850386806048 - 0.010789480011912834im	0.1329851507434653 + 0.007971774564350047im	0.13298515074346534 + 0.007971774564350049im	-0.816270200835913 - 0.01876125457683418im
-1.316837837193291 + 0.0im	-0.6898135856744615 - 0.011236378589106312im	0.13562299508818346 + 0.008336453583850148im	0.13562299508818346 + 0.008336453583850148im	-0.825436574636104 - 0.019572832173528145im
-1.3037998388052385 + 0.0im	-0.6964042663861508 - 0.011698454671669687im	0.13831250884236626 + 0.008715759890426366im	0.13831250884236623 + 0.008715759890426366im	-0.8347168431353255 - 0.020414214562668013im
-1.2908909295101372 + 0.0im	-0.7030577419023758 - 0.012176112474746342im	0.1410544552346026 + 0.009110214852226im	0.1410544552346026 + 0.009110214852225998im	-0.844112179693749 - 0.02128632732754452im
-1.2781098311981556 + 0.0im	-0.7097745703968505 - 0.012669765855056034im	0.1438500388201074 + 0.009520358025520793im	0.1438500388201074 + 0.009520358025520797im	-0.8536246198409846 - 0.022190123881149118im
-1.2654552784140154 + 0.0im	-0.7165553922030272 - 0.013179838726808071im	0.14670019260067063 + 0.009946747894295659im	0.14670019260067063 + 0.00994674789429566im	-0.8632555714807019 - 0.02312658662167608im
-1.2529260182316984 + 0.0im	-0.7234008147583373 - 0.013706765503764389im	0.14960595691036335 + 0.010389962643104118im	0.14960595691036338 + 0.01038996264310412im	-0.8730067567011488 - 0.024096728147440818im
-1.2405208101303944 + 0.0im	-0.7303114564622686 - 0.014250991568330509im	0.15256836278750704 + 0.010850600964264783im	0.15256836278750704 + 0.010850600964264785im	-0.8828798302700197 - 0.025101592533167485im
-1.2282384258716776 + 0.0im	-0.7372879336238164 - 0.01481297376853261im	0.15558850679485392 + 0.011329282900467726im	0.1555885067948539 + 0.01132928290046773im	-0.8928764446063298 - 0.026142256669572348im
-1.2160776493778986 + 0.0im	-0.7443309382229608 - 0.01539318094371324im	0.1586674700006187 + 0.011826650723850432im	0.15866747000061868 + 0.011826650723850429im	-0.9029983934355313 - 0.027219831668135464im
-1.2040372766117808 + 0.0im	-0.751441060412087 - 0.015992094479752913im	0.16180636159365763 + 0.012343369852591223im	0.1618063615936576 + 0.01234336985259122im	-0.9132474530321892 - 0.028335464332915603im
-1.1921161154572086 + 0.0im	-0.7586190460246679 - 0.016610208894592884im	0.16500632183030575 + 0.012880129806052725im	0.16500632183030578 + 0.012880129806052725im	-0.9236253515177869 - 0.0294903387012167im
-1.1803129856011967 + 0.0im	-0.765865513265492 - 0.017248032454802806im	0.16826850905363488 + 0.013437645199489529im	0.16826850905363488 + 0.01343764519948953im	-0.9341339941263708 - 0.03068567765486297im
-1.1686267184170265 + 0.0im	-0.7731811701949446 - 0.017906087823898898im	0.17159407904609042 + 0.014016656779311801im	0.17159407904609048 + 0.014016656779311807im	-0.944775214541858 - 0.03192274460378079im
-1.1570561568485411 + 0.0im	-0.7805667001925306 - 0.018584912743080377im	0.1749842336152207 + 0.014617932499870945im	0.1749842336152207 + 0.014617932499870942im	-0.9555509302769492 - 0.03320284524352081im
-1.1456001552955852 + 0.0im	-0.78802286726897 - 0.0192850607450076im	0.17844021140319113 + 0.015242268642703737im	0.17844021140319116 + 0.015242268642703742im	-0.9664630534668559 - 0.034527329388280154im
-1.1342575795005794 + 0.0im	-0.7955503438817525 - 0.020007101901200666im	0.18196323529372227 + 0.015890490979137348im	0.18196323529372227 + 0.015890490979137344im	-0.9775135668938802 - 0.03589759288090609im
-1.1230273064362173 + 0.0im	-0.8031499204074426 - 0.020751623603587236im	0.18555456274309937 + 0.016563455977120122im	0.18555456274309934 + 0.016563455977120115im	-0.9887044545323905 - 0.037315079581274654im
-1.1119082241942746 + 0.0im	-0.8108222949784372 - 0.021519231380677im	0.18921552442304734 + 0.017262052053100288im	0.18921552442304734 + 0.017262052053100288im	-1.0000377852653235 - 0.038781283434343686im
-1.1008992318755193 + 0.0im	-0.8185682439980391 - 0.022310549748783097im	0.1929473638208698 + 0.017987200869727934im	0.1929473638208698 + 0.017987200869727934im	-1.0115155996703535 - 0.04029775061907652im
-1.089999239480712 + 0.0im	-0.8263885341091057 - 0.023126223098654072im	0.19675146985936273 + 0.018739858680104148im	0.19675146985936276 + 0.018739858680104148im	-1.0231399808260297 - 0.04186608177932273im
-1.0792071678026853 + 0.0im	-0.8342839824899683 - 0.02396691661781605im	0.2006291604506673 + 0.01952101771924452im	0.2006291604506673 + 0.019521017719244523im	-1.0349132753777897 - 0.04348793433762403im
-1.0685219483194903 + 0.0im	-0.8422553773719721 - 0.02483331724886089im	0.20458181504250647 + 0.020331707643362333im	0.20458181504250647 + 0.02033170764336234im	-1.0468372034741475 - 0.045165024892785614im
-1.0579425230886044 + 0.0im	-0.8503035126584086 - 0.025726134683846595im	0.20861085505081237 + 0.021172997017510114im	0.20861085505081234 + 0.021172997017510117im	-1.0589143603407052 - 0.04689913170191792im
-1.0474678446421826 + 0.0im	-0.8584292287398799 - 0.026646102394905172im	0.2127177009891974 + 0.022045994852045354im	0.2127177009891974 + 0.022045994852045357im	-1.0711469405596623 - 0.04869209724751045im
-1.037096875883349 + 0.0im	-0.8666333624712511 - 0.027593978701077843im	0.21690377973474992 + 0.02295185218830805im	0.21690377973474986 + 0.022951852188308048im	-1.0835371499232351 - 0.05054583088994455im
-1.026828589983514 + 0.0im	-0.8749167681851073 - 0.028570547871318578im	0.22117059663342445 + 0.02389176373381386im	0.22117059663342448 + 0.023891763733813864im	-1.0960875132695556 - 0.05246231160568972im
-1.016661970280707 + 0.0im	-0.8832803063447267 - 0.02957662126352636im	0.2255196045323012 + 0.024866969547175575im	0.2255196045323012 + 0.024866969547175582im	-1.108799896003241 - 0.05444359081125785im
-1.0065960101789178 + 0.0im	-0.8917248528585844 - 0.030613038499380196im	0.22995232662777776 + 0.025878756772870017im	0.2299523266277777 + 0.025878756772870024im	-1.1216771775593484 - 0.056491795272804624im
-0.9966297130484334 + 0.0im	-0.9002513064499686 - 0.031680668674663466im	0.23447030243012262 + 0.026928461425863085im	0.23447030243012262 + 0.026928461425863102im	-1.1347216058331486 - 0.05860913010107937im
-0.9867620921271618 + 0.0im	-0.9088605874726675 - 0.032780411604671884im	0.23907509130796287 + 0.02801747022599689im	0.2390750913079628 + 0.02801747022599689im	-1.1479356333349287 - 0.06079788183122003im
-0.9769921704229325 + 0.0im	-0.9175535565843884 - 0.03391319910420435im	0.24376839322867028 + 0.02914722248192472im	0.24376839322867028 + 0.02914722248192472im	-1.1613218548991449 - 0.06306042158667868im
-0.9673189806167649 + 0.0im	-0.9263311813487088 - 0.03507999630153679im	0.2485514420260751 + 0.030319212024256637im	0.2485514420260751 + 0.030319212024256643im	-1.1748826366205902 - 0.06539920832634132im
-0.957741564967094 + 0.0im	-0.9351943918926809 - 0.03628180298567772im	0.25342621484429967 + 0.03153498918744578im	0.2534262148442996 + 0.03153498918744579im	-1.1886206252529996 - 0.06781679217366957im
-0.9482589752149445 + 0.0im	-0.944144133387168 - 0.03751965498609731im	0.25839425799529947 + 0.032796162839806964im	0.25839425799529947 + 0.03279616283980696im	-1.2025383984120002 - 0.07031581782644855im
-0.9388702724900441 + 0.0im	-0.9531813908212702 - 0.03879462558401365im	0.26345721352918683 + 0.03410440246091175im	0.2634572135291868 + 0.034104402460911766im	-1.2166386090017325 - 0.07289902804546776im
-0.9295745272178654 + 0.0im	-0.9623071117197215 - 0.04010782695420556im	0.2686167645243472 + 0.03546144026544981im	0.2686167645243472 + 0.035461440265449805im	-1.2309238767529005 - 0.07556926722019576im
-0.9203708190275894 + 0.0im	-0.971522282922725 - 0.04146041163620641im	0.2738745889206454 + 0.036869073372481145im	0.2738745889206454 + 0.036869073372481145im	-1.245396873175912 - 0.07832948500922593im
-0.9112582366609796 + 0.0im	-0.9808279097746576 - 0.04285357403361085im	0.2792324147698915 + 0.038329166018834876im	0.27923241476989147 + 0.03832916601883486im	-1.260060326648901 - 0.08118274005298204im
-0.902235877882158 + 0.0im	-0.9902249811348108 - 0.04428855194010395im	0.28469197610226593 + 0.03984365181522713im	0.28469197610226593 + 0.03984365181522712im	-1.2749169600867816 - 0.08413220375586519im
-0.8933028493882752 + 0.0im	-0.9997145137276549 - 0.04576662809069359im	0.2902550193020914 + 0.04141453604348319im	0.29025501930209147 + 0.04141453604348318im	-1.2899695292439823 - 0.08718116413470862im
-0.8844582667210645 + 0.0im	-1.009297515276224 - 0.047289131736494815im	0.29592328640942295 + 0.043043897993050285im	0.29592328640942284 + 0.043043897993050285im	-1.3052208041199358 - 0.09033302973007477im
-0.8757012541792718 + 0.0im	-1.0189750151256562 - 0.04885744024127931im	0.30169856728044364 + 0.04473389333478068im	0.30169856728044364 + 0.04473389333478068im	-1.3206735769726832 - 0.09359133357658736im
-0.8670309447319523 + 0.0im	-1.0287480365750334 - 0.050472980697863656im	0.30758263793502855 + 0.04648675652974729im	0.30758263793502855 + 0.046486756529747285im	-1.3363306807637256 - 0.0969597372281358im
-0.858446479932626 + 0.0im	-1.0386176219328738 - 0.05213723156226562im	0.3135772898171802 + 0.04830480327062991im	0.3135772898171802 + 0.04830480327062991im	-1.352194909736457 - 0.10044203483341793im
-0.8499470098342832 + 0.0im	-1.0485848096928505 - 0.05385172430341067im	0.31968432324221463 + 0.050190432952974075im	0.31968432324221463 + 0.05019043295297407im	-1.3682691208535624 - 0.1040421572569046im
-0.8415316929052309 + 0.0im	-1.0586506302197298 - 0.05561804506601829im	0.3259055493103126 + 0.052146131173379705im	0.3259055493103126 + 0.0521461311733797im	-1.3845561888631959 - 0.10776417623991526im
-0.8331996959457731 + 0.0im	-1.0688161182162315 - 0.05743783634414255im	0.33224276984148104 + 0.05417447225142427im	0.33224276984148104 + 0.05417447225142427im	-1.4010593491410501 - 0.11161230859608158im
-0.824950194005716 + 0.0im	-1.079082353556135 - 0.05931279866268013im	0.3386978114122748 + 0.0562781217718596im	0.3386978114122748 + 0.056278121771859584im	-1.4177801635494531 - 0.11559092043505179im
-0.8167823703026891 + 0.0im	-1.0894503257927053 - 0.061244692263997084im	0.345272489334086 + 0.05845983914334999im	0.345272489334086 + 0.058459839143350005im	-1.4347228378929169 - 0.11970453140785639im
-0.8086954161412763 + 0.0im	-1.0999211005912657 - 0.06323533879665462im	0.3519686055645081 + 0.060722480169736956im	0.3519686055645081 + 0.06072248016973697im	-1.4518897054798374 - 0.12395781896689792im
-0.8006885308329468 + 0.0im	-1.1104957065636014 - 0.06528662300304557im	0.3587879370030757 + 0.0630689996295229im	0.3587879370030757 + 0.06306899962952289im	-1.469283679283792 - 0.12835562263307188im
-0.792760921616779 + 0.0im	-1.121175148769867 - 0.06740049440257326im	0.36573237139411846 + 0.06550245385896675im	0.36573237139411846 + 0.06550245385896676im	-1.486907569959689 - 0.1329029482620405im
-0.7849118035809693 + 0.0im	-1.1319604733093143 - 0.06957896896682873im	0.37280363225493995 + 0.06802600333387517im	0.37280363225493995 + 0.06802600333387514im	-1.5047641341863627 - 0.13760497230120133im
-0.7771403995851182 + 0.0im	-1.1428526909093741 - 0.07182413078303572im	0.3800035642959072 + 0.07064291524485158im	0.3800035642959072 + 0.07064291524485158im	-1.522856245015486 - 0.14246704602838178im
-0.7694459401832853 + 0.0im	-1.1538527607911646 - 0.0741381337018471im	0.3873338694900756 + 0.0733565660604437im	0.3873338694900759 + 0.0733565660604437im	-1.5411866362868183 - 0.14749469976278207im
-0.7618276635478072 + 0.0im	-1.1649616969717587 - 0.07652320296538555im	0.39479632847215057 + 0.0761704440722892im	0.39479632847215057 + 0.07617044407228923im	-1.559758025848304 - 0.15269364703816293im
-0.7542848153938685 + 0.0im	-1.1761804955371566 - 0.07898163681122809im	0.40239265938953955 + 0.07908815191602372im	0.40239265938953955 + 0.07908815191602375im	-1.578573233064872 - 0.15806978872773664im
-0.7468166489048202 + 0.0im	-1.1875100520911783 - 0.0815158080478367im	0.41012461707039133 + 0.08211340906135871im	0.41012461707039133 + 0.0821134090613587im	-1.5976346253702192 - 0.16362921710967693im
-0.7394224246582378 + 0.0im	-1.1989512340760766 - 0.08412816559673865im	0.41799381051899037 + 0.08525005426438642im	0.41799381051899037 + 0.08525005426438648im	-1.6169449681540327 - 0.16937821986160317im
-0.7321014105527107 + 0.0im	-1.2105050428552475 - 0.08682123599655721im	0.42600188630365726 + 0.0885020479748046im	0.42600188630365726 + 0.08850204797480458im	-1.6365069196799793 - 0.17532328397183636im
-0.7248528817353571 + 0.0im	-1.2221723467010208 - 0.08959762486379269im	0.4341504573266254 + 0.09187347469038563im	0.4341504573266254 + 0.09187347469038562im	-1.65632284170019 - 0.18147109955464955im
-0.7176761205300566 + 0.0im	-1.2339539963618444 - 0.0924600183050442im	0.4424411357378807 + 0.0953685452506453im	0.4424411357378807 + 0.09536854525064528im	-1.676395124902994 - 0.18782856355615696im
-0.7105704163663926 + 0.0im	-1.2458507520785946 - 0.09541118427515986im	0.4508754060876903 + 0.09899159906128781im	0.4508754060876903 + 0.09899159906128781im	-1.6967261599195531 - 0.19440278333691158im
-0.7035350657092996 + 0.0im	-1.2578634166346248 - 0.098453973875594im	0.4594547156190779 + 0.10274710624063078im	0.4594547156190779 + 0.10274710624063078im	-1.717318112706096 - 0.20120108011668522im
-0.6965693719894055 + 0.0im	-1.2699927414127632 - 0.10159132258704459im	0.4681805173455149 + 0.10663966967882614im	0.4681805173455149 + 0.1066396696788261im	-1.7381732640466354 - 0.20823099226632744im
-0.6896726455340648 + 0.0im	-1.2822394332655969 - 0.10482625143023518im	0.47705416619458835 + 0.1106740270003216im	0.47705416619458835 + 0.1106740270003216im	-1.7592935874284774 - 0.21550027843100944im
-0.682844203499074 + 0.0im	-1.2946041379533093 - 0.10816186804850139im	0.4860769411728412 + 0.11485505241962103im	0.4860769411728412 + 0.11485505241962099im	-1.7806811022361093 - 0.22301692046857122im
-0.6760833698010634 + 0.0im	-1.307087404068193 - 0.1116013677056413im	0.4952501112882578 + 0.11918775848002675im	0.4952501112882578 + 0.11918775848002676im	-1.8023375821813277 - 0.2307891261861131im
-0.6693894750505578 + 0.0im	-1.3196899492941452 - 0.11514803419228256im	0.5045747985148392 + 0.12367729766467381im	0.5045747985148392 + 0.1236772976646738im	-1.824264745323285 - 0.2388253318573971im
-0.6627618564857007 + 0.0im	-1.3324125237089883 - 0.11880524063382673im	0.5140520761849505 + 0.12832896386879253im	0.5140520761849505 + 0.12832896386879256im	-1.8464641953685499 - 0.24713420450305623im
-0.6561998579066344 + 0.0im	-1.3452544007545935 - 0.12257645019283733im	0.5236829276761227 + 0.13314819372177886im	0.5236829276761227 + 0.13314819372177883im	-1.8689373499604536 - 0.25572464391504923im
-0.649702829610529 + 0.0im	-1.358217179094025 - 0.12646521665854965im	0.5334682439387434 + 0.13814056774728978im	0.5334682439387434 + 0.13814056774728975im	-1.8916854474346305 - 0.26460578440626803im
-0.6432701283272565 + 0.0im	-1.3713007477329002 - 0.13047518491600082im	0.5434088165597712 + 0.14331181134924315im	0.5434088165597712 + 0.14331181134924317im	-1.9147095930831557 - 0.27378699626566866im
-0.6369011171556995 + 0.0im	-1.3845053675230445 - 0.1346100912871051im	0.553505326463402 + 0.14866779561126195im	0.553505326463402 + 0.14866779561126198im	-1.9380107458574256 - 0.28327788689878747im
-0.6305951655006926 + 0.0im	-1.3978311655158975 - 0.13887376373583388im	0.5637583844842169 + 0.15421453789678663im	0.5637583844842169 + 0.15421453789678657im	-1.9615895869968263 - 0.29308830163303673im
-0.6243516490105867 + 0.0im	-1.411278255769622 - 0.14327012192950778im	0.5741683560311778 + 0.1599582022367765im	0.5741683560311778 + 0.1599582022367766im	-1.9854466429636841 - 0.3032283241666963im
-0.6181699495154324 + 0.0im	-1.4248466127757826 - 0.14780317714805938im	0.5847356569706894 + 0.16590509949163182im	0.584735656970689 + 0.16590509949163174im	-2.009582282575972 - 0.313708276640099im
-0.6120494549657746 + 0.0im	-1.4385361360371738 - 0.15247703203300245im	0.5954604372601604 + 0.17206168727370574im	0.5954604372601604 + 0.17206168727370563im	-2.0339966119389126 - 0.32453871930711187im
-0.605989559372054 + 0.0im	-1.4523466458498584 - 0.1572958801677185im	0.6063427641566846 + 0.17843456961653223im	0.6063427641566849 + 0.1784345696165322im	-2.0586895208018716 - 0.33573044978464983im
-0.599989662744608 + 0.0im	-1.46627784481757 - 0.16226400548057268im	0.6173825340988051 + 0.18503049637667668im	0.6173825340988051 + 0.1850304963766766im	-2.083660579623428 - 0.3472945018576438im
-0.5940491710342654 + 0.0im	-1.480329333490794 - 0.1673857814622892im	0.6285794980868871 + 0.1918563623539266im	0.6285794980868874 + 0.19185636235392653im	-2.108908848592754 - 0.3592421438166061im
-0.58816749607353 + 0.0im	-1.4945006121817335 - 0.17266567018894516im	0.6399332197382026 + 0.19891920611538152im	0.6399332197382033 + 0.19891920611538155im	-2.1344340614136454 - 0.3715848763047124im
-0.5823440555183466 + 0.0im	-1.5087910574896022 - 0.17810822114189584im	0.6514431274598663 + 0.20622620850886836im	0.6514431274598663 + 0.2062262085088684im	-2.1602343876961148 - 0.3843344296511454im
-0.5765782727904422 + 0.0im	-1.5231999322028533 - 0.18371806981592495im	0.6631084426607003 + 0.21378469085102308im	0.6631084426607006 + 0.21378469085102308im	-2.1863083854623455 - 0.39750276066732476im
-0.5708695770202398 + 0.0im	-1.5377263575018258 - 0.1894999361069018im	0.674928190001816 + 0.22160211277532196im	0.674928190001816 + 0.221602112775322im	-2.2126545595808524 - 0.41110204888259577im
-0.5652174029903364 + 0.0im	-1.5523693394972005 - 0.19545862247025855im	0.6869012318908557 + 0.22968606972533173im	0.6869012318908555 + 0.2296860697253318im	-2.2392705610973396 - 0.42514469219595763im
-0.559621191079541 + 0.0im	-1.5671277413276954 - 0.20159901184164658im	0.6990261564236053 + 0.23804429007847927im	0.6990261564236058 + 0.23804429007847921im	-2.266153886710911 - 0.4396433019204883im
-0.5540803872074663 + 0.0im	-1.582000275658043 - 0.20792606531120666im	0.7113014749379318 + 0.24668463188572262im	0.7113014749379318 + 0.24668463188572262im	-2.2933016712270544 - 0.4546106971972877im
-0.5485944427796696 + 0.0im	-1.5969855342320323 - 0.21444481954300132im	0.7237253160535905 + 0.2556150792126249im	0.7237253160535905 + 0.25561507921262494im	-2.3207106700126383 - 0.4700598987559798im
-0.5431628146333363 + 0.0im	-1.6120819385230338 - 0.22116038393128865im	0.7362953817421545 + 0.2648437380675131im	0.7362953817421545 + 0.2648437380675131im	-2.348377263221509 - 0.4860041219991512im
-0.5377849649835013 + 0.0im	-1.6272877819649905 - 0.22807793748549354im	0.7490097495101428 + 0.2743788319026433im	0.7490097495101433 + 0.27437883190264334im	-2.37629750236191 - 0.5024567693884814im
-0.5324603613698032 + 0.0im	-1.6426010085270333 - 0.2352027254359413im	0.7618657239296491 + 0.2842286966745721im	0.7618657239296491 + 0.284228696674572im	-2.404466745530121 - 0.519431422110853im
-0.5271884766037656 + 0.0im	-1.658019694171975 - 0.24254005555265737im	0.7748605189472091 + 0.2944017754502969im	0.7748605189472091 + 0.29440177545029683im	-2.432880224304062 - 0.5369418310032896im
