w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-0.0006447034277809074 + 0.0im	-0.9178908298098957 - 1.0601326330063192im	-5.696130480983291 + 0.7318231987750369im	-5.696130480983293 + 0.7318231987750371im	4.778239681449256 - 1.791955831781219im
-0.0006383202255256509 + 0.0im	-0.9184314100865004 - 1.0600837778997645im	-5.695965703022408 + 0.7315497435148524im	-5.695965703022408 + 0.731549743514852im	4.777534323562347 - 1.7916335214144792im
-0.0006320002232927237 + 0.0im	-0.9189666646300736 - 1.060035568831274im	-5.69580294913242 + 0.73127913219841im	-5.69580294913242 + 0.7312791321984098im	4.776836314821918 - 1.7913147010295463im
-0.0006257427953393304 + 0.0im	-0.9194966445022655 - 1.0599879950694768im	-5.695642197561103 + 0.7310113323310965im	-5.695642197561103 + 0.7310113323310966im	4.7761455833999165 - 1.7909993274004357im
-0.0006195473221181489 + 0.0im	-0.9200213989800602 - 1.059941045973607im	-5.695483426919176 + 0.7307463116192148im	-5.695483426919176 + 0.7307463116192149im	4.775462058301433 - 1.790687357592682im
-0.0006134131902159891 + 0.0im	-0.9205409779628394 - 1.059894710999643im	-5.695326615123544 + 0.730484037978305im	-5.695326615123544 + 0.7304840379783046im	4.774785667544029 - 1.7903787489778098im
-0.0006073397922930585 + 0.0im	-0.9210554306262121 - 1.0598489797064614im	-5.695171740662787 + 0.7302244795419519im	-5.695171740662787 + 0.730224479541952im	4.774116340440677 - 1.790073459248275im
-0.0006013265270228301 + 0.0im	-0.9215648058100303 - 1.0598038417619762im	-5.695018782121702 + 0.7299676046709914im	-5.695018782121702 + 0.7299676046709913im	4.7734540067363085 - 1.7897714464328291im
-0.000595372799032505 + 0.0im	-0.9220691520114596 - 1.0597592869491779im	-5.694867715890041 + 0.729713381963056im	-5.694867715890044 + 0.7297133819630561im	4.772798596616723 - 1.7894726689120946im
-0.0005894780188440644 + 0.0im	-0.9225685171187065 - 1.0597153051720685im	-5.694718525712814 + 0.7294617802623696im	-5.694718525712817 + 0.7294617802623693im	4.772150041351302 - 1.7891770854343017im
-0.0005836416028159054 + 0.0im	-0.9230629494812644 - 1.0596718864614143im	-5.694571187384755 + 0.7292127686697181im	-5.694571187384751 + 0.7292127686697181im	4.771508270679561 - 1.7888846551309945im
-0.0005778629730850548 + 0.0im	-0.9235524961160998 - 1.0596290209802772im	-5.694425680521627 + 0.7289663165525182im	-5.694425680521627 + 0.7289663165525183im	4.770873217200241 - 1.7885953375326555im
-0.0005721415575099552 + 0.0im	-0.924037204198938 - 1.0595866990293117im	-5.6942819840851975 + 0.7287223935549072im	-5.6942819840851975 + 0.7287223935549069im	4.770244812699378 - 1.7883090925840808im
-0.0005664767896138169 + 0.0im	-0.9245171204943744 - 1.0595449110517572im	-5.694140077226144 + 0.7284809696077847im	-5.694140077226144 + 0.728480969607785im	4.769622989563066 - 1.7880258806594052im
-0.0005608681085285316 + 0.0im	-0.9249922914080342 - 1.0595036476381139im	-5.6939999392000376 + 0.7282420149387255im	-5.693999939200035 + 0.7282420149387255im	4.769007680641238 - 1.7877456625766983im
-0.0005553149589391402 + 0.0im	-0.9254627629387793 - 1.0594628995304565im	-5.6938615494420715 + 0.7280055000816984im	-5.693861549442075 + 0.7280055000816987im	4.7683988193702085 - 1.7874683996120153im
-0.0005498167910288518 + 0.0im	-0.9259285812498134 - 1.0594226576263954im	-5.693724885796659 + 0.7277713958865265im	-5.693724885796659 + 0.7277713958865264im	4.7677963383171065 - 1.7871940535127824im
-0.0005443730604246057 + 0.0im	-0.9263897913272799 - 1.059382912982596im	-5.693589930994428 + 0.7275396735280151im	-5.693589930994428 + 0.727539673528015im	4.767200172568856 - 1.7869225865104725im
-0.0005389832281431739 + 0.0im	-0.9268464381094759 - 1.0593436568179233im	-5.693456662127615 + 0.727310304514696im	-5.693456662127615 + 0.7273103045146958im	4.766610256936794 - 1.7866539613324792im
-0.000533646760537796 + 0.0im	-0.9272985665287476 - 1.0593048805161136im	-5.693325059341414 + 0.7270832606971298im	-5.693325059341414 + 0.7270832606971297im	4.766026525747996 - 1.7863881412131033im
-0.0005283631292453425 + 0.0im	-0.927746220940103 - 1.0592665756280284im	-5.693195102349739 + 0.7268585142757084im	-5.693195102349739 + 0.7268585142757081im	4.765448914361343 - 1.7861250899035976im
-0.0005231318111340024 + 0.0im	-0.9281894454938187 - 1.0592287338734467im	-5.693066770722165 + 0.7266360378079108im	-5.693066770722165 + 0.7266360378079108im	4.7648773581961255 - 1.7858647716812186im
-0.0005179522882514876 + 0.0im	-0.9286282831675091 - 1.0591913471424053im	-5.692940045453915 + 0.7264158042149843im	-5.692940045453915 + 0.7264158042149843im	4.764311795269764 - 1.7856071513572518im
-0.0005128240477737501 + 0.0im	-0.929062778291192 - 1.0591544074960781im	-5.692814904872844 + 0.7261977867879781im	-5.692814904872844 + 0.7261977867879781im	4.763752159580227 - 1.7853521942839181im
-0.000507746581954208 + 0.0im	-0.9294929733343694 - 1.0591179071672303im	-5.692691329851336 + 0.725981959193142im	-5.692691329851336 + 0.7259819591931422im	4.763198389530172 - 1.7850998663602338im
-0.0005027193880734733 + 0.0im	-0.9299189110226195 - 1.0590818385601988im	-5.69256930037505 + 0.7257682954766191im	-5.69256930037505 + 0.7257682954766191im	4.762650422758981 - 1.784850134036679im
-0.0004977419683895775 + 0.0im	-0.9303406333787141 - 1.0590461942504803im	-5.6924487971161915 + 0.7255567700684356im	-5.6924487971161915 + 0.7255567700684356im	4.762108197156603 - 1.7846029643187755im
-0.0004928138300886906 + 0.0im	-0.930758182724972 - 1.0590109669838732im	-5.692329799769329 + 0.725347357785764im	-5.692329799769329 + 0.7253473577857639im	4.761571650474455 - 1.7843583247694976im
-0.00048793448523632734 + 0.0im	-0.9311716004801762 - 1.0589761496752546im	-5.692212289059587 + 0.725140033835447im	-5.692212289059587 + 0.7251400338354469im	4.761040722016614 - 1.7841161835105626im
-0.00048310345072903697 + 0.0im	-0.9315809277673653 - 1.058941735406957im	-5.692096245737318 + 0.7249347738157738im	-5.692096245737318 + 0.7249347738157738im	4.760515351407919 - 1.7838765092225894im
-0.00047832024824657126 + 0.0im	-0.9319862052608137 - 1.058907717426815im	-5.691981650846376 + 0.7247315537175073im	-5.691981650846376 + 0.7247315537175072im	4.759995479004303 - 1.7836392711441842im
-0.000473584404204526 + 0.0im	-0.932387473940318 - 1.0588740891458708im	-5.691868484606461 + 0.724530349924171im	-5.691868484606461 + 0.724530349924171im	4.75948104387661 - 1.7834044390699058im
-0.0004688954497074515 + 0.0im	-0.9327847734609799 - 1.0588408441357986im	-5.691756727921822 + 0.7243311392116035im	-5.691756727921825 + 0.7243311392116034im	4.758971988186981 - 1.7831719833472641im
-0.0004642529205024272 + 0.0im	-0.9331781439597956 - 1.0588079761260436im	-5.691646362686563 + 0.7241338987467808im	-5.691646362686563 + 0.7241338987467806im	4.758468252349589 - 1.7829418748726849im
-0.00045965635693309627 + 0.0im	-0.9335676246352711 - 1.0587754790007413im	-5.691537369870983 + 0.7239386060859458im	-5.691537369870983 + 0.7239386060859458im	4.757969778845038 - 1.7827140850865497im
