w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
-1.8105739093859663 + 0.0im	-0.07898653913332673 + 0.00025568631187912786im	-0.106798414206988 - 0.0008011979290227642im	-0.10679841420698805 - 0.0008011979290227657im	0.027811876534998232 + 0.0010568842415095902im
-1.79264743503561 + 0.0im	-0.07954363164639788 + 0.0002679161713217719im	-0.10782764286842104 - 0.0008430316658057373im	-0.10782764286842104 - 0.0008430316658057385im	0.028284013820262365 + 0.0011109478377396037im
-1.774898450530307 + 0.0im	-0.08010194091309518 + 0.0002806883170277745im	-0.10886800104850612 - 0.0008867196384177934im	-0.10886800104850612 - 0.0008867196384177945im	0.0287660625779111 + 0.0011674079560619257im
-1.7573251985448584 + 0.0im	-0.08066147150195138 + 0.00029402530132551256im	-0.10991943538563563 - 0.0009323264491601546im	-0.10991943538563563 - 0.0009323264491601556im	0.029257961708925754 + 0.0012263517511061492im
-1.739925939153325 + 0.0im	-0.08122221539063787 + 0.00030795057334277726im	-0.11098192059906944 - 0.0009799181803433602im	-0.11098192059906944 - 0.0009799181803433618im	0.02975970489593585 + 0.0012878687543106057im
-1.7226989496567575 + 0.0im	-0.08178414617030938 + 0.00032248851337677426im	-0.11205546496721895 - 0.0010295624057715164im	-0.11205546496721895 - 0.0010295624057715177im	0.030271321183422555 + 0.0013520509197766043im
-1.7056425244126312 + 0.0im	-0.08234724086606005 + 0.0003376644684824984im	-0.11314009176277073 - 0.0010813282026187355im	-0.11314009176277073 - 0.0010813282026187372im	0.030792856223263464 + 0.0014189926717332543im
-1.6887549746659716 + 0.0im	-0.08291146541426475 + 0.0003535047893148983im	-0.1142358534768896 - 0.001135286163821307im	-0.1142358534768896 - 0.0011352861638213086im	0.031324387564633245 + 0.0014887909537717903im
-1.6720346283821501 + 0.0im	-0.08347677725915731 + 0.00037003686826090796im	-0.1153427919477499 - 0.0011915084111172114im	-0.11534279194774998 - 0.0011915084111172125im	0.03186601478519374 + 0.001561545280017128im
-1.6554798300813367 + 0.0im	-0.08404313245745024 + 0.0003872891788981165im	-0.11646097674861075 - 0.0012500686088728525im	-0.11646097674861079 - 0.001250068608872854im	0.03241784243745666 + 0.0016373577884132601im
-1.6390889406745908 + 0.0im	-0.08461048406765839 + 0.0004052913168175075im	-0.11759047136097767 - 0.0013110419788448693im	-0.11759047136097771 - 0.0013110419788448706im	0.0329799900654835 + 0.0017163332963078101im
-1.622860337301575 + 0.0im	-0.08517877881230859 + 0.00042407404184839316im	-0.11873135674944449 - 0.0013745053160329709im	-0.1187313567494445 - 0.0013745053160329722im	0.03355257944214541 + 0.0017985793585297953im
-1.6067924131698763 + 0.0im	-0.08574796241504018 + 0.000443669321724344im	-0.11988371346267303 - 0.0014405370057875193im	-0.11988371346267307 - 0.0014405370057875215im	0.034135746602963216 + 0.001884206328163153im
-1.5908835773959171 + 0.0im	-0.08631797739201814 + 0.0004641103772296003im	-0.12104761416139821 - 0.0015092170423433226im	-0.12104761416139821 - 0.0015092170423433233im	0.034729639203672 + 0.0019733274202269296im
-1.5751322548474427 + 0.0im	-0.08688876543693498 + 0.0004854317288661532im	-0.12222316259112324 - 0.0015806270489585389im	-0.12222316259112324 - 0.0015806270489585397im	0.03533439737137372 + 0.0020660587784812764im
-1.559536885987567 + 0.0im	-0.08746025788659438 + 0.00050766924508233im	-0.12341044042249487 - 0.0016548502998448603im	-0.12341044042249487 - 0.0016548502998448632im	0.03595019633402856 + 0.00216251954558621im
-1.5440959267203633 + 0.0im	-0.08803238988368818 + 0.0005308601921044272im	-0.1246095461212723 - 0.0017319717440820686im	-0.1246095461212723 - 0.0017319717440820695im	0.036577148068620495 + 0.0022628319368478127im
-1.5288078482379834 + 0.0im	-0.08860511048388509 + 0.0005550432854136004im	-0.12582057264853574 - 0.0018120780317167446im	-0.12582057264853577 - 0.0018120780317167475im	0.037215457868625776 + 0.002367121317793819im
-1.5136711368692906 + 0.0im	-0.08917833275532823 + 0.0005802587429108585im	-0.1270436159965832 - 0.001895257542251145im	-0.12704361599658323 - 0.0018952575422511474im	0.03786528068001464 + 0.0024755162858274963im
-1.4986842939299907 + 0.0im	-0.08975198811085584 + 0.0006065483398136913im	-0.12827877888334321 - 0.0019816004157342075im	-0.12827877888334324 - 0.0019816004157342092im	0.038526789169780404 + 0.0025881487562152746im
-1.483845835574248 + 0.0im	-0.09032600450023984 + 0.0006339554653284657im	-0.12952616693630323 - 0.0020711985866721im	-0.12952616693630323 - 0.0020711985866721026im	0.039200156896253155 + 0.0027051540526696863im
-1.4691542926477703 + 0.0im	-0.0909003072609354 + 0.0006625251811433456im	-0.13078588086095638 - 0.002164145820980735im	-0.13078588086095644 - 0.002164145820980736im	0.03988556895421452 + 0.002826671002794812im
-1.4546082105423468 + 0.0im	-0.09147481843806385 + 0.0006923042817870858im	-0.13205802093810814 - 0.0022605377562072127im	-0.13205802093810817 - 0.002260537756207215im	0.04058320385925672 + 0.002952842038666508im
-1.4402061490518285 + 0.0im	-0.09204945261829121 + 0.0007233413568995914im	-0.1333427090605513 - 0.0023604719452511315im	-0.13334270906055135 - 0.002360471945251135im	0.04129325126248358 + 0.003083813302824276im
-1.4259466822295332 + 0.0im	-0.09262413752256449 + 0.0007556868554606633im	-0.13464005057613598 - 0.0024640479038200934im	-0.13464005057613604 - 0.0024640479038200965im	0.04201590018851852 + 0.00321973475995552im
-1.4118283982470625 + 0.0im	-0.09319878597742949 + 0.0007893931520238213im	-0.13595013614822815 - 0.00257136716185664im	-0.13595013614822815 - 0.0025713671618566424im	0.04275135078585511 + 0.0033607603145563115im
-1.3978498992545174 + 0.0im	-0.09377330932154021 + 0.0008245146150025448im	-0.13727310086328282 - 0.002682533319175947im	-0.13727310086328284 - 0.002682533319175949im	0.043499793538939895 + 0.003507047934855291im
-1.3840098012420965 + 0.0im	-0.09434762084616903 + 0.0008611076770566077im	-0.13860905248574873 - 0.00279765210555523im	-0.13860905248574878 - 0.002797652105555233im	0.04426143817993551 + 0.0036587597832894603im
-1.370306733903066 + 0.0im	-0.09492162966188879 + 0.0008992309076265321im	-0.13995810528799965 - 0.0029168314455166157im	-0.13995810528799965 - 0.002916831445516619im	0.04503647330143361 + 0.0038160623538214746im
-1.356739340498085 + 0.0im	-0.0954952449425737 + 0.0009389450876643888im	-0.1413203765730226 - 0.0030401815280453838im	-0.1413203765730226 - 0.0030401815280453855im	0.04582513788547245 + 0.003979126616388667im
-1.3433062777208762 + 0.0im	-0.0960683733888111 + 0.000980313286609332im	-0.14269598553787188 - 0.0031678148814848392im	-0.14269598553787188 - 0.0031678148814848397im	0.046627609713344655 + 0.004148128168773517im
-1.330006215565224 + 0.0im	-0.09664091576465611 + 0.0010234009416563252im	-0.14408506223871223 - 0.003299846453847817im	-0.14408506223871223 - 0.0032998464538478186im	0.047444131766575984 + 0.0043232473961838215im
-1.316837837193291 + 0.0im	-0.09721278233439298 + 0.0010682759393664458im	-0.14548770849038709 - 0.0034363936987824926im	-0.1454877084903871 - 0.0034363936987824944im	0.04827491534265223 + 0.004504669638828826im
-1.3037998388052385 + 0.0im	-0.09778386355688054 + 0.0011150086996669958im	-0.1469040690426519 - 0.0035775766674273173im	-0.14690406904265196 - 0.0035775766674273216im	0.04912018894014806 + 0.004692585367774298im
-1.2908909295101372 + 0.0im	-0.0983540546876773 + 0.0011636722622893802im	-0.14833423342291424 - 0.0037235181063861177im	-0.14833423342291427 - 0.0037235181063861207im	0.0499801708420971 + 0.00488719036935545im
-1.2781098311981556 + 0.0im	-0.09892327642823147 + 0.0012143423756922171im	-0.14977837219637435 - 0.0038743435620496335im	-0.14977837219637435 - 0.0038743435620496387im	0.050855092294001036 + 0.005088685938421658im
-1.2654552784140154 + 0.0im	-0.09949139705102975 + 0.0012670975885166074im	-0.15123659877390705 - 0.004030181491484402im	-0.15123659877390702 - 0.004030181491484403im	0.05174520024101 + 0.005297279080680564im
-1.2529260182316984 + 0.0im	-0.10005831730271322 + 0.0013220193436197095im	-0.15270904633981108 - 0.00419116338010343im	-0.15270904633981108 - 0.0041911633801034335im	0.05265073029120257 + 0.005513182724402326im
-1.2405208101303944 + 0.0im	-0.10062393573248488 + 0.0013791920747317555im	-0.15419585493850535 - 0.00435742386632588im	-0.15419585493850538 - 0.004357423866325882im	0.05357192229495866 + 0.005736615941736344im
-1.2282384258716776 + 0.0im	-0.10118811460578911 + 0.0014387033057805768im	-0.15569712869126207 - 0.004529100873424822im	-0.15569712869126207 - 0.004529100873424825im	0.05450901863289455 + 0.0059678041798835214im
-1.2160776493778986 + 0.0im	-0.10175076876546535 + 0.0015006437529262373im	-0.15721303852321647 - 0.004706335748753025im	-0.15721303852321644 - 0.004706335748753027im	0.055462265114993206 + 0.006206979502356687im
-1.2040372766117808 + 0.0im	-0.1023117696290344 + 0.0015651074293467856im	-0.15874371225705464 - 0.00488927341052683im	-0.15874371225705466 - 0.0048892734105268326im	0.05643193647714525 + 0.006454380840550234im
-1.1921161154572086 + 0.0im	-0.10287100736518227 + 0.0016321917528142693im	-0.16028929195120256 - 0.005078062502337282im	-0.16028929195120262 - 0.0050780625023372885im	0.05741828231735179 + 0.006710254255827254im
-1.1803129856011967 + 0.0im	-0.10342835363327575 + 0.001701997656097899im	-0.1618499216446401 - 0.0052728555555458im	-0.16184992164464015 - 0.005272855555545805im	0.05842156553441781 + 0.0069748532123184im
-1.1686267184170265 + 0.0im	-0.10398368813691562 + 0.001774629700228937im	-0.1634257469127507 - 0.005473809159709037im	-0.1634257469127507 - 0.005473809159709042im	0.059442053359235546 + 0.007248438860611562im
-1.1570561568485411 + 0.0im	-0.10453688899983472 + 0.0018501961906588992im	-0.16501691467466092 - 0.005681084141163958im	-0.16501691467466092 - 0.005681084141163961im	0.060480017344700925 + 0.007531280332495231im
-1.1456001552955852 + 0.0im	-0.10508783658091124 + 0.001928809296339685im	-0.1666235756966085 - 0.00589484574988954im	-0.1666235756966085 - 0.005894845749889545im	0.061535739070830445 + 0.007823655046900278im
-1.1342575795005794 + 0.0im	-0.10563640624992306 + 0.002010585171750661im	-0.16824588759058715 - 0.006115263854746071im	-0.16824588759058715 - 0.006115263854746076im	0.06260947963020225 + 0.008125849027166376im
-1.1230273064362173 + 0.0im	-0.10618245611667922 + 0.002095644081893857im	-0.16988400073927235 - 0.006342513147176681im	-0.16988400073927237 - 0.0063425131471766824im	0.0637015410905197 + 0.008438157229738666im
-1.1119082241942746 + 0.0im	-0.10672586100726178 + 0.002184110530274102im	-0.17153807349702369 - 0.006576773353438417im	-0.17153807349702374 - 0.00657677335343842im	0.0648122088506061 + 0.008760883884379046im
-1.1008992318755193 + 0.0im	-0.10726649441695425 + 0.0022761133898762036im	-0.17320826532956157 - 0.006818229455411985im	-0.1732082653295616 - 0.006818229455411994im	0.06594176616539028 + 0.009094342845953021im
-1.089999239480712 + 0.0im	-0.10780421698132626 + 0.002371786037146052im	-0.1748947327696339 - 0.00706707192002027im	-0.17489473276963396 - 0.007067071920020277im	0.06709051525990924 + 0.009438857957829358im
-1.0792071678026853 + 0.0im	-0.10833889450509142 + 0.0024712664889768227im	-0.17659765204077163 - 0.0073234969372657725im	-0.17659765204077163 - 0.007323496937265778im	0.0682587526024291 + 0.00979476342690374im
-1.0685219483194903 + 0.0im	-0.10887039467687963 + 0.0025746975426952554im	-0.1783171854313462 - 0.007587706666876136im	-0.1783171854313463 - 0.007587706666876139im	0.06944679622555294 + 0.010162404210230567im
-1.0579425230886044 + 0.0im	-0.10939857453404296 + 0.0026822269190362215im	-0.18005349700098822 - 0.007859909493525509im	-0.18005349700098824 - 0.007859909493525516im	0.0706549180346547 + 0.010542136413218842im
-1.0474678446421826 + 0.0im	-0.10992329385434357 + 0.002794007408086485im	-0.18180676289071637 - 0.00814032029057667im	-0.18180676289071634 - 0.008140320290576675im	0.07188346365334405 + 0.0109343276993181im
-1.037096875883349 + 0.0im	-0.110444412428079 + 0.0029101970181706566im	-0.18357715527389729 - 0.008429160692265451im	-0.18357715527389729 - 0.008429160692265457im	0.0731327368935067 + 0.011339357711088812im
-1.026828589983514 + 0.0im	-0.11096178789712297 + 0.0030309591276438132im	-0.1853648518235157 - 0.008726659374224864im	-0.1853648518235157 - 0.00872665937422487im	0.07440306927446073 + 0.011757618502519057im
-1.016661970280707 + 0.0im	-0.11147527536344048 + 0.003156462639546135im	-0.18717002804391344 - 0.009033052342221312im	-0.18717002804391347 - 0.00903305234222132im	0.07569476368926147 + 0.012189514982415424im
-1.0065960101789178 + 0.0im	-0.11198473324640186 + 0.003286882139065053im	-0.18899286884575572 - 0.009348583228948737im	-0.18899286884575572 - 0.009348583228948746im	0.0770081453514479 + 0.012635465368659275im
-0.9966297130484334 + 0.0im	-0.11249001201328707 + 0.003422398053739908im	-0.190833544455729 - 0.009673503598700828im	-0.190833544455729 - 0.009673503598700832im	0.07834354868318064 + 0.013095901653083592im
-0.9867620921271618 + 0.0im	-0.11299096468668993 + 0.0035631968163329386im	-0.19269226116496183 - 0.01000807325971272im	-0.19269226116496183 - 0.010008073259712721im	0.07970129283870588 + 0.013571270076685875im
-0.9769921704229325 + 0.0im	-0.11348741570166697 + 0.003709471030278441im	-0.19456918002838566 - 0.010352560583936393im	-0.19456918002838564 - 0.010352560583936396im	0.08108173460131403 + 0.014062031614852314im
-0.9673189806167649 + 0.0im	-0.11397929293744234 + 0.003861419637609269im	-0.19646450383203654 - 0.01070724283398357im	-0.19646450383203662 - 0.010707242833983568im	0.08248522413095365 + 0.01456866247222748im
-0.957741564967094 + 0.0im	-0.11446637814901578 + 0.0040192480892463365im	-0.19837841770695522 - 0.011072406496941176im	-0.19837841770695522 - 0.011072406496941186im	0.08391203968572898 + 0.015091654586819258im
-0.9482589752149445 + 0.0im	-0.11494854399342172 + 0.004183168517522632im	-0.2003111129796971 - 0.01144834762473284im	-0.2003111129796971 - 0.01144834762473284im	0.08536257105900269 + 0.01563151614288422im
-0.9388702724900441 + 0.0im	-0.11542563702233843 + 0.004353399910798063im	-0.20226278816418694 - 0.011835372180668689im	-0.20226278816418694 - 0.011835372180668694im	0.08683716087626374 + 0.016188772092092445im
-0.9295745272178654 + 0.0im	-0.11589748340110508 + 0.004530168290005646im	-0.20423362804820194 - 0.01223379639179348im	-0.20423362804820194 - 0.012233796391793485im	0.08833612199276909 + 0.016763964682421695im
-0.9203708190275894 + 0.0im	-0.11636400576652998 + 0.0047137068869528365im	-0.20622382612658646 - 0.012643947106609973im	-0.2062238261265865 - 0.012643947106609977im	0.08985981651033456 + 0.017357653994182154im
-0.9112582366609796 + 0.0im	-0.11682497985849317 + 0.00490425632418422im	-0.2082335855037521 - 0.013066162157720527im	-0.2082335855037521 - 0.01306616215772053im	0.09140860497242348 + 0.017970418482520793im
-0.902235877882158 + 0.0im	-0.11728028165967957 + 0.0051020647961933265im	-0.21026309630834084 - 0.013500790728895592im	-0.21026309630834078 - 0.013500790728895587im	0.09298282476850013 + 0.018602855525701602im
-0.8933028493882752 + 0.0im	-0.11772975601012209 + 0.0053073882517521665im	-0.21231255534457671 - 0.013948193726042328im	-0.21231255534457671 - 0.013948193726042337im	0.09458279805536789 + 0.01925558197840373im
-0.8844582667210645 + 0.0im	-0.11817325882406811 + 0.005520490577106786im	-0.21438216013877673 - 0.014408744151510411im	-0.21438216013877678 - 0.014408744151510416im	0.09620889577586682 + 0.019929234729222936im
-0.8757012541792718 + 0.0im	-0.11861063941196016 + 0.005741643779766267im	-0.2164721063123885 - 0.014882827481135692im	-0.2164721063123885 - 0.014882827481135692im	0.09786146191744768 + 0.02062447126150413im
-0.8670309447319523 + 0.0im	-0.11904174821828017 + 0.005971128172590661im	-0.21858258981654577 - 0.015370842043384464im	-0.21858258981654585 - 0.015370842043384464im	0.09954083409695488 + 0.02134197021657364im
-0.858446479932626 + 0.0im	-0.11946644375663662 + 0.006209232557860699im	-0.2207138025839074 - 0.01587319939992324im	-0.22071380258390735 - 0.015873199399923245im	0.10124735799977704 + 0.02208243195837876im
-0.8499470098342832 + 0.0im	-0.11988457160542228 + 0.006456254410988338im	-0.2228659399767721 - 0.01639032472690012im	-0.2228659399767721 - 0.01639032472690012im	0.10298136439134849 + 0.022846579138479494im
-0.8415316929052309 + 0.0im	-0.12029599775788181 + 0.006712500063503152im	-0.2250391938275805 - 0.01692265719618371im	-0.22503919382758045 - 0.01692265719618371im	0.1047431949085389 + 0.02363515726027404im
-0.8331996959457731 + 0.0im	-0.12070057451952862 + 0.006978284884923979im	-0.22723375298820925 - 0.01747065035576624im	-0.2272337529882093 - 0.017470650355766247im	0.1065331845070169 + 0.02444893524127351im
-0.824950194005716 + 0.0im	-0.12109817216538615 + 0.007253933463099535im	-0.22944980733500236 - 0.0180347725084962im	-0.22944980733500236 - 0.018034772508496215im	0.10835163595685292 + 0.02528870597217503im
-0.8167823703026891 + 0.0im	-0.12148863548923702 + 0.0075397797825747315im	-0.23168753984163018 - 0.01861550708826408im	-0.23168753984163012 - 0.01861550708826409im	0.11019889292983456 + 0.02615528687141406im
-0.8086954161412763 + 0.0im	-0.12187184974925336 + 0.007836167400511952im	-0.23394713166924858 - 0.01921335303272373im	-0.2339471316692486 - 0.019213353032723725im	0.11207528320073337 + 0.02704952043380685im
-0.8006885308329468 + 0.0im	-0.12224766976032483 + 0.008143449619668479im	-0.23622876015828329 - 0.01982882515158846im	-0.23622876015828334 - 0.01982882515158846im	0.11398109719506766 + 0.027972274771823943im
-0.792760921616779 + 0.0im	-0.1226159721733136 + 0.008461989657902165im	-0.2385326037693288 - 0.02046245448949828im	-0.23853260376932883 - 0.020462454489498287im	0.11591663605048969 + 0.02892444414796325im
-0.7849118035809693 + 0.0im	-0.12297663128207015 + 0.008792160813648125im	-0.24085882303553585 - 0.02111478868241158im	-0.24085882303553585 - 0.021114788682411584im	0.11788220519298291 + 0.029906949496618245im
-0.7771403995851182 + 0.0im	-0.12332956105758337 + 0.009134346626779167im	-0.2432075883682914 - 0.021786392306429626im	-0.2432075883682914 - 0.021786392306429633im	0.11987807321530036 + 0.030920738933762987im
-0.7694459401832853 + 0.0im	-0.12367452340608438 + 0.009488941034232097im	-0.2455790555565587 - 0.02247784721791946im	-0.24557905555655873 - 0.02247784721791947im	0.12190453011214179 + 0.031966788252701384im
-0.7618276635478072 + 0.0im	-0.12401157984333994 + 0.009856348519751038im	-0.24797337622020946 - 0.02318975288375509im	-0.2479733762202095 - 0.023189752883755098im	0.12396181067730085 + 0.033046101404051516im
-0.7542848153938685 + 0.0im	-0.12434051284470253 + 0.010236984257067807im	-0.2503907029781169 - 0.023922726700452687im	-0.2503907029781169 - 0.02392272670045269im	0.12605020336809653 + 0.03415971095806137im
-0.7468166489048202 + 0.0im	-0.12466125495651395 + 0.010631274245807364im	-0.25283116180879156 - 0.024677404300930496im	-0.2528311618087916 - 0.024677404300930506im	0.12816990076855872 + 0.03530867854727422im
-0.7394224246582378 + 0.0im	-0.12497369905576947 + 0.011039655439374973im	-0.25529485932696705 - 0.025454439847579804im	-0.25529485932696705 - 0.025454439847579804im	0.13032117892316225 + 0.03649409528748657im
-0.7321014105527107 + 0.0im	-0.12527776819013883 + 0.01146257586404951im	-0.2577819535780185 - 0.026254506310287702im	-0.25778195357801853 - 0.026254506310287692im	0.13250420334114904 + 0.037717082174864365im
-0.7248528817353571 + 0.0im	-0.12557337917090355 + 0.011900494728475491im	-0.26029254349092323 - 0.027078295728008326im	-0.26029254349092334 - 0.027078295728008343im	0.13471915620448613 + 0.03897879045700635im
-0.7176761205300566 + 0.0im	-0.12586046319379637 + 0.01235388252271466im	-0.26282671768073407 - 0.027926519452435357im	-0.26282671768073407 - 0.027926519452435364im	0.1369662743981486 + 0.040280401975667804im
-0.7105704163663926 + 0.0im	-0.12613893366048548 + 0.012823221105986223im	-0.26538456368585894 - 0.02879990837228322im	-0.26538456368585894 - 0.02879990837228323im	0.13924563774898083 + 0.04162312947878249im
-0.7035350657092996 + 0.0im	-0.12640875319907668 + 0.013309003782193525im	-0.26796615480357133 - 0.029699213116643475im	-0.26796615480357133 - 0.029699213116643464im	0.14155741384105688 + 0.04300821689934526im
-0.6965693719894055 + 0.0im	-0.1266698670446377 + 0.013811735362304314im	-0.2705715605269241 - 0.03062520423583774im	-0.27057156052692416 - 0.03062520423583774im	0.14390170618191073 + 0.04443693959864547im
-0.6896726455340648 + 0.0im	-0.12692223137292846 + 0.014331932212621142im	-0.2732008236737799 - 0.03157867235814928im	-0.2732008236737799 - 0.03157867235814929im	0.1462785908086072 + 0.045910604571268984im
-0.682844203499074 + 0.0im	-0.1271658025091893 + 0.014870122287949417im	-0.27585397170481185 - 0.03256042832077301im	-0.27585397170481185 - 0.032560428320772994im	0.14868815510705438 + 0.047430550609216075im
-0.6760833698010634 + 0.0im	-0.12740062930851262 + 0.015426845148641443im	-0.27853100796638325 - 0.033571303273285454im	-0.2785310079663832 - 0.03357130327328544im	0.15113037835685286 + 0.04899814842241566im
-0.6693894750505578 + 0.0im	-0.1276266050257733 + 0.016002651960467768im	-0.2812319841018153 - 0.034612148751898136im	-0.2812319841018154 - 0.03461214875189812im	0.15360540087664412 + 0.05061480071284966im
-0.6627618564857007 + 0.0im	-0.12784379255969933 + 0.016598105476240264im	-0.28395666959978616 - 0.03568383672272177im	-0.28395666959978627 - 0.035683836722721754im	0.15611304317826985 + 0.05228194219944085im
-0.6561998579066344 + 0.0im	-0.1280521968723451 + 0.01721377999808675im	-0.28670551115513976 - 0.036787259592234396im	-0.2867055111551398 - 0.03678725959223441im	0.15865334393793284 + 0.054001039590794976im
-0.649702829610529 + 0.0im	-0.12825182967609686 + 0.017850261319253446im	-0.2894779890935316 - 0.03792333018311553im	-0.2894779890935318 - 0.037923330183115514im	0.16122617824914695 + 0.05577359150283777im
-0.6432701283272565 + 0.0im	-0.12844275552277756 + 0.018508146644289594im	-0.29227417506086184 - 0.03909298167357705im	-0.29227417506086184 - 0.039092981673577026im	0.16383143821543023 + 0.05760112831833036im
-0.6369011171556995 + 0.0im	-0.12862500522978246 + 0.019188044486449268im	-0.2950939760186667 - 0.04029716749829695im	-0.29509397601866666 - 0.04029716749829694im	0.16646896687122556 + 0.05948521198520487im
-0.6305951655006926 + 0.0im	-0.12879868634251798 + 0.019890574541127463im	-0.297937254602522 - 0.04153686120903748im	-0.297937254602522 - 0.041536861209037476im	0.16913855955851664 + 0.06142743575061852im
-0.6243516490105867 + 0.0im	-0.1289638815240846 + 0.020616367534132107im	-0.3008038745029385 - 0.04281305629300775im	-0.3008038745029385 - 0.042813056293007745im	0.17183999477547263 + 0.0634294238275883im
-0.6181699495154324 + 0.0im	-0.1291206558033348 + 0.02136606504358176im	-0.3036936488913012 - 0.04412676594701584im	-0.30369364889130124 - 0.04412676594701584im	0.17457299545644683 + 0.06549283099104096im
-0.6120494549657746 + 0.0im	-0.1292692118404699 + 0.022140319294207584im	-0.3066063898468593 - 0.04547902280544139im	-0.30660638984685934 - 0.04547902280544139im	0.17733723646594057 + 0.06761934210008713im
-0.605989559372054 + 0.0im	-0.12940949246826927 + 0.022939792922832006im	-0.30954185647892846 - 0.046870878620051654im	-0.3095418564789284 - 0.04687087862005165im	0.1801323513752015 + 0.06981067154331677im
-0.599989662744608 + 0.0im	-0.12954187301812672 + 0.023765158713792773im	-0.31249979355000457 - 0.048303403889679415im	-0.31249979355000457 - 0.04830340388967941im	0.1829579270482208 + 0.07206856260390024im
-0.5940491710342654 + 0.0im	-0.12966642414002624 + 0.024617099303080023im	-0.31547991550864346 - 0.04977768743778291im	-0.31547991550864346 - 0.04977768743778289im	0.18581349526209762 + 0.07439478674128576im
-0.58816749607353 + 0.0im	-0.12978335455719822 + 0.025496306849958263im	-0.3184818970041417 - 0.05129483593591367im	-0.3184818970041417 - 0.05129483593591366im	0.18869854695134075 + 0.0767911427862896im
-0.5823440555183466 + 0.0im	-0.129892875856485 + 0.02640348267485145im	-0.3215053860982313 - 0.052855973371129794im	-0.3215053860982313 - 0.052855973371129815im	0.19161251053564196 + 0.07925945604639376im
-0.5765782727904422 + 0.0im	-0.12999523301526694 + 0.027339336862281502im	-0.32454999301005294 - 0.054462240455412265im	-0.32454999301005294 - 0.05446224045541224im	0.19455476111591583 + 0.08180157731810113im
-0.5708695770202398 + 0.0im	-0.1300906795660235 + 0.028304587827665463im	-0.32761529465401795 - 0.05611479397516309im	-0.32761529465401795 - 0.05611479397516309im	0.19752461630566176 + 0.0844193818032309im
-0.5652174029903364 + 0.0im	-0.13017949638379203 + 0.02929996184679754im	-0.33070082927112565 - 0.057814806078898745im	-0.33070082927112565 - 0.05781480607889875im	0.20052133373604453 + 0.08711476792609349im
-0.559621191079541 + 0.0im	-0.13026199011720985 + 0.030326192546866675im	-0.3338060973380558 - 0.05956346350128788im	-0.33380609733805616 - 0.0595634635012879im	0.2035441008594513 + 0.08988965604854668im
-0.5540803872074663 + 0.0im	-0.13033848795681932 + 0.03138402035789095im	-0.3369305601413561 - 0.06136196672173114im	-0.3369305601413561 - 0.06136196672173114im	0.20659207186856612 + 0.09274598708000906im
-0.5485944427796696 + 0.0im	-0.13040934533217632 + 0.03247419192348471im	-0.34007363646082683 - 0.06321152905573219im	-0.34007363646082683 - 0.06321152905573214im	0.20966429974970024 + 0.09568572097959864im
-0.5431628146333363 + 0.0im	-0.1304749447247159 + 0.033597459469916im	-0.3432347063583283 - 0.06511337567737341im	-0.3432347063583283 - 0.06511337567737341im	0.21275976535590757 + 0.09871083514766608im
