w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
-2.0 + 0.0im	-0.07372673474720019 + 0.0001588300613799447im	-0.0963972603156699 - 0.00047166698910489535im	-0.0963972603156699 - 0.0004716669891048964im	0.0226705275759788 + 0.0006304970510414116im
-1.9801980198019802 + 0.0im	-0.07398679013629664 + 0.00016670244545831386im	-0.09816118612589654 - 0.000498193843111785im	-0.0981611861258966 - 0.0004981938431117858im	0.02417440025593331 + 0.0006648962891323349im
-1.9605920988138417 + 0.0im	-0.07455503605004477 + 0.0001749341586147958im	-0.09902381304090953 - 0.0005260078577796952im	-0.09902381304090956 - 0.0005260078577796962im	0.024468780098586128 + 0.0007009420169622762im
-1.9411802958552888 + 0.0im	-0.07511168302150861 + 0.0001835404314973992im	-0.09993557763630923 - 0.0005551594527329639im	-0.09993557763630923 - 0.0005551594527329649im	0.024823892878797375 + 0.0007386998848035777im
-1.9219606889656324 + 0.0im	-0.07566487494372663 + 0.0001925371075416605im	-0.10087243023518597 - 0.0005857004129411011im	-0.10087243023518598 - 0.0005857004129411021im	0.025207563355325587 + 0.0007782375210612848im
-1.9029313752134975 + 0.0im	-0.07621706943099578 + 0.00020194066696096273im	-0.10182710907455386 - 0.0006176839013064129im	-0.10182710907455389 - 0.0006176839013064141im	0.02561004272486008 + 0.0008196245688510839im
-1.8840904705084134 + 0.0im	-0.07676932221538003 + 0.0002117682516368132im	-0.10279651117075463 - 0.0006511644708457606im	-0.10279651117075463 - 0.0006511644708457614im	0.026027187655723368 + 0.0008629327230713394im
-1.8654361094142706 + 0.0im	-0.07732216424016644 + 0.00022203769093806687im	-0.1037790528982673 - 0.000686198076512523im	-0.10377905289826736 - 0.000686198076512524im	0.02645689408174069 + 0.0009082357680442866im
-1.8469664449646244 + 0.0im	-0.07787587980031763 + 0.00023276752849871846im	-0.10477386419115343 - 0.0007228420867118777im	-0.10477386419115345 - 0.000722842086711879im	0.026897989647719747 + 0.0009556096158090921im
-1.828679648479826 + 0.0im	-0.07843063938005437 + 0.0002439770499844967im	-0.10578042516097495 - 0.0007611552945696929im	-0.10578042516097502 - 0.0007611552945696938im	0.027349790302733774 + 0.0010051323451573534im
