-2.0 + 0.0im	2.8789565257281776e-5 + 0.0im
-1.98019801980198 + 0.0im	3.067603467858804e-5 + 0.0im
-1.96059209881384 + 0.0im	3.280155386040407e-5 + 0.0im
-1.94118029585529 + 0.0im	3.5057345154185736e-5 + 0.0im
-1.92196068896563 + 0.0im	3.7453934615147985e-5 + 0.0im
-1.9029313752135 + 0.0im	4.000031400654453e-5 + 0.0im
-1.88409047050841 + 0.0im	4.270541583327468e-5 + 0.0im
-1.86543610941427 + 0.0im	4.5578433869520047e-5 + 0.0im
-1.84696644496462 + 0.0im	4.862892885763654e-5 + 0.0im
-1.82867964847983 + 0.0im	5.1866895101179315e-5 + 0.0im
-1.81057390938597 + 0.0im	5.530279087937289e-5 + 0.0im
-1.79264743503561 + 0.0im	5.894756517445313e-5 + 0.0im
-1.77489845053031 + 0.0im	6.281269355022633e-5 + 0.0im
-1.75732519854486 + 0.0im	6.691019352668823e-5 + 0.0im
-1.73992593915333 + 0.0im	7.125265265157779e-5 + 0.0im
-1.72269894965676 + 0.0im	7.585325399658294e-5 + 0.0im
-1.70564252441263 + 0.0im	8.072579812366873e-5 + 0.0im
-1.68875497466597 + 0.0im	8.58847334255908e-5 + 0.0im
-1.67203462838215 + 0.0im	9.134517942688245e-5 + 0.0im
-1.65547983008134 + 0.0im	9.712295529651379e-5 + 0.0im
-1.63908894067459 + 0.0im	0.00010323461040143616 + 0.0im
-1.62286033730158 + 0.0im	0.00010969744966383838 + 0.0im
-1.60679241316988 + 0.0im	0.00011652957302162124 + 0.0im
-1.59088357739592 + 0.0im	0.00012374989182382045 + 0.0im
-1.57513225484744 + 0.0im	0.00013137818843324096 + 0.0im
-1.55953688598757 + 0.0im	0.0001394351042956913 + 0.0im
-1.54409592672036 + 0.0im	0.00014794226331663136 + 0.0im
-1.52880784823798 + 0.0im	0.0001569221905186224 + 0.0im
-1.51367113686929 + 0.0im	0.00016639845236314613 + 0.0im
-1.49868429392999 + 0.0im	0.00017639566203380634 + 0.0im
-1.48384583557425 + 0.0im	0.00018693765608160273 + 0.0im
-1.46915429264777 + 0.0im	0.00019805480735004177 + 0.0im
-1.45460821054235 + 0.0im	0.0002097734560305896 + 0.0im
-1.44020614905183 + 0.0im	0.00022212285415959703 + 0.0im
-1.42594668222953 + 0.0im	0.00023513357559795342 + 0.0im
-1.41182839824706 + 0.0im	0.00024883752574006066 + 0.0im
-1.39784989925452 + 0.0im	0.00026326804220165427 + 0.0im
-1.3840098012421 + 0.0im	0.00027845995070398255 + 0.0im
-1.37030673390307 + 0.0im	0.00029444961552033724 + 0.0im
-1.35673934049808 + 0.0im	0.00031127504249534184 + 0.0im
-1.34330627772088 + 0.0im	0.00032897600699807945 + 0.0im
-1.33000621556522 + 0.0im	0.00034759401464704677 + 0.0im
-1.31683783719329 + 0.0im	0.0003671725442896074 + 0.0im
-1.30379983880524 + 0.0im	0.0003877570806917133 + 0.0im
-1.29089092951014 + 0.0im	0.0004093952748304889 + 0.0im
-1.27810983119816 + 0.0im	0.0004321370478186363 + 0.0im
-1.26545527841402 + 0.0im	0.00045603477504430745 + 0.0im
-1.2529260182317 + 0.0im	0.0004811434509801938 + 0.0im
-1.24052081013039 + 0.0im	0.0005075209021085174 + 0.0im
-1.22823842587168 + 0.0im	0.0005352280108154771 + 0.0im
-1.2160776493779 + 0.0im	0.0005643290003691445 + 0.0im
-1.20403727661178 + 0.0im	0.0005948917725787922 + 0.0im
-1.19211611545721 + 0.0im	0.0006269882851463157 + 0.0im
-1.1803129856012 + 0.0im	0.0006606950626246481 + 0.0im
-1.16862671841703 + 0.0im	0.0006960938124587153 + 0.0im
-1.15705615684854 + 0.0im	0.0007332721865839909 + 0.0im
-1.14560015529559 + 0.0im	0.0007723247500118486 + 0.0im
-1.13425757950058 + 0.0im	0.0008133546058061987 + 0.0im
-1.12302730643622 + 0.0im	0.0008564747375940146 + 0.0im
-1.11190822419427 + 0.0im	0.0009018111093705591 + 0.0im
-1.10089923187552 + 0.0im	0.0009495063118605892 + 0.0im
-1.08999923948071 + 0.0im	0.000999725345410135 + 0.0im
-1.07920716780269 + 0.0im	0.0010526649524821607 + 0.0im
-1.06852194831949 + 0.0im	0.0011085693313168479 + 0.0im
-1.0579425230886 + 0.0im	0.001167758557329059 + 0.0im
-1.04746784464218 + 0.0im	0.0012306853123569804 + 0.0im
-1.03709687588335 + 0.0im	0.0012980631057088572 + 0.0im
-1.02682858998351 + 0.0im	0.001371216207713045 + 0.0im
-1.01666197028071 + 0.0im	0.0014533974928202045 + 0.0im
-1.00659601017892 + 0.0im	0.0015620573058428445 + 0.0im
-0.996629713048433 + 0.0im	0.011796660736406287 + 0.0im
-0.986762092127162 + 0.0im	0.011835920751068013 + 0.0im
-0.976992170422933 + 0.0im	0.012014957252846754 + 0.0im
-0.967318980616765 + 0.0im	0.012237722544531518 + 0.0im
-0.957741564967094 + 0.0im	0.012485279054786275 + 0.0im
-0.948258975214945 + 0.0im	0.01275065541045231 + 0.0im
-0.938870272490044 + 0.0im	0.013030615320461741 + 0.0im
-0.929574527217865 + 0.0im	0.013323472285339076 + 0.0im
-0.920370819027589 + 0.0im	0.013628300550778934 + 0.0im
-0.91125823666098 + 0.0im	0.01394459302856434 + 0.0im
-0.902235877882158 + 0.0im	0.014272093629869283 + 0.0im
-0.893302849388275 + 0.0im	0.014610707212331956 + 0.0im
-0.884458266721065 + 0.0im	0.01496044824060224 + 0.0im
-0.875701254179272 + 0.0im	0.015321409405488798 + 0.0im
-0.867030944731952 + 0.0im	0.01569374197105792 + 0.0im
-0.858446479932626 + 0.0im	0.016077642813160976 + 0.0im
-0.849947009834283 + 0.0im	0.016473345991591795 + 0.0im
-0.841531692905231 + 0.0im	0.016881116708885837 + 0.0im
-0.833199695945773 + 0.0im	0.017301247315471033 + 0.0im
-0.824950194005716 + 0.0im	0.017734054342005895 + 0.0im
-0.816782370302689 + 0.0im	0.018179876885931028 + 0.0im
-0.808695416141276 + 0.0im	0.018639074536365735 + 0.0im
-0.800688530832947 + 0.0im	0.019112027398828505 + 0.0im
-0.792760921616779 + 0.0im	0.01959913457819564 + 0.0im
-0.784911803580969 + 0.0im	0.02010081457734205 + 0.0im
-0.777140399585118 + 0.0im	0.020617505137276067 + 0.0im
-0.769445940183285 + 0.0im	0.02114966215796794 + 0.0im
-0.761827663547807 + 0.0im	0.021697761955900324 + 0.0im
-0.754284815393868 + 0.0im	0.022262299221179668 + 0.0im
-0.74681664890482 + 0.0im	0.022843789480654193 + 0.0im
-0.739422424658238 + 0.0im	0.023442767626357434 + 0.0im
-0.732101410552711 + 0.0im	0.024059790066725623 + 0.0im
-0.724852881735357 + 0.0im	0.024695434212494417 + 0.0im
-0.717676120530057 + 0.0im	0.025350299653102707 + 0.0im
-0.710570416366393 + 0.0im	0.026025008360838712 + 0.0im
-0.7035350657093 + 0.0im	0.026720205920956818 + 0.0im
-0.696569371989405 + 0.0im	0.027436561747629897 + 0.0im
-0.689672645534065 + 0.0im	0.028174771105308926 + 0.0im
-0.682844203499074 + 0.0im	0.02893555285806104 + 0.0im
-0.676083369801063 + 0.0im	0.029719656631937718 + 0.0im
-0.669389475050558 + 0.0im	0.03052785389936582 + 0.0im
-0.662761856485701 + 0.0im	0.03136095230768969 + 0.0im
-0.656199857906634 + 0.0im	0.03221977836744546 + 0.0im
-0.649702829610529 + 0.0im	0.033105201989994275 + 0.0im
-0.643270128327256 + 0.0im	0.034018116374542745 + 0.0im
-0.6369011171557 + 0.0im	0.03495945065897706 + 0.0im
-0.630595165500693 + 0.0im	0.03593016683001348 + 0.0im
-0.624351649010587 + 0.0im	0.03693126451603712 + 0.0im
-0.618169949515432 + 0.0im	0.037963778099301654 + 0.0im
-0.612049454965775 + 0.0im	0.03902878381608737 + 0.0im
-0.605989559372054 + 0.0im	0.040127388057318164 + 0.0im
-0.599989662744608 + 0.0im	0.04126075129368812 + 0.0im
-0.594049171034265 + 0.0im	0.042430068617464976 + 0.0im
-0.58816749607353 + 0.0im	0.04363658109452914 + 0.0im
-0.582344055518347 + 0.0im	0.04488157561238042 + 0.0im
-0.576578272790442 + 0.0im	0.046166387590780435 + 0.0im
-0.57086957702024 + 0.0im	0.047492400620200145 + 0.0im
-0.565217402990336 + 0.0im	0.048861050226466834 + 0.0im
-0.559621191079541 + 0.0im	0.05027382579619812 + 0.0im
-0.554080387207466 + 0.0im	0.051732271471289844 + 0.0im
-0.54859444277967 + 0.0im	0.053237988293739075 + 0.0im
-0.543162814633336 + 0.0im	0.054792637566472256 + 0.0im
-0.537784964983501 + 0.0im	0.056397939783008534 + 0.0im
-0.532460361369803 + 0.0im	0.05805568951757619 + 0.0im
-0.527188476603766 + 0.0im	0.059767732029263734 + 0.0im
-0.5219687887166 + 0.0im	0.061535994625921527 + 0.0im
-0.516800780907524 + 0.0im	0.06336247076498802 + 0.0im
-0.511683941492598 + 0.0im	0.0652492349331705 + 0.0im
-0.506617763854058 + 0.0im	0.06719841701815261 + 0.0im
-0.501601746390156 + 0.0im	0.06921226536861788 + 0.0im
-0.496635392465501 + 0.0im	0.07129307945745504 + 0.0im
-0.491718210361882 + 0.0im	0.07344325396069733 + 0.0im
-0.486849713229586 + 0.0im	0.07566528361618943 + 0.0im
-0.482029419039195 + 0.0im	0.07796173546710941 + 0.0im
-0.477256850533856 + 0.0im	0.08033529746397797 + 0.0im
-0.472531535182036 + 0.0im	0.08278874246088959 + 0.0im
-0.467853005130728 + 0.0im	0.08532495320552899 + 0.0im
-0.463220797159137 + 0.0im	0.08794691616660107 + 0.0im
-0.458634452632809 + 0.0im	0.09065773647773762 + 0.0im
-0.454093517458227 + 0.0im	0.0934606323314816 + 0.0im
-0.449597542037848 + 0.0im	0.09635893947065856 + 0.0im
-0.445146081225592 + 0.0im	0.099356126414199 + 0.0im
