-2.0 + 0.0im	7.338014217127344e-5 + 0.0im
-0.754284815393868 + 0.0im	0.026100316072601576 + 0.0im
-0.74681664890482 + 0.0im	0.026827932477996776 + 0.0im
-0.739422424658238 + 0.0im	0.02757876049420773 + 0.0im
-0.732101410552711 + 0.0im	0.02835357863597925 + 0.0im
-0.724852881735357 + 0.0im	0.02915319532143401 + 0.0im
-0.717676120530057 + 0.0im	0.0299784484914803 + 0.0im
-0.710570416366393 + 0.0im	0.030830207335390603 + 0.0im
-0.7035350657093 + 0.0im	0.031709371984108 + 0.0im
-0.696569371989405 + 0.0im	0.032616876205964644 + 0.0im
-0.689672645534065 + 0.0im	0.033553686023447285 + 0.0im
-0.682844203499074 + 0.0im	0.03452080383771931 + 0.0im
-0.676083369801063 + 0.0im	0.03551926459851094 + 0.0im
-0.669389475050558 + 0.0im	0.036550144502439055 + 0.0im
-0.662761856485701 + 0.0im	0.03761455287893727 + 0.0im
-0.656199857906634 + 0.0im	0.03871364002942074 + 0.0im
-0.649702829610529 + 0.0im	0.03984859644445229 + 0.0im
-0.643270128327256 + 0.0im	0.04102065388095654 + 0.0im
-0.6369011171557 + 0.0im	0.042231085936935885 + 0.0im
-0.630595165500693 + 0.0im	0.04348121045992716 + 0.0im
-0.624351649010587 + 0.0im	0.04477239002257568 + 0.0im
-0.618169949515432 + 0.0im	0.04610603495505299 + 0.0im
-0.612049454965775 + 0.0im	0.04748360136034324 + 0.0im
-0.605989559372054 + 0.0im	0.04890659710475862 + 0.0im
-0.599989662744608 + 0.0im	0.05037657897015456 + 0.0im
-0.594049171034265 + 0.0im	0.05189515664133833 + 0.0im
-0.58816749607353 + 0.0im	0.05346399448354389 + 0.0im
-0.582344055518347 + 0.0im	0.055084811335603646 + 0.0im
-0.576578272790442 + 0.0im	0.05675938290321372 + 0.0im
-0.57086957702024 + 0.0im	0.05848954558970014 + 0.0im
-0.565217402990336 + 0.0im	0.06027719481699809 + 0.0im
-0.559621191079541 + 0.0im	0.06212428847446928 + 0.0im
-0.554080387207466 + 0.0im	0.06403284914908637 + 0.0im
-0.54859444277967 + 0.0im	0.06600496446339418 + 0.0im
-0.543162814633336 + 0.0im	0.06804279166789268 + 0.0im
-0.537784964983501 + 0.0im	0.07014855669826886 + 0.0im
-0.532460361369803 + 0.0im	0.07232455630665735 + 0.0im
-0.527188476603766 + 0.0im	0.07457316210768172 + 0.0im
-0.5219687887166 + 0.0im	0.0768968272249741 + 0.0im
-0.516800780907524 + 0.0im	0.07929807246207443 + 0.0im
-0.511683941492598 + 0.0im	0.08177949409455716 + 0.0im
-0.506617763854058 + 0.0im	0.08434381281123475 + 0.0im
-0.501601746390156 + 0.0im	0.08699377529379035 + 0.0im
-0.496635392465501 + 0.0im	0.08973224405033585 + 0.0im
-0.491718210361882 + 0.0im	0.092562180656262 + 0.0im
-0.486849713229586 + 0.0im	0.09548658597633877 + 0.0im
-0.482029419039195 + 0.0im	0.0985086998192907 + 0.0im
-0.477256850533856 + 0.0im	0.1016316533541759 + 0.0im
-0.472531535182036 + 0.0im	0.10485881473713374 + 0.0im
-0.467853005130728 + 0.0im	0.1081936141926254 + 0.0im
-0.463220797159137 + 0.0im	0.11163959471122964 + 0.0im
-0.458634452632809 + 0.0im	0.11520039828025219 + 0.0im
-0.454093517458227 + 0.0im	0.11887977946374956 + 0.0im
-0.449597542037848 + 0.0im	0.12268160816097132 + 0.0im
-0.445146081225592 + 0.0im	0.1266098598024147 + 0.0im
-0.440738694282764 + 0.0im	0.1306686402978255 + 0.0im
-0.43637494483442 + 0.0im	0.13486215995345274 + 0.0im
-0.432054400826159 + 0.0im	0.13919476267863592 + 0.0im
-0.427776634481345 + 0.0im	0.14367091236335755 + 0.0im
-0.423541222258758 + 0.0im	0.1482952051320533 + 0.0im
-0.419347744810651 + 0.0im	0.1530723504913741 + 0.0im
-0.415195786941239 + 0.0im	0.1580072117822754 + 0.0im
-0.411084937565583 + 0.0im	0.16310477277753235 + 0.0im
-0.407014789668894 + 0.0im	0.16837015728082552 + 0.0im
-0.402984940266232 + 0.0im	0.17380862581985027 + 0.0im
