w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-1.3043118996192947e-5 + 0.0im	-0.13249785858064925 - 4.1636276230116863e-10im	-0.009939263246500974 + 6.079303137911351e-11im	-0.009939255698125196 + 5.812479837471317e-11im	0.06497914811456687 + 9.936274426024878e-11im
-1.2913979204151433e-5 + 0.0im	-0.1325059171295559 - 4.2003660445758123e-10im	-0.009937893035788573 + 6.07423283785703e-11im	-0.00993788548795836 + 5.8015518206625615e-11im	0.0649712232075728 + 9.454635711964248e-11im
-1.278611802391231e-5 + 0.0im	-0.13251389220354912 - 4.238514639842906e-10im	-0.0099365443424652 + 6.091884950794103e-11im	-0.009936536795172445 + 5.813389146970272e-11im	0.06496338051362535 + 8.974149689822013e-11im
-1.2659522795952781e-5 + 0.0im	-0.13252178473124845 - 4.2775791723086615e-10im	-0.009935216781737564 + 6.128180813626297e-11im	-0.009935209234974289 + 5.843919533470456e-11im	0.06495561911578525 + 8.497934573339333e-11im
-1.2534180986091862e-5 + 0.0im	-0.13252959562881453 - 4.3171219953650845e-10im	-0.009933909976803225 + 6.179575349515647e-11im	-0.009933902430561171 + 5.889604348552979e-11im	0.06494793810926781 + 8.028579467146334e-11im
-1.2410080184249368e-5 + 0.0im	-0.132537325800907 - 4.356755413077972e-10im	-0.009932623558104122 + 6.242990951063721e-11im	-0.009932616012375536 + 5.947372485478958e-11im	0.06494033660103639 + 7.568213343545835e-11im
-1.2287208103217195e-5 + 0.0im	-0.13254497614003366 - 4.3961358557886827e-10im	-0.009931357163807027 + 6.315759323501971e-11im	-0.009931349618584032 + 6.014562195495969e-11im	0.06493281370981595 + 7.118565770537451e-11im
-1.2165552577442768e-5 + 0.0im	-0.13255254752726206 - 4.4349587749017393e-10im	-0.009930110439246782 + 6.39557036496158e-11im	-0.009930102894521581 + 6.088869957605089e-11im	0.06492536856575856 + 6.681020337593121e-11im
-1.2045101561824523e-5 + 0.0im	-0.13256004083228987 - 4.472954171853545e-10im	-0.009928883036858729 + 6.480427263618051e-11im	-0.009928875492623591 + 6.168305564800256e-11im	0.06491800031027788 + 6.256661620639413e-11im
-1.192584313051933e-5 + 0.0im	-0.13256745691364502 - 4.5098826857600135e-10im	-0.009927674616013092 + 6.56860708329583e-11im	-0.00992766707226037 + 6.251152698392284e-11im	0.06491070809585422 + 5.846316433852094e-11im
