w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-1.5288078482379834 + 0.0im	-0.0803830684131006 - 0.00017888980623489672im	-4.62973248261127e-8 - 3.331726265578675e-8im	9.621736654723398e-8 + 6.921286051826827e-8im	0.04510815765837679 + 0.00015016147429110105im
-1.5136711368692906 + 0.0im	-0.08111700395626556 - 0.00018751127486521714im	-4.751409358174277e-8 - 3.497871402087718e-8im	9.874572720273078e-8 + 7.266428178690833e-8im	0.04558800248147725 + 0.00015751140609023651im
-1.4986842939299907 + 0.0im	-0.08185695113595537 - 0.00019644916478250707im	-4.875178853043215e-8 - 3.6706841347782905e-8im	1.0131756973456703e-7 + 7.625421050958817e-8im	0.04607320226592747 + 0.00016514240646440436im
-1.483845835574248 + 0.0im	-0.08260293198758684 - 0.00020570967693625284im	-5.0009633423223514e-8 - 3.8503519417911115e-8im	1.0393128134592311e-7 + 7.998654120116356e-8im	0.04656381708095841 + 0.00017306109949555992im
-1.4691542926477703 + 0.0im	-0.08335497616004679 - 0.0002152988676158162im	-5.128719525024633e-8 - 4.037064701811999e-8im	1.065859626875052e-7 + 8.386521825051374e-8im	0.04705990918096313 + 0.00018127408732810895im
-1.4546082105423468 + 0.0im	-0.08411311956540583 - 0.00022522263520683295im	-5.258424842950377e-8 - 4.231014712683874e-8im	1.0928114569203479e-7 + 8.789423630793219e-8im	0.04756154134384033 + 0.00018978794422332915im
-1.4402061490518285 + 0.0im	-0.08487739071083349 - 0.0002354867071223649im	-5.390041534418164e-8 - 4.432396721036255e-8im	1.1201604574470773e-7 + 9.207764090140427e-8im	0.04806877785334618 + 0.0001986092109165418im
-1.4259466822295332 + 0.0im	-0.08564782001619956 - 0.00024609662696920725im	-5.5235195103408426e-8 - 4.641407963893624e-8im	1.1478962254723985e-7 + 9.641952930174205e-8im	0.048581682916364305 + 0.00020774438932535835im
-1.4118283982470625 + 0.0im	-0.08642443818133665 - 0.0002570577420111642im	-5.6588283557710015e-8 - 4.858248223220179e-8im	1.1760124443497017e-7 + 1.0092405165646206e-7im	0.04910032322205135 + 0.00021719993765799712im
-1.3978498992545174 + 0.0im	-0.0872072744717016 - 0.00026837519099224617im	-5.795920066160518e-8 - 5.083119894348739e-8im	1.204499143301561e-7 + 1.055954124120919e-7im	0.0496247636012578 + 0.00022698226597109132im
-1.3840098012420965 + 0.0im	-0.08799636072945886 - 0.00028005389238360467im	-5.9347542820707285e-8 - 5.31622806922622e-8im	1.2333479397848108e-7 + 1.1043787204426865e-7im	0.05015507294077717 + 0.00023709773222658996im
-1.370306733903066 + 0.0im	-0.08879172408717606 - 0.00029209853311854586im	-6.075288810063444e-8 - 5.557780635386468e-8im	1.262553054826626e-7 + 1.1545574911454571e-7im	0.050691319793152036 + 0.0002475526388972569im
-1.356739340498085 + 0.0im	-0.08959339320025586 - 0.00030451355788018315im	-6.217490268498137e-8 - 5.8079883915333416e-8im	1.292098601287403e-7 + 1.2065342267224549e-7im	0.051233572826014095 + 0.0002583532301699351im
-1.3433062777208762 + 0.0im	-0.09040140652995171 - 0.0003173031590061492im	-6.361324288403056e-8 - 6.067065180583327e-8im	1.3219863939756624e-7 + 1.2603533501898974e-7im	0.05178190309423987 + 0.0002695056897950675im
-1.330006215565224 + 0.0im	-0.09121578383765432 - 0.00033047126707429214im	-6.506720737389546e-8 - 6.335228040975875e-8im	1.3521988829805557e-7 + 1.316059948526949e-7im	0.05233638153771712 + 0.0002810161396300562im
-1.316837837193291 + 0.0im	-0.09203655791331275 - 0.000344021542232405im	-6.653676166372752e-8 - 6.612697377013502e-8im	1.382735351831854e-7 + 1.3736998080685526e-7im	0.052897082329423493 + 0.0002928906389227835im
-1.3037998388052385 + 0.0im	-0.09286375810876653 - 0.0003579573663337756im	-6.802146033314407e-8 - 6.899697148940151e-8im	1.4135865452046101e-7 + 1.4333194539982352e-7im	0.05346407861505549 + 0.000305135184380076im
-1.2908909295101372 + 0.0im	-0.09369741463121799 - 0.0003722818359386861im	-6.952069773347345e-8 - 7.196455083407179e-8im	1.4447398867359068e-7 + 1.4949661940757007e-7im	0.05403744490677469 + 0.00031775571106405434im
-1.2781098311981556 + 0.0im	-0.09453755266641083 - 0.00038699775623992407im	-7.103399189088951e-8 - 7.503202904910577e-8im	1.4761853647181064e-7 + 1.5586881667204264e-7im	0.05461725711106955 + 0.0003307580941571295im
-1.2654552784140154 + 0.0im	-0.09538420557052626 - 0.0004021076359678925im	-7.256134335949195e-8 - 7.820176588712127e-8im	1.5079229860716916e-7 + 1.6245343935575914e-7im	0.055203593933668194 + 0.0003441481516339561im
-1.2529260182316984 + 0.0im	-0.09623740075282312 - 0.00041761368332801055im	-7.41022992993762e-8 - 8.14761663567975e-8im	1.539943350974707e-7 + 1.6925548365167533e-7im	0.05579653255310162 + 0.00035793164787586605im
-1.2405208101303944 + 0.0im	-0.09709716716056248 - 0.0004335178030197988im	-7.56568617601637e-8 - 8.485768369400438e-8im	1.5722464970813776e-7 + 1.7628004595565512e-7im	0.05639615332937923 + 0.00037211429826025134im
-1.2282384258716776 + 0.0im	-0.09796353381898536 - 0.00044982159438330916im	-7.722432828138856e-8 - 8.834882255831746e-8im	1.604817836546769e-7 + 1.8353232950705945e-7im	0.05700254186426844 + 0.0003867017747539932im
-1.2160776493778986 + 0.0im	-0.09883652906380072 - 0.00046652635071445524im	-7.880428514584098e-8 - 9.195214245666401e-8im	1.637648767617573e-7 + 1.910176515010705e-7im	0.05761577409406174 + 0.0004016997125364106im
-1.2040372766117808 + 0.0im	-0.09971618217582151 - 0.0004836330597862455im	-8.039697931720143e-8 - 9.567026139489016e-8im	1.6707444249034393e-7 + 1.9874145067438273e-7im	0.05823593939478649 + 0.0004171137176733007im
-1.1921161154572086 + 0.0im	-0.10060252200229071 - 0.0005011424056080377im	-8.200192045876387e-8 - 9.950585975705103e-8im	1.7040946210137048e-7 + 2.067092953638353e-7im	0.058863119300094933 + 0.0004329493758595026im
-1.1803129856011967 + 0.0im	-0.10149557658707986 - 0.0005190547714496174im	-8.361862617259737e-8 - 1.0346168441120966e-7im	1.7376893292723105e-7 + 2.1492689203545675e-7im	0.0594974026203031 + 0.00044921226224304883im
-1.1686267184170265 + 0.0im	-0.10239537651616343 - 0.0005373702441512805im	-8.524754576472374e-8 - 1.0754055303949745e-7im	1.7715378870597038e-7 + 2.2340009427923852e-7im	0.06013887994607824 + 0.0004659079523394015im
-1.1570561568485411 + 0.0im	-0.10330194980098839 - 0.0005560886197351039im	-8.688792639387706e-8 - 1.1174535868914098e-7im	1.8056246470491184e-7 + 2.3213491226278205e-7im	0.06078763650007923 + 0.0004830420340395197im
-1.1456001552955852 + 0.0im	-0.10421532547024949 - 0.0005752094103263164im	-8.853941680001422e-8 - 1.1607907454010845e-7im	1.8399423148255164e-7 + 2.411375226347736e-7im	0.06144376827588841 + 0.0005006201207106006im
-1.1342575795005794 + 0.0im	-0.10513553241919361 - 0.0005947318523870838im	-9.020329555384071e-8 - 1.205447588839827e-7im	1.874517443559332e-7 + 2.5041427886708236e-7im	0.062107365897367144 + 0.0005186478653833432im
-1.1230273064362173 + 0.0im	-0.10606260111199987 - 0.0006146549162582095im	-9.187803525254919e-8 - 1.2514556030764096e-7im	1.909318298195649e-7 + 2.599717220221151e-7im	0.0627785287300374 + 0.0005371309760144527im
-1.1119082241942746 + 0.0im	-0.10699655879974086 - 0.0006349773169971953im	-9.356399478373863e-8 - 1.2988472307430584e-7im	1.9443523356549982e-7 + 2.6981659192998377e-7im	0.06345734875700135 + 0.000556075231807969im
-1.1008992318755193 + 0.0im	-0.10793743600405463 - 0.0006556975264938641im	-9.526164311116262e-8 - 1.347655926935627e-7im	1.9796292871600128e-7 + 2.7995583875800493e-7im	0.06414392714892192 + 0.0005754865005738351im
-1.089999239480712 + 0.0im	-0.10888526206671742 - 0.0006768137868373795im	-9.697029888824696e-8 - 1.39791621671009e-7im	2.0151349967301519e-7 + 2.9039663495312957e-7im	0.06483836280426415 + 0.0005953707570969698im
-1.0792071678026853 + 0.0im	-0.10984006653163605 - 0.0006983241249009929im	-9.869009368762165e-8 - 1.449663754273238e-7im	2.050872189341552e-7 + 3.011463875360737e-7im	0.06554075698819314 + 0.0006157341024850658im
-1.0685219483194903 + 0.0im	-0.11080187993891548 - 0.0007202263681033225im	-1.0042180627832705e-7 - 1.5029353837573892e-7im	2.0868570333002243e-7 + 3.1221275072424757e-7im	0.06625121645065647 + 0.0006365827844583322im
-1.0579425230886044 + 0.0im	-0.11177073103476043 - 0.0007425181612973821im	-1.0216568977779886e-7 - 1.5577692014615536e-7im	2.123094777125916e-7 + 3.2360363885905205e-7im	0.06696984682563449 + 0.0006579232185396475im
-1.0474678446421826 + 0.0im	-0.11274665007056187 - 0.0007651969847310856im	-1.0392077044136904e-7 - 1.614204619435125e-7im	2.1595651887429034e-7 + 3.3532723961177184e-7im	0.06769675413296311 + 0.0006797620100989472im
-1.037096875883349 + 0.0im	-0.11372966761189562 - 0.0007882601730154764im	-1.0568778654497052e-7 - 1.6722824302745766e-7im	2.1962835919208096e-7 + 3.4739202744116333e-7im	0.06843204921614221 + 0.000702105977201341im
-1.026828589983514 + 0.0im	-0.11471981453604624 - 0.0008117049350296536im	-1.0746698373277398e-7 - 1.7320448729993888e-7im	2.233255079938302e-7 + 3.598067772749154e-7im	0.06917584403731324 + 0.0007249621742043838im
-1.016661970280707 + 0.0im	-0.11571712043702327 - 0.0008355283746842379im	-1.0925812230907417e-7 - 1.793535699870122e-7im	2.2704746578477844e-7 + 3.7258057838650425e-7im	0.06992825197428307 + 0.0007483379160462245im
-1.0065960101789178 + 0.0im	-0.1167216159393396 - 0.0008597275124583455im	-1.1106229909564809e-7 - 1.8568002440097456e-7im	2.3079651019503902e-7 + 3.8572284843857275e-7im	0.07068939153719905 + 0.0007722408031630085im
-0.9966297130484334 + 0.0im	-0.11773333310333817 - 0.0008842993076184664im	-1.1287951262584363e-7 - 1.9218854876887566e-7im	2.3457263587606581e-7 + 3.992433476638403e-7im	0.07145937916577977 + 0.0007966787469710382im
-0.9867620921271618 + 0.0im	-0.11875230223992289 - 0.000909240681021414im	-1.1471019181314189e-7 - 1.9888401311355977e-7im	2.3837673325701518e-7 + 4.1315219315477836e-7im	0.07223833633481264 + 0.00082165999584678im
-0.9769921704229325 + 0.0im	-0.11977855471633515 - 0.0009345485383976879im	-1.1655400121378213e-7 - 2.0577146617364278e-7im	2.422081029905548e-7 + 4.274598732337779e-7im	0.07302638477804202 + 0.000847193161535912im
-0.9673189806167649 + 0.0im	-0.12081212142062168 - 0.0009602197940062131im	-1.184117387350155e-7 - 2.1285614234924047e-7im	2.4606840126595416e-7 + 4.4217726187641866e-7im	0.07382364953504143 + 0.0008732872459212998im
-0.957741564967094 + 0.0im	-0.12185303427044339 - 0.0009862513945466007im	-1.2028380322252963e-7 - 2.201434686608486e-7im	2.4995845463621947e-7 + 4.5731563316165535e-7im	0.07463025961956062 + 0.0008999516680790664im
-0.9482589752149445 + 0.0im	-0.12290132634192553 - 0.0010126403432107133im	-1.2217052218493766e-7 - 2.2763907170953717e-7im	2.538789415393537e-7 + 4.7288667572430677e-7im	0.07544634465823247 + 0.0009271962915518605im
-0.9388702724900441 + 0.0im	-0.12395702533504886 - 0.0010393837237516635im	-1.2407223164650152e-7 - 2.3534878462755367e-7im	2.578305571973396e-7 + 4.88902507187198e-7im	0.0762720332572043 + 0.0009550314517690402im
-0.9295745272178654 + 0.0im	-0.1250201670336983 - 0.0010664787244453432im	-1.2598940063218492e-7 - 2.4327865400955155e-7im	2.618142738051521e-7 + 5.053756885526048e-7im	0.07710747026673778 + 0.0009834679835447843im
