w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-1.5288078482379834 + 0.0im	-0.6259786109845732 - 0.0015801450305799466im	8.24072672506421e-7 + 6.38581783627114e-7im	8.238098470016753e-7 + 6.387428554493147e-7im	-0.7388435209371278 - 0.002955418949368984im
-1.5136711368692906 + 0.0im	-0.6319814051957003 - 0.0016565610687543548im	8.46202238968551e-7 + 6.709100788467379e-7im	8.459312991112356e-7 + 6.71078519971185e-7im	-0.7472372704753677 - 0.003102365559410192im
-1.4986842939299907 + 0.0im	-0.6380386378911004 - 0.0017358079173052034im	8.687382885959053e-7 + 7.045825075291702e-7im	8.684588644660809e-7 + 7.047585490705695e-7im	-0.7557373037531737 - 0.0032551617975232865im
-1.483845835574248 + 0.0im	-0.6441506996059935 - 0.0018179436283295902im	8.916666372630188e-7 + 7.396411469355636e-7im	8.913783391044175e-7 + 7.398250207042837e-7im	-0.7643453296484038 - 0.003413968360818928im
-1.4691542926477703 + 0.0im	-0.6503179902491678 - 0.0019030252038001996im	9.149898872839444e-7 + 7.761289823733565e-7im	9.146923077434594e-7 + 7.763209204076288e-7im	-0.7730628631875607 - 0.003578947848362349im
-1.4546082105423468 + 0.0im	-0.656540903471098 - 0.0019911084900626126im	9.386987596192143e-7 + 8.140899368668813e-7im	9.383914712139731e-7 + 8.142901709358161e-7im	-0.7818915342154417 - 0.0037502647968146803im
-1.4402061490518285 + 0.0im	-0.6628198070228004 - 0.002082248074172272im	9.627848345787498e-7 + 8.535689041246928e-7im	9.624673899089734e-7 + 8.537776652017567e-7im	-0.7908329733231665 - 0.003928085731066696im
-1.4259466822295332 + 0.0im	-0.6691551009709404 - 0.002176497182592379im	9.872434018162262e-7 + 8.946117850295363e-7im	9.86915333288666e-7 + 8.948293027361981e-7im	-0.7998889086500584 - 0.004112579231375677im
-1.4118283982470625 + 0.0im	-0.6755471843524826 - 0.002273907582784581im	1.012069360843047e-6 + 9.372655278777762e-7im	1.0117301796719966e-6 + 9.374920298971191e-7im	-0.8090609236436792 - 0.004303916018571936im
-1.3978498992545174 + 0.0im	-0.6819964488885057 - 0.002374529488232731im	1.0372619581834752e-6 + 9.815781725951015e-7im	1.0369111553008158e-6 + 9.818138840552304e-7im	-0.8183509723845458 - 0.004502269058956998im
-1.3840098012420965 + 0.0im	-0.6885032890411977 - 0.002478411467445514im	1.0628093920923893e-6 + 1.0275988991542354e-6im	1.0624464357381303e-6 + 1.0278440419814172e-6im	-0.8277606756325198 - 0.00470781369056975im
-1.370306733903066 + 0.0im	-0.6950681013048436 - 0.0025856003574865707im	1.088706169424469e-6 + 1.075378080418412e-6im	1.088330505616446e-6 + 1.0756328726599644e-6im	-0.8372918574677026 - 0.004920727772550491im
-1.356739340498085 + 0.0im	-0.7016912875762862 - 0.002696141182580763im	1.1149527234084186e-6 + 1.124967339631344e-6im	1.1145637764508873e-6 + 1.1252319947483319e-6im	-0.8469465579397298 - 0.005141191859386016im
