w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-2.0 + 0.0im	-0.0020389809602134826 - 1.5368217419273368e-6im	-1.7539386924955551e-9 - 1.2459380740695907e-9im	-1.7523303647450869e-9 - 1.2462758418479966e-9im	-0.009960870184445459 - 1.2139600286210837e-5im
-1.9801980198019802 + 0.0im	-0.002061457619944654 - 1.6338113722806515e-6im	-4.047865795862586e-9 - 1.3254737559787088e-9im	-4.0468266760852315e-9 - 1.3258326036773079e-9im	-0.010092036833135377 - 1.2911394214685134e-5im
-1.9605920988138417 + 0.0im	-0.0020811495864266785 - 1.736000577896496e-6im	-3.936161040393412e-9 - 1.4093866295222183e-9im	-3.935037533681743e-9 - 1.4097676534770354e-9im	-0.010201062590295509 - 1.3725231951044389e-5im
-1.9411802958552888 + 0.0im	-0.0021011574203847593 - 1.843604108798824e-6im	-3.931510568128412e-9 - 1.4978707698972177e-9im	-3.9303300908415394e-9 - 1.4982751077470554e-9im	-0.010312446943302333 - 1.4582925954110415e-5im
-1.9219606889656324 + 0.0im	-0.0021214046271935284 - 1.956841505729448e-6im	-3.970659597262875e-9 - 1.5911261182587087e-9im	-3.969432338137723e-9 - 1.591554949419896e-9im	-0.010425590159094514 - 1.548633780192908e-5im
-1.9029313752134975 + 0.0im	-0.002141868929581485 - 2.07593695794172e-6im	-4.034373972032259e-9 - 1.6893585285650672e-9im	-4.0331048349441994e-9 - 1.689813074629433e-9im	-0.010540324986739229 - 1.6437377986103214e-5im
-1.8840904705084134 + 0.0im	-0.002162541708174485 - 2.201119143555427e-6im	-4.114356098679472e-9 - 1.792779810899683e-9im	-4.1130476676454595e-9 - 1.7932613359491115e-9im	-0.010656587553042655 - 1.743800563013685e-5im
-1.8654361094142706 + 0.0im	-0.00218341906786414 - 2.3326210522187188e-6im	-4.206274206996995e-9 - 1.901607771556144e-9im	-4.204927822387384e-9 - 1.902117582386885e-9im	-0.010774356312234088 - 1.8490228133041403e-5im
-1.8469664449646244 + 0.0im	-0.0022044995854107316 - 2.4706797898887266e-6im	-4.307615457729684e-9 - 2.0160662502356945e-9im	-4.3062317075988766e-9 - 2.016605696485469e-9im	-0.010893624486161785 - 1.959610074009217e-5im
-1.828679648479826 + 0.0im	-0.0022257828488359225 - 2.6155363656129925e-6im	-4.416869287938658e-9 - 2.1363851547699974e-9im	-4.415448272339269e-9 - 2.1369556289407115e-9im	-0.011014398282121349 - 2.075772604330247e-5im
-1.8105739093859663 + 0.0im	-0.002247269155065202 - 2.7674354602692005e-6im	-4.532962571704348e-9 - 2.2628004938491907e-9im	-4.531504025051568e-9 - 2.263403431218048e-9im	-0.011136687646193232 - 2.197725341490107e-5im
-1.79264743503561 + 0.0im	-0.0022689591819265186 - 2.9266251773005055e-6im	-4.655171932595727e-9 - 2.395554408304798e-9im	-4.653675313780495e-9 - 2.3961912867163944e-9im	-0.011260504364148797 - 2.32568783778571e-5im
-1.774898450530307 + 0.0im	-0.0022908538869284493 - 3.0933567755681633e-6im	-4.782973951213748e-9 - 2.534895201568887e-9im	-4.781438495200347e-9 - 2.5355675411008297e-9im	-0.01138586427164452 - 2.4598841918293627e-5im
-1.7573251985448584 + 0.0im	-0.002312954377912474 - 3.267884384531517e-6im	-4.9160036092927955e-9 - 2.6810773700046803e-9im	-4.914428365277831e-9 - 2.6817867324991552e-9im	-0.011512785910255785 - 2.6005429745464165e-5im
-1.739925939153325 + 0.0im	-0.002335261897257565 - 3.450464702057759e-6im	-5.053956857374935e-9 - 2.8343616338794297e-9im	-5.052340704691088e-9 - 2.83510962233312e-9im	-0.01164128726133217 - 2.7478971505835333e-5im
-1.7226989496567575 + 0.0im	-0.002357777745679142 - 3.641356675259966e-6im	-5.196603709327243e-9 - 2.995014969827288e-9im	-5.194945373720518e-9 - 2.9958032276320342e-9im	-0.011771387824393005 - 2.9021839958723512e-5im
-1.7056425244126312 + 0.0im	-0.0023805034051246313 - 3.840821164860968e-6im	-5.343799981076426e-9 - 3.1633106457280217e-9im	-5.342098050647711e-9 - 3.16414085575452e-9im	-0.011903109213024253 - 3.0636450121864806e-5im
-1.6887549746659716 + 0.0im	-0.0024034402257958657 - 4.049120593682621e-6im	-5.495364836876361e-9 - 3.339528259005908e-9im	-5.4936177564724716e-9 - 3.3404021425228705e-9im	-0.012036470803372716 - 3.2325258396264644e-5im
-1.6720346283821501 + 0.0im	-0.0024265897338189148 - 4.2665185799646955e-6im	-5.651176557889891e-9 - 3.5239537794323373e-9im	-5.649382636843029e-9 - 3.524873094853511e-9im	-0.012171494744220177 - 3.409076168066274e-5im
-1.6554798300813367 + 0.0im	-0.002449953373175752 - 4.493279556323732e-6im	-5.8111290061667254e-9 - 3.7168795975940885e-9im	-5.809286420960131e-9 - 3.717846139045624e-9im	-0.012308204998773718 - 3.593549648696516e-5im
-1.6390889406745908 + 0.0im	-0.0024735327354993074 - 4.729668375270081e-6im	-5.975145744314149e-9 - 3.918604580267607e-9im	-5.9732525405529185e-9 - 3.919620175968395e-9im	-0.012446623042030909 - 3.786203806903257e-5im
-1.622860337301575 + 0.0im	-0.0024973293493776565 - 4.975949902309979e-6im	-6.1431410757412e-9 - 4.1294341340165085e-9im	-6.141195164301009e-9 - 4.13050064446419e-9im	-0.012586772208605117 - 3.987299957826999e-5im
-1.6067924131698763 + 0.0im	-0.0025213447749767304 - 5.232388597768342e-6im	-6.315048865122769e-9 - 4.3496802784048775e-9im	-6.313048019801167e-9 - 4.350799594360415e-9im	-0.012728677957094623 - 4.1971031260535795e-5im
-1.5908835773959171 + 0.0im	-0.002545580591712299 - 5.499248088576362e-6im	-6.490899354750435e-9 - 4.5796617302922515e-9im	-6.4888412322168105e-9 - 4.5808357705562195e-9im	-0.012872364174346096 - 4.4158819709971416e-5im
-1.5751322548474427 + 0.0im	-0.002570038432312915 - 5.776790731375571e-6im	-6.670474296094812e-9 - 4.8197040007468955e-9im	-6.668356383559832e-9 - 4.8209347097207044e-9im	-0.013017856654856514 - 4.643908719644903e-5im
-1.559536885987567 + 0.0im	-0.0025947198043991685 - 6.0652771683954665e-6im	-6.853780471343441e-9 - 5.070139506181261e-9im	-6.851600124239172e-9 - 5.071428851206973e-9im	-0.013165179308072733 - 4.881459108443497e-5im
-1.5440959267203633 + 0.0im	-0.002619626359037107 - 6.364965877665031e-6im	-7.040775317685612e-9 - 5.331307695377404e-9im	-7.0385297463244825e-9 - 5.332657663850035e-9im	-0.013314359517059329 - 5.128812336217047e-5im
-1.5288078482379834 + 0.0im	-0.0026447596311844905 - 6.676112719218491e-6im	-7.23140615520288e-9 - 5.603555194129776e-9im	-7.229092419609466e-9 - 5.6049677903761805e-9im	-0.013465423168804185 - 5.3862510301176404e-5im
-1.5136711368692906 + 0.0im	-0.0026701214367239818 - 6.998970479051419e-6im	-7.425557881685339e-9 - 5.887235969287271e-9im	-7.4231728819064765e-9 - 5.888713211206335e-9im	-0.013618399254135601 - 5.654061226719208e-5im
-1.4986842939299907 + 0.0im	-0.0026957132448595083 - 7.333788412674261e-6im	-7.62327838020373e-9 - 6.182711514026152e-9im	-7.620818863342175e-9 - 6.184255429485148e-9im	-0.013773312360620606 - 5.9325323704752204e-5im
-1.483845835574248 + 0.0im	-0.002721536705602377 - 7.680811790196186e-6im	-7.824496603619781e-9 - 6.490351056229127e-9im	-7.821959162911216e-9 - 6.491963679211743e-9im	-0.01393019363255814 - 6.221957331869715e-5im
-1.4691542926477703 + 0.0im	-0.0027475935085672218 - 8.040281444950749e-6im	-8.029175024770309e-9 - 6.810531791883119e-9im	-8.026556085356377e-9 - 6.812215158384836e-9im	-0.014089070681306229 - 6.522632447698971e-5im
-1.4546082105423468 + 0.0im	-0.0027738853169272976 - 8.412433327746986e-6im	-8.237205235240015e-9 - 7.143639145438925e-9im	-8.234501040420788e-9 - 7.1453952891064465e-9im	-0.014249973210786296 - 6.834857586027767e-5im
-1.4402061490518285 + 0.0im	-0.0028004136844306483 - 8.797498068893185e-6im	-8.44856181165268e-9 - 7.490067059099629e-9im	-8.445768436399245e-9 - 7.491898006610893e-9im	-0.014412930938521515 - 7.158936238469435e-5im
-1.4259466822295332 + 0.0im	-0.002827180301358939 - 9.195700550195371e-6im	-8.663194182804429e-9 - 7.850218313020125e-9im	-8.660307523550482e-9 - 7.852126079202737e-9im	-0.014577975359851038 - 7.495175642542752e-5im
-1.4118283982470625 + 0.0im	-0.0028541868536433464 - 9.60725948917807e-6im	-8.881074048459818e-9 - 8.224504878408346e-9im	-8.878089820036009e-9 - 8.226491461094116e-9im	-0.014745135333106724 - 7.84388693696086e-5im
