w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	-0.06266257305057696 - 4.128472228985958e-5im	2.5067468719689192e-8 + 1.5574209596694432e-8im	-1.2084126016492922e-8 - 7.500566882780602e-9im	0.033925218253758445 + 3.425453924823718e-5im
-1.9801980198019802 + 0.0im	-0.06331977671457774 - 4.3887993723004764e-5im	5.382286379830647e-8 + 1.6564056549103527e-8im	-2.5932967143287247e-8 - 7.977269692826828e-9im	0.03434178113239631 + 3.64230737691165e-5im
-1.9605920988138417 + 0.0im	-0.06390225503577954 - 4.663055383973471e-5im	5.251013730229848e-8 + 1.7607880382194914e-8im	-2.530095366054749e-8 - 8.479966805478286e-9im	0.034696050693662175 + 3.8708671118409926e-5im
-1.9411802958552888 + 0.0im	-0.0644932937734683 - 4.951812417716761e-5im	5.2537992906237024e-8 + 1.8708019915147757e-8im	-2.531457045517702e-8 - 9.009784526587701e-9im	0.035057148086384764 + 4.1116258778095534e-5im
-1.9219606889656324 + 0.0im	-0.0650908297579498 - 5.25565503405303e-5im	5.3115019667371236e-8 + 1.9866878943021304e-8im	-2.5592672336433193e-8 - 9.567880451503883e-9im	0.03542337942333153 + 4.3650884707877606e-5im
-1.9029313752134975 + 0.0im	-0.06569425925494023 - 5.575179781171123e-5im	5.4000380456655224e-8 + 2.1086926153358655e-8im	-2.601927154423298e-8 - 1.0155443424915284e-8im	0.035794259644576915 + 4.631771527499771e-5im
-1.8840904705084134 + 0.0im	-0.06630334100140987 - 5.910994726579261e-5im	5.5090898516273874e-8 + 2.2370694954637803e-8im	-2.6544677889524885e-8 - 1.0773693458250086e-8im	0.03616960833499442 + 4.9122032865804094e-5im
-1.8654361094142706 + 0.0im	-0.06691796307497594 - 6.263718938773255e-5im	5.633167483667837e-8 + 2.3720783217922825e-8im	-2.714245189561048e-8 - 1.1423881605284472e-8im	0.036549351270933665 + 5.206923317655245e-5im
-1.8469664449646244 + 0.0im	-0.06753808435061405 - 6.633981918313273e-5im	5.769238587692522e-8 + 2.5139852933761853e-8im	-2.779798964100035e-8 - 1.2107289796945877e-8im	0.03693346841922209 + 5.516482218241395e-5im
-1.828679648479826 + 0.0im	-0.06816368033373604 - 7.022422977892279e-5im	5.915269250311587e-8 + 2.6630629787112218e-8im	-2.850149584083327e-8 - 1.2825230636650189e-8im	0.037321963985322316 + 5.841441278525848e-5im
-1.8105739093859663 + 0.0im	-0.06879475248868408 - 7.429690571182145e-5im	6.06995145341524e-8 + 2.819590265383522e-8im	-2.9246669922129675e-8 - 1.3579047157880276e-8im	0.0377148575561186 + 6.182372114248143e-5im
-1.79264743503561 + 0.0im	-0.06943131094975587 - 7.85644157045894e-5im	6.232422688349682e-8 + 2.983852302310347e-8im	-3.0029361450705374e-8 - 1.437011254609698e-8im	0.03811217893150389 + 6.539856268092098e-5im
-1.774898450530307 + 0.0im	-0.07007337247006125 - 8.303340493237091e-5im	6.401976573765932e-8 + 3.156140435088507e-8im	-3.08461651183103e-8 - 1.5199829827471157e-8im	0.038513963306977816 + 6.914484780179036e-5im
-1.7573251985448584 + 0.0im	-0.07072095892859742 - 8.771058678381633e-5im	6.578211880756034e-8 + 3.336752135052189e-8im	-3.1695149671483865e-8 - 1.6069631527334214e-8im	0.03892025019953424 + 7.306857728450046e-5im
-1.739925939153325 + 0.0im	-0.07137409433989991 - 9.260273412418483e-5im	6.760693866529268e-8 + 3.525990922728837e-8im	-3.257422159035422e-8 - 1.6980979301664582e-8im	0.03933108292031487 + 7.7175837399277e-5im
-1.7226989496567575 + 0.0im	-0.0720328057740967 - 9.771667007023968e-5im	6.94907061985833e-8 + 3.724166286470586e-8im	-3.348168593641226e-8 - 1.793536354535467e-8im	0.03974650615217399 + 8.147279474057016e-5im
-1.7056425244126312 + 0.0im	-0.07269712068290012 - 0.00010305925828944817im	7.143202970220699e-8 + 3.9315935971288116e-8im	-3.4416872641900945e-8 - 1.893430298143677e-8im	0.040166567037829254 + 8.59656907954066e-5im
-1.6887549746659716 + 0.0im	-0.0733670676086708 - 0.00010863739283878775im	7.342864872491324e-8 + 4.1485940197300694e-8im	-3.537869307869758e-8 - 1.997934423588315e-8im	0.04059131535695399 + 9.066083626303658e-5im
-1.6720346283821501 + 0.0im	-0.07404267698477271 - 0.00011445798756131876im	7.547914163967766e-8 + 4.375494423202767e-8im	-3.636646263940283e-8 - 2.1072061403034193e-8im	0.041020801343370904 + 9.556460514446702e-5im
-1.6554798300813367 + 0.0im	-0.07472397969037059 - 0.00012052796506159828im	7.758149944922318e-8 + 4.6126272892943886e-8im	-3.73792138660048e-8 - 2.2214055607143466e-8im	0.04145507505263689 + 0.00010068342862273599im
-1.6390889406745908 + 0.0im	-0.07541100560881618 - 0.00012685424528397822im	7.97351150664029e-8 + 4.860330621908893e-8im	-3.8416654427887536e-8 - 2.340695456596254e-8im	0.04189419036919638 + 0.00010602378875706933im
-1.622860337301575 + 0.0im	-0.07610378526377344 - 0.00013344373372081836im	8.193864555343047e-8 + 5.1189478581818206e-8im	-3.9478137638122295e-8 - 2.4652412162709405e-8im	0.04233820032720405 + 0.00011159221201633873im
-1.6067924131698763 + 0.0im	-0.07680235154503408 - 0.00014030330928066118im	8.419111594102041e-8 + 5.388827782696539e-8im	-4.0563194017634855e-8 - 2.595210803318014e-8im	0.0427871593460329 + 0.00011739526267951548im
-1.5908835773959171 + 0.0im	-0.07750673498627299 - 0.00014743981184941335im	8.649156671038563e-8 + 5.670324446327783e-8im	-4.167136153389792e-8 - 2.7307747175159933e-8im	0.043241122781652326 + 0.0001234395361330565im
-1.5751322548474427 + 0.0im	-0.07821696822641566 - 0.00015486002958057507im	8.883909292112808e-8 + 5.963797091277983e-8im	-4.2802204441528134e-8 - 2.872105958767363e-8im	0.043700146770411084 + 0.0001297316520973683im
-1.559536885987567 + 0.0im	-0.0789330798939018 - 0.0001625706859534986im	9.123343448779393e-8 + 6.269610083946616e-8im	-4.395559754131671e-8 - 3.019379994797275e-8im	0.04416428960581192 + 0.00013627824781663523im
-1.5440959267203633 + 0.0im	-0.07965510287200035 - 0.00017057842664155507im	9.367254746800936e-8 + 6.588132857342467e-8im	-4.513055658746318e-8 - 3.17277473344949e-8im	0.04463360681533742 + 0.00014308597124837883im
-1.5288078482379834 + 0.0im	-0.08038306841310053 - 0.0001788898062348967im	9.615597581724529e-8 + 6.919739864812827e-8im	-4.632686207818152e-8 - 3.332470500433694e-8im	0.04510815765837669 + 0.00015016147429110119im
-1.5136711368692906 + 0.0im	-0.08111700395626553 - 0.00018751127486521716im	9.868311077127153e-8 + 7.264810546920634e-8im	-4.754422072946636e-8 - 3.498650023406001e-8im	0.04558800248147719 + 0.0001575114060902367im
-1.4986842939299907 + 0.0im	-0.08185695113595534 - 0.00019644916478250713im	1.0125370781562908e-7 + 7.623729313350761e-8im	-4.878251509894225e-8 - 3.671498423288459e-8im	0.04607320226592737 + 0.00016514240646440455im
-1.483845835574248 + 0.0im	-0.08260293198758681 - 0.00020570967693625284im	1.0386615474091348e-7 + 7.996885541768613e-8im	-5.0040968654956806e-8 - 3.851203213753641e-8im	0.04656381708095835 + 0.0001730610994955601im
-1.4691542926477703 + 0.0im	-0.08335497616004676 - 0.0002152988676158163im	1.0651955221890523e-7 + 8.384673595587246e-8im	-5.1319148377632095e-8 - 4.037954309816237e-8im	0.04705990918096307 + 0.0001812740873281092im
