w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	-0.031368937851584816 - 2.3643411552867608e-5im	1.299149691269735e-8 + 9.229169686497503e-9im	-2.6957682379829237e-8 - 1.917347913643941e-8im	0.07378422358963123 + 8.9922965181922e-5im
-1.9801980198019802 + 0.0im	-0.03171473261694894 - 2.5135559718899825e-5im	2.998348225486369e-8 + 9.818322872887861e-9im	-6.225745010051992e-8 - 2.0397429503016496e-8im	0.07475582839492873 + 9.563995724898328e-5im
-1.9605920988138417 + 0.0im	-0.03201768594744399 - 2.6707701350817544e-5im	2.9156060236872776e-8 + 1.0439899703381043e-8im	-6.053770843227681e-8 - 2.1688738153311464e-8im	0.07556342659611158 + 0.00010166838493019181im
-1.9411802958552888 + 0.0im	-0.03232549877758281 - 2.8363140295155446e-5im	2.912150612686489e-8 + 1.1095337772276168e-8im	-6.046501561852506e-8 - 2.3050391495349662e-8im	0.07638849587764904 + 0.0001080216738464571im
-1.9219606889656324 + 0.0im	-0.032636994266968054 - 3.010525410179997e-5im	2.9411591930883992e-8 + 1.1786118125426144e-8im	-6.106683227092027e-8 - 2.4485466189983214e-8im	0.0772265937724149 + 0.00011471361346479304im
-1.9029313752134975 + 0.0im	-0.03295182968834358 - 3.193749183620011e-5im	2.9883380530119506e-8 + 1.2513765607241488e-8im	-6.204600577017345e-8 - 2.5997129870409785e-8im	0.0780764813846089 + 0.00012175835557485779im
-1.8840904705084134 + 0.0im	-0.03326987243595242 - 3.38633716232888e-5im	3.047596670035848e-8 + 1.3279849181591678e-8im	-6.327620894748099e-8 - 2.758864180737684e-8im	0.07893768557946136 + 0.00012917041220261502im
-1.8654361094142706 + 0.0im	-0.03359106258504964 - 3.588647791920488e-5im	3.115662946551526e-8 + 1.4085982228732832e-8im	-6.468925740035249e-8 - 2.9263353524488683e-8im	0.07981004675867032 + 0.0001369646529703792im
-1.8469664449646244 + 0.0im	-0.03391537823963928 - 3.801045850791786e-5im	3.190749679221694e-8 + 1.4933822820844587e-8im	-6.624817636543426e-8 - 3.102470936898006e-8im	0.08069351471370421 + 0.000145156301917235im
-1.828679648479826 + 0.0im	-0.03424281306159288 - 4.0239021220942455e-5im	3.271672897485653e-8 + 1.582507397923622e-8im	-6.792831610306938e-8 - 3.2876247044307094e-8im	0.0815881354245303 + 0.00015376093379884477im
-1.8105739093859663 + 0.0im	-0.03457337161899476 - 4.257593037948789e-5im	3.357667311638213e-8 + 1.6761483916776762e-8im	-6.971377661651061e-8 - 3.4821598111939285e-8im	0.08249398256581844 + 0.00016279446989098546im
-1.79264743503561 + 0.0im	-0.03490706433996711 - 4.5025002959617255e-5im	3.4481903178433475e-8 + 1.774484626962058e-8im	-7.15932732661632e-8 - 3.6864488470804446e-8im	0.08341114343957878 + 0.00017227317332677028im
-1.774898450530307 + 0.0im	-0.03524390595541107 - 4.759010448228784e-5im	3.5428705535928924e-8 + 1.877700032283093e-8im	-7.355912252998539e-8 - 3.900873882394562e-8im	0.08433973534697028 + 0.00018221364400341638im
-1.7573251985448584 + 0.0im	-0.035583913509041686 - 5.0275144631504244e-5im	3.641410332684929e-8 + 1.985983123505144e-8im	-7.560510594312106e-8 - 4.1258265143084134e-8im	0.08527989563299576 + 0.00019263281310058703im
-1.739925939153325 + 0.0im	-0.035927106114381484 - 5.308407260523855e-5im	3.7435825295228826e-8 + 2.0995270267934647e-8im	-7.772672432419417e-8 - 4.3617079142946354e-8im	0.0862317574928373 + 0.00020354793725878623im
-1.7226989496567575 + 0.0im	-0.036273503782437024 - 5.6020872205245944e-5im	3.849262733949411e-8 + 2.2185295026608158e-8im	-7.992075249563192e-8 - 4.6089288778396414e-8im	0.08719546536737878 + 0.0002149765924729578im
-1.7056425244126312 + 0.0im	-0.036623129312399305 - 5.908955667343139e-5im	3.958286696382276e-8 + 2.3431929718035297e-8im	-8.218443561260757e-8 - 4.8679098778617415e-8im	0.08817117935725678 + 0.00022693666776337876im
-1.6887549746659716 + 0.0im	-0.036976003476604256 - 6.2294163283993e-5im	4.0705423354418125e-8 + 2.4737245434710845e-8im	-8.451519426197914e-8 - 5.13908112337941e-8im	0.08915904298948496 + 0.0002394463586930613im
-1.6720346283821501 + 0.0im	-0.03733214975391449 - 6.563874770217399e-5im	4.185971504660588e-8 + 2.6103360471717113e-8im	-8.691185896252006e-8 - 5.42288262509659e-8im	0.09015922032911326 + 0.00025252416080823534im
