w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-2.0 + 0.0im	-0.4641672077835625 - 0.0003058127578379171im	1.8568484557275325e-7 + 1.1536451116352483e-7im	1.8590994917619363e-7 + 1.1539335883924008e-7im	-0.5219264346764494 - 0.0005269929117842119im
-1.9801980198019802 + 0.0im	-0.4690353830727119 - 0.0003250962499409711im	3.986877622799372e-7 + 1.2269671020080346e-7im	3.989690861982817e-7 + 1.2272724922237782e-7im	-0.528335094348322 - 0.0005603549813498113im
-1.9605920988138417 + 0.0im	-0.4733500373038303 - 0.000345411510070823im	3.8896386104815466e-7 + 1.3042873794497831e-7im	3.89245801934389e-7 + 1.3046105199424962e-7im	-0.5337853952908687 - 0.0005955180175070358im
-1.9411802958552888 + 0.0im	-0.4777281020274571 - 0.0003668009199839133im	3.8917019724321176e-7 + 1.3857791898111528e-7im	3.894552931201563e-7 + 1.3861209493871362e-7im	-0.5393407397943113 - 0.0006325578276709584im
-1.9219606889656324 + 0.0im	-0.4821542945051089 - 0.0003893077804597107im	3.9344446779141625e-7 + 1.4716205919708668e-7im	3.9373378644416654e-7 + 1.4719818721653472e-7im	-0.544975068055059 - 0.0006715520727601295im
-1.9029313752134975 + 0.0im	-0.4866241426309776 - 0.0004129762802529547im	4.000026940204767e-7 + 1.5619944516582195e-7im	4.002968544764462e-7 + 1.562376187475939e-7im	-0.5506809176127143 - 0.0007125802353475258im
-1.8840904705084134 + 0.0im	-0.4911358592715091 - 0.0004378514614013017im	4.080806036755673e-7 + 1.657088428745795e-7im	4.08380032617492e-7 + 1.657491589401197e-7im	-0.5564555128499435 - 0.0007557235829154519im
-1.8654361094142706 + 0.0im	-0.49568861537201503 - 0.0004639791808303796im	4.172715374409417e-7 + 1.7570949581125242e-7im	4.1757655960641955e-7 + 1.757520547769703e-7im	-0.5622977118644336 - 0.0008010651261755644im
-1.8469664449646244 + 0.0im	-0.5002821063026852 - 0.0004914060682113216im	4.273508765021313e-7 + 1.8622112242287668e-7im	4.2766175968183773e-7 + 1.86266028274145e-7im	-0.5682072064535275 - 0.0008486895724382102im
-1.828679648479826 + 0.0im	-0.5049161506221259 - 0.0005201794800399152im	4.3816796061357767e-7 + 1.9726391296692962e-7im	4.384849361236756e-7 + 1.9731127333212622e-7im	-0.5741840613166515 - 0.0008986832740398825im
-1.8105739093859663 + 0.0im	-0.5095907591773159 - 0.0005503474499214953im	4.496258995487261e-7 + 2.08858525781667e-7im	4.4994915702012073e-7 + 2.089084520063159e-7im	-0.580228577790485 - 0.0009511341718636127im
-1.79264743503561 + 0.0im	-0.5143060070371266 - 0.0005819586350617095im	4.616608037806295e-7 + 2.2102608300765905e-7im	4.6199056952357936e-7 + 2.210786902287481e-7im	-0.5863412143349204 - 0.0010061317340146335im
-1.774898450530307 + 0.0im	-0.5190620182986683 - 0.0006150622589801569im	4.7422034876745903e-7 + 2.337881657987895e-7im	4.7455678426631676e-7 + 2.3384357301934385e-7im	-0.5925225124191813 - 0.0010637668897424072im
-1.7573251985448584 + 0.0im	-0.5238589550285866 - 0.0006497080504816655im	4.872748138515328e-7 + 2.471668090672842e-7im	4.876180896489732e-7 + 2.472251392313098e-7im	-0.5987730799970202 - 0.001124131958730207im
-1.739925939153325 + 0.0im	-0.5286969951123294 - 0.0006859461789385403im	5.007919958651692e-7 + 2.6118449581377824e-7im	5.011422776676305e-7 + 2.61245875881695e-7im	-0.605093583393694 - 0.0011873205759046152im
-1.7226989496567575 + 0.0im	-0.5335763390693644 - 0.0007238271859564458im	5.147458273119819e-7 + 2.758641511000174e-7im	5.151032723407394e-7 + 2.759287121247301e-7im	-0.6114847100377301 - 0.0012534276119495077im
-1.7056425244126312 + 0.0im	-0.5384971902457076 - 0.0007634019135166342im	5.291259992662493e-7 + 2.912291357284631e-7im	5.294907649297143e-7 + 2.9129701293222396e-7im	-0.6179471852017074 - 0.0013225490897422457im
-1.6887549746659716 + 0.0im	-0.5434597600662536 - 0.0008047214287078402im	5.439157676465231e-7 + 3.0730323969976595e-7im	5.442880073066233e-7 + 3.073745725520262e-7im	-0.6244817747267537 - 0.0013947820969636348im
-1.6720346283821501 + 0.0im	-0.5484642739633273 - 0.0008478369451823771im	5.591046018839618e-7 + 3.241106755258616e-7im	5.594844670473331e-7 + 3.241856078223038e-7im	-0.6310892514409121 - 0.0014702246951676559im
-1.6554798300813367 + 0.0im	-0.5535109606714824 - 0.0008927997414925305im	5.74677620519441e-7 + 3.416760714831024e-7im	5.750652601798188e-7 + 3.417547514260843e-7im	-0.6377703854296716 - 0.0015489758256318471im
-1.6390889406745908 + 0.0im	-0.5586000415488802 - 0.0009396610764853631im	5.906303266128057e-7 + 3.6002446489650974e-7im	5.910258893084242e-7 + 3.6010704517716783e-7im	-0.6445260056844855 - 0.0016311352123443324im
-1.622860337301575 + 0.0im	-0.5637317426967353 - 0.000988472101956149im	6.069527724788589e-7 + 3.79181295552753e-7im	6.073564054015106e-7 + 3.7926793343502913e-7im	-0.6513569281154254 - 0.001716803262518547im
-1.6067924131698763 + 0.0im	-0.5689063077431338 - 0.0010392837727829906im	6.236377361248366e-7 + 3.991723993457975e-7im	6.240495857023991e-7 + 3.992632567526862e-7im	-0.6582639899436152 - 0.0018060809650617664im
-1.5908835773959171 + 0.0im	-0.5741239628634455 - 0.0010921467547874329im	6.406781100063022e-7 + 4.2002400226532305e-7im	6.410983220168241e-7 + 4.201192458676392e-7im	-0.6652480427993525 - 0.0018990697874579868im
-1.5751322548474427 + 0.0im	-0.5793849498274893 - 0.0011471113305880065im	6.580671908631621e-7 + 4.417627148438599e-7im	6.58495910568121e-7 + 4.418625161518725e-7im	-0.6723099503187724 - 0.0019958715715596275im
-1.559536885987567 + 0.0im	-0.5846894806977811 - 0.0012042273037354849im	6.758030521384871e-7 + 4.644155271841545e-7im	6.76240425213593e-7 + 4.6452006264242917e-7im	-0.6794506093249935 - 0.0020965884288157164im
-1.5440959267203633 + 0.0im	-0.5900377990540911 - 0.0012635439014400348im	6.938705535211361e-7 + 4.880098046934173e-7im	6.943167237078652e-7 + 4.881192557792378e-7im	-0.6866708740869798 - 0.002201322635495847im
-1.5288078482379834 + 0.0im	-0.595430136395598 - 0.001325109676221314im	7.122663169057136e-7 + 5.125732846558528e-7im	7.127214290989138e-7 + 5.12687837981627e-7im	-0.6939716562876391 - 0.002310176528500067im
-1.5136711368692906 + 0.0im	-0.6008666959746227 - 0.0013889724068326206im	7.309858329295792e-7 + 5.381340737791271e-7im	7.314500293245539e-7 + 5.382539211991671e-7im	-0.7013538843353945 - 0.002423252402373555im
-1.4986842939299907 + 0.0im	-0.6063477861945722 - 0.0014551789988294552im	7.500272903771306e-7 + 5.647206468540915e-7im	7.505007175769391e-7 + 5.648459855762065e-7im	-0.7088184964039149 - 0.0025406524081720157im
-1.483845835574248 + 0.0im	-0.6118735702807561 - 0.0015237753851709863im	7.69378746958974e-7 + 5.923618466702413e-7im	7.698615472138004e-7 + 5.924928793725738e-7im	-0.716366416635216 - 0.002662478454848628im
-1.4691542926477703 + 0.0im	-0.6174442678545585 - 0.001594806427259902im	7.89033540987164e-7 + 6.210868853318001e-7im	7.895258563893224e-7 + 6.212238202853645e-7im	-0.7239986027891908 - 0.0027888321138558147im
-1.4546082105423468 + 0.0im	-0.6230601449313169 - 0.001668315816841664im	8.089882019718282e-7 + 6.509253471211156e-7im	8.09490177939268e-7 + 6.510683983184955e-7im	-0.7317160206796653 - 0.0029198145276747964im
-1.4402061490518285 + 0.0im	-0.6287214126752503 - 0.0017443459791982247im	8.292369204263891e-7 + 6.819071930570474e-7im	8.297486999027395e-7 + 6.820565803477283e-7im	-0.7395196592875032 - 0.0030555263230028443im
-1.4259466822295332 + 0.0im	-0.6344282964187279 - 0.0018229379780836312im	8.497719903401426e-7 + 7.14062767296265e-7im	8.502937163671167e-7 + 7.142187165290746e-7im	-0.7474105064109146 - 0.003196067529341687im
-1.4118283982470625 + 0.0im	-0.6401810235679167 - 0.0019041314228594023im	8.705887324932106e-7 + 7.474228055247496e-7im	8.71120548335525e-7 + 7.475855486978878e-7im	-0.7553895880369256 - 0.003341537503740865im
-1.3978498992545174 + 0.0im	-0.6459798109039784 - 0.001987964378295997im	8.916797615734979e-7 + 7.820184454853273e-7im	8.922218100473896e-7 + 7.821882209044642e-7im	-0.7634579015632347 - 0.0034920348624562893im
-1.3840098012420965 + 0.0im	-0.6518248942947978 - 0.0020744732775130614im	9.130388684397184e-7 + 8.178812397846757e-7im	9.135912922118971e-7 + 8.180582922295931e-7im	-0.771616506786665 - 0.003647657420287181im
-1.370306733903066 + 0.0im	-0.657716474722358 - 0.0021636928385351im	9.346595617969154e-7 + 8.550431711199038e-7im	9.352247141088603e-7 + 8.552277520201524e-7im	-0.7798664583617181 - 0.0038085021383530144im
-1.356739340498085 + 0.0im	-0.6636547644489 - 0.0022556559849407297im	9.565367060112484e-7 + 8.935366700605968e-7im	9.571103074869685e-7 + 8.937290376806177e-7im	-0.7882088127134973 - 0.003974665081066756im
-1.3433062777208762 + 0.0im	-0.6696400483725978 - 0.0023503937710827928im	9.786650135520038e-7 + 9.333946355168875e-7im	9.792494166490638e-7 + 9.335950551510519e-7im	-0.7966446629939483 - 0.004146241383050626im
-1.330006215565224 + 0.0im	-0.6756724728741234 - 0.002447935312352763im	1.001033694824329e-6 + 9.746504580179955e-7im	1.0016290416614204e-6 + 9.748592021959706e-7im	-0.8051751005859604 - 0.004323325226726214im
-1.316837837193291 + 0.0im	-0.681752280841988 - 0.0025483077209565207im	1.023642219203236e-6 + 1.0173380459183917e-6im	1.024248651805244e-6 + 1.017555394621245e-6im	-0.8138012666122667 - 0.004506009831291687im
-1.3037998388052385 + 0.0im	-0.6878796896972258 - 0.0026515360476591578im	1.0464837340708248e-6 + 1.061491854640637e-6im	1.0471013912847824e-6 + 1.061718095528029e-6im	-0.8225242863912731 - 0.00469438745377518im
-1.2908909295101372 + 0.0im	-0.6940549231968908 - 0.002757643229944257im	1.0695489217589627e-6 + 1.1071469190547516e-6im	1.0701779442750144e-6 + 1.1073823477035746e-6im	-0.8313453062639288 - 0.004888549402824689im
-1.2781098311981556 + 0.0im	-0.7002781679020466 - 0.0028666500470176494im	1.092830367289258e-6 + 1.154338889083967e-6im	1.0934708946959998e-6 + 1.154583809238695e-6im	-0.8402654940223638 - 0.005088586065861932im
-1.2654552784140154 + 0.0im	-0.7065496708955183 - 0.002978575082067509im	1.1163280791897524e-6 + 1.2031040686156554e-6im	1.1169802476743681e-6 + 1.2033587924506874e-6im	-0.8492860605239327 - 0.0052945869501892845im
-1.2529260182316984 + 0.0im	-0.712869635208852 - 0.0030934346921710123im	1.1400350906963328e-6 + 1.2534794577844828e-6im	1.1406990403784923e-6 + 1.2537443061786394e-6im	-0.8584081931306522 - 0.005506640738596464im
-1.2405208101303944 + 0.0im	-0.7192382752662037 - 0.003211242986213498im	1.1639514333452272e-6 + 1.3055027986820788e-6im	1.1646273007000174e-6 + 1.305778101505423e-6im	-0.8676331281503576 - 0.005724835359966416im
-1.2282384258716776 + 0.0im	-0.7256558060693592 - 0.0033320118111583035im	1.188066300055915e-6 + 1.3592126245341963e-6im	1.1887542228273313e-6 + 1.359498720947254e-6im	-0.8769621825333181 - 0.005949258075328084im
-1.2160776493778986 + 0.0im	-0.7321224375124589 - 0.0034557507469751645im	1.212373325951831e-6 + 1.4146483123721917e-6im	1.2130734350909393e-6 + 1.414945551137557e-6im	-0.8863965245301858 - 0.0061799955797478935im
-1.2040372766117808 + 0.0im	-0.7386383864904126 - 0.0035824671105011805im	1.2368763104777226e-6 + 1.4718501392109865e-6im	1.2375887409046221e-6 + 1.4721588790172764e-6im	-0.895937529156768 - 0.00641713412039194im
