-2.0	5.671253571471783e-15	2.5953258350635595e-16	-1.7170121641693518e-15	-4.182309593863919e-15
-1.98019801980198	5.838786503666943e-15	2.7398719397065436e-16	-1.7737265344875358e-15	-4.298352507122302e-15
-1.96059209881384	6.062201748309501e-15	2.9256346459001906e-16	-1.8582036069641842e-15	-4.477239112087061e-15
-1.94118029585529	6.29099774262979e-15	3.116470596123045e-16	-1.9446621277943638e-15	-4.6608695862247085e-15
-1.92196068896563	6.526736491190733e-15	3.313184055381814e-16	-2.0337976576417895e-15	-4.851087796449755e-15
-1.9029313752135	6.77004902554644e-15	3.51597637092601e-16	-2.1258764073105795e-15	-5.0486242407411936e-15
-1.88409047050841	7.021388072702089e-15	3.724834679705029e-16	-2.221052043892074e-15	-5.253950216620333e-15
-1.86543610941427	7.28114976730904e-15	3.9397425540684416e-16	-2.319444652351111e-15	-5.467678271921582e-15
-1.84696644496462	7.549652521188863e-15	4.160586737879364e-16	-2.4211530846763818e-15	-5.690242315916893e-15
-1.82867964847983	7.827310658349687e-15	4.387180331726895e-16	-2.5262744481294604e-15	-5.921956615170688e-15
-1.81057390938597	8.11448140455729e-15	4.619410349972302e-16	-2.634895478586653e-15	-6.163541258065844e-15
-1.79264743503561	8.411559042575969e-15	4.857011823024138e-16	-2.7471022845941445e-15	-6.415051050546509e-15
-1.77489845053031	8.718904366612805e-15	5.099796243792212e-16	-2.8629807096132287e-15	-6.677506507791855e-15
-1.75732519854486	9.03691916098169e-15	5.347453241364575e-16	-2.9826163096182144e-15	-6.951025473011934e-15
-1.73992593915333	9.366027062367947e-15	5.5997234521342955e-16	-3.1060920771444584e-15	-7.236367626642734e-15
-1.72269894965676	9.706692020953243e-15	5.856243554227932e-16	-3.2334986725364004e-15	-7.53400772834372e-15
-1.70564252441263	1.0059233565717461e-14	6.116669522932129e-16	-3.3649084283722754e-15	-7.844483348115448e-15
-1.68875497466597	1.0424301842472855e-14	6.380544935594242e-16	-3.500417700511964e-15	-8.168376422628051e-15
-1.67203462838215	1.0802173961458557e-14	6.647488528352802e-16	-3.640107892143651e-15	-8.506488697497213e-15
-1.65547983008134	1.1193584093917768e-14	6.917017997085736e-16	-3.784068179095738e-15	-8.85936070848159e-15
-1.63908894067459	1.1598795082381571e-14	7.188579545541496e-16	-3.932380515787817e-15	-9.227739239069747e-15
-1.62286033730158	1.2018483318316865e-14	7.461679294743167e-16	-4.08513521360914e-15	-9.612256308512161e-15
-1.60679241316988	1.2453337943433058e-14	7.735760371731104e-16	-4.2424158450496296e-15	-1.0013900897658351e-14
-1.59088357739592	1.2903621817219619e-14	8.010141007912579e-16	-4.404310283031051e-15	-1.0432747294511056e-14
-1.57513225484744	1.3370196176707107e-14	8.284201110581165e-16	-4.5709144655995e-15	-1.0870638164319618e-14
-1.55953688598757	1.385356287783389e-14	8.557216129635449e-16	-4.7422989420187865e-15	-1.13275683767166e-14
-1.54409592672036	1.4354331649140023e-14	8.828499557351295e-16	-4.918573477371829e-15	-1.1804629507385308e-14
-1.52880784823798	1.4873161991469463e-14	9.097295048715531e-16	-5.0998118166669104e-15	-1.2302939631176829e-14
-1.51367113686929	1.5410749760634634e-14	9.362655374966656e-16	-5.2861163683281125e-15	-1.2823161380078564e-14
-1.49868429392999	1.5967777998893316e-14	9.623919261863662e-16	-5.4775614528481716e-15	-1.3366553490324805e-14
-1.48384583557425	1.6544913762972564e-14	9.880069370442404e-16	-5.674246742844177e-15	-1.3933707463498657e-14
-1.46915429264777	1.7143142426730014e-14	1.013030907284426e-15	-5.876267497255493e-15	-1.4525629736287422e-14
-1.45460821054235	1.776314140649984e-14	1.0373566315794068e-15	-6.0837060703056035e-15	-1.5143710637823896e-14
-1.44020614905183	1.8405328494429357e-14	1.0608841148565918e-15	-6.296661070310072e-15	-1.5789221088114378e-14
-1.42594668222953	1.9070770615128324e-14	1.0835116156496806e-15	-6.515233501943785e-15	-1.6462665115295088e-14
-1.41182839824706	1.9760048499445696e-14	1.105142945973517e-15	-6.739483066287321e-15	-1.7165448676583967e-14
-1.39784989925452	2.047478862868692e-14	1.1256572859967722e-15	-6.96953227251747e-15	-1.789919107763712e-14
-1.3840098012421	2.12145958441111e-14	1.1449431927526848e-15	-7.205476497480418e-15	-1.8663863212780397e-14
-1.37030673390307	2.198132056739428e-14	1.1628644021238943e-15	-7.447398863173533e-15	-1.946259406222344e-14
-1.35673934049808	2.2775453338447433e-14	1.1793442019650803e-15	-7.695390112116641e-15	-2.0294617830744452e-14
-1.34330627772088	2.3598413624275898e-14	1.194228463592076e-15	-7.949548620566097e-15	-2.1162912367372304e-14
-1.33000621556522	2.4450084330546676e-14	1.207390707851677e-15	-8.209974315732107e-15	-2.2068384181972564e-14
-1.31683783719329	2.5332458111542512e-14	1.2187158031148983e-15	-8.476787412922963e-15	-2.3012246663252452e-14
-1.30379983880524	2.6246070388928403e-14	1.228056233385103e-15	-8.750073449399644e-15	-2.399547272207927e-14
-1.29089092951014	2.7191754913503417e-14	1.2353216788082903e-15	-9.029938898942157e-15	-2.5020718216541612e-14
-1.27810983119816	2.817078064199068e-14	1.240322889124231e-15	-9.316473401714475e-15	-2.6089058264774342e-14
-1.26545527841402	2.918442403548331e-14	1.2429228824845046e-15	-9.609823617986895e-15	-2.720136131747644e-14
-1.2529260182317	3.023332275651156e-14	1.2430264179521663e-15	-9.910109273881061e-15	-2.8359524614085543e-14
-1.24052081013039	3.131923266282089e-14	1.2404613690296413e-15	-1.0217411307225961e-14	-2.956565334295519e-14
