w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-1.5288078482379834 + 0.0im	-0.06160096320328913 - 0.00045016369892665885im	2.2654363525333835e-5 + 1.8278002294038098e-5im	-2.2654381646068186e-5 - 1.8278334987591045e-5im	0.07256487046462667 + 0.0008155147157916169im
-1.5136711368692906 + 0.0im	-0.0621846734932564 - 0.00047176164516122643im	2.3226116929932938e-5 + 1.9186202750297432e-5im	-2.3226128658359314e-5 - 1.9186549309542692e-5im	0.07337402372998637 + 0.0008554125829328854im
-1.4986842939299907 + 0.0im	-0.06277342132735773 - 0.0004941486659429465im	2.3806233894446202e-5 + 2.0130952724540995e-5im	-2.3806238734472528e-5 - 2.0131313535643863e-5im	0.07419279285619211 + 0.0008968469515756501im
-1.483845835574248 + 0.0im	-0.06336721952854592 - 0.0005173402285714893im	2.4394351680456716e-5 + 2.1113311478823663e-5im	-2.439434911536918e-5 - 2.111368692878261e-5im	0.07502128491510093 + 0.0009398557785845429im
-1.4691542926477703 + 0.0im	-0.06396609580551503 - 0.0005413514593077107im	2.4990254122369303e-5 + 2.2134355468368535e-5im	-2.4990243603464924e-5 - 2.2134745944466656e-5im	0.07585961692478146 + 0.0009844771070554488im
-1.4546082105423468 + 0.0im	-0.06457007065979041 - 0.0005661971126172015im	2.5593602240975277e-5 + 2.319517871251965e-5im	-2.5593583192127657e-5 - 2.3195584601754572e-5im	0.07670789719609523 + 0.0010307490477879499im
-1.4402061490518285 + 0.0im	-0.06517915868735427 - 0.0005918915409481982im	2.620405023854736e-5 + 2.42968932334628e-5im	-2.6204022060025243e-5 - 2.4297314921955773e-5im	0.07756623855928804 + 0.001078709762933312im
-1.4259466822295332 + 0.0im	-0.06579337751569803 - 0.0006184486651909923im	2.6821289625487845e-5 + 2.5440629567633703e-5im	-2.682125169880001e-5 - 2.5441067440018243e-5im	0.07843475428665223 + 0.0011283974520822533im
-1.4118283982470625 + 0.0im	-0.06641275173680623 - 0.0006458819459688045im	2.7445017153526953e-5 + 2.6627537354682253e-5im	-2.744496880913981e-5 - 2.6627991793473203e-5im	0.0793135628257907 + 0.0011798503410598066im
-1.3978498992545174 + 0.0im	-0.0670372992568026 - 0.0006742043559122609im	2.807487615454037e-5 + 2.785878600878685e-5im	-2.807481670619628e-5 - 2.785925739372978e-5im	0.08020278111311327 + 0.0012331066736965546im
