w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	-0.15409684679641525 - 6.13523312629872e-5im	1.4495978748138039e-5 + 2.7755126770913673e-8im	1.445495483915179e-5 + 1.583644204125791e-8im	-0.08185283407232 - 2.871845621014014e-5im
-1.9801980198019802 + 0.0im	-0.15547586177180184 - 6.537546904870384e-5im	1.4680915991931534e-5 + 2.9538037875731695e-8im	1.461743913794486e-5 + 1.6854089540036286e-8im	-0.0826455461447558 - 3.0960325812313166e-5im
-1.9605920988138417 + 0.0im	-0.15674463911348246 - 6.961962586314671e-5im	1.481336398786399e-5 + 3.141827424525165e-8im	1.4750438766872848e-5 + 1.792710891329811e-8im	-0.08338866725412644 - 3.333799242485337e-5im
-1.9411802958552888 + 0.0im	-0.15802695341179063 - 7.409400150185037e-5im	1.494930537697382e-5 + 3.3399955968998006e-8im	1.488589874835269e-5 + 1.9057820522836556e-8im	-0.08414025025024502 - 3.5857443321284704e-5im
-1.9219606889656324 + 0.0im	-0.15931971540417722 - 7.880798943274267e-5im	1.5087337438007257e-5 + 3.5487302271866304e-8im	1.502302120795314e-5 + 2.0248598254535332e-8im	-0.08489889215377582 - 3.852479726027493e-5im
-1.9029313752134975 + 0.0im	-0.1606220082705696 - 8.377116880343717e-5im	1.522703766814971e-5 + 3.768462944813986e-8im	1.5161567527781366e-5 + 2.1501868138286934e-8im	-0.08566419353692976 - 4.1346299280324895e-5im
-1.8840904705084134 + 0.0im	-0.1619334020793117 - 8.899329554913045e-5im	1.536822698380092e-5 + 3.9996348498639906e-8im	1.530143795123428e-5 + 2.2820106790010765e-8im	-0.08643600327711737 - 4.4328314909875344e-5im
-1.8654361094142706 + 0.0im	-0.16325375331791123 - 9.448429258424695e-5im	1.5510813988231923e-5 + 4.242696246736275e-8im	1.54425821890794e-5 + 2.4205839673553612e-8im	-0.08721426054580722 - 4.747732378451489e-5im
-1.8469664449646244 + 0.0im	-0.1645829012497744 - 0.00010025423906392287im	1.5654749915837998e-5 + 4.4981063475196205e-8im	1.558497644126211e-5 + 2.5661639180970137e-8im	-0.0879989408764014 - 5.079991266518595e-5im
-1.828679648479826 + 0.0im	-0.16592082525932172 - 0.00010631335870460299im	1.580000477536692e-5 + 4.7663329449629795e-8im	1.5728604303072727e-5 + 2.7190122530445572e-8im	-0.08879005096218733 - 5.430276785365791e-5im
-1.8105739093859663 + 0.0im	-0.1672674733603061 - 0.00011267200715645896im	1.594656057293163e-5 + 5.047852055078199e-8im	1.5873458395668434e-5 + 2.8793949481935443e-8im	-0.08958759840390487 - 5.7992667004072874e-5im
-1.79264743503561 + 0.0im	-0.1686228230922556 - 0.00011934065842398515im	1.609440652509662e-5 + 5.34314752955558e-8im	1.6019534897516163e-5 + 3.04758198714591e-8im	-0.09039160263073094 - 6.187647033206037e-5im
-1.774898450530307 + 0.0im	-0.16998686034685193 - 0.0001263298903350249im	1.6243535725478e-5 + 5.652710638329829e-8im	1.6166832099908553e-5 + 3.223847096588536e-8im	-0.09120208627880526 - 6.596111122575796e-5im
-1.7573251985448584 + 0.0im	-0.1713595788604499 - 0.0001336503690625812im	1.639394536480727e-5 + 5.977039622797579e-8im	1.631535071532835e-5 + 3.408467464099869e-8im	-0.09201907579575584 - 7.025358626605917e-5im
-1.739925939153325 + 0.0im	-0.1727409739948893 - 0.000141312832708075im	1.654563346107913e-5 + 6.316639220357995e-8im	1.6465091833016657e-5 + 3.6017234386616846e-8im	-0.09284259831838922 - 7.476094466652569e-5im
