w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-2.0 + 0.0im	0.020110323870924797 + 0.000864393494161695im	0.001465285772179687 - 3.6100064082509586e-5im	0.0014652857721796442 - 3.610006408251076e-5im	0.020110323870924877 + 0.0008643934941616998im
-1.9801980198019802 + 0.0im	0.022080114816501323 + 0.0009156499430150689im	0.0014141036855466126 - 3.8228928801363505e-5im	0.0014141036855465673 - 3.822892880136475e-5im	0.02208011481650142 + 0.0009156499430150744im
-1.9605920988138417 + 0.0im	0.02239031214780197 + 0.0009696241347613747im	0.00143270836509992 - 4.0472597630091493e-5im	0.001432708365099874 - 4.0472597630092815e-5im	0.022390312147802054 + 0.00096962413476138im
-1.9411802958552888 + 0.0im	0.022783367107773567 + 0.001026439952293581im	0.0014483410281097286 - 4.283667108990697e-5im	0.0014483410281096822 - 4.2836671089908316e-5im	0.02278336710777367 + 0.0010264399522935865im
-1.9219606889656324 + 0.0im	0.023215381005343573 + 0.0010862258847520135im	0.0014628447171475482 - 4.532699457361442e-5im	0.0014628447171475024 - 4.532699457361582e-5im	0.023215381005343667 + 0.0010862258847520198im
-1.9029313752134975 + 0.0im	0.023673132654634128 + 0.0011491151653841105im	0.0014767810068686 - 4.794966776746377e-5im	0.0014767810068685525 - 4.794966776746527e-5im	0.023673132654634225 + 0.0011491151653841168im
-1.8840904705084134 + 0.0im	0.024151008702579087 + 0.0012152459143859426im	0.0014903940037527216 - 5.071105435079413e-5im	0.0014903940037526745 - 5.07110543507957e-5im	0.0241510087025792 + 0.0012152459143859493im
-1.8654361094142706 + 0.0im	0.02464619468256707 + 0.0012847612871119056im	0.001503810821026592 - 5.3617791971638286e-5im	0.0015038108210265442 - 5.361779197163999e-5im	0.024646194682567166 + 0.0012847612871119127im
-1.8469664449646244 + 0.0im	0.025157148554690336 + 0.0013578096280653475im	0.0015171057736942863 - 5.66768024949737e-5im	0.001517105773694238 - 5.667680249497542e-5im	0.025157148554690447 + 0.001357809628065354im
-1.828679648479826 + 0.0im	0.025682983397795893 + 0.0014345446311093528im	0.0015303260695959105 - 5.9895302518652105e-5im	0.0015303260695958612 - 5.9895302518653975e-5im	0.025682983397796004 + 0.0014345446311093608im
-1.8105739093859663 + 0.0im	0.026223192685749627 + 0.001515125506363402im	0.001543503212843991 - 6.328081415021523e-5im	0.0015435032128439418 - 6.328081415021707e-5im	0.026223192685749734 + 0.0015151255063634095im
