w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-1.4986842939299907 + 0.0im	0.03926805192620791 + 0.004035574135213309im	0.0017999028263872112 - 0.00017236568065675628im	0.001799902826387283 - 0.00017236568065675202im	0.03926805192620809 + 0.004035574135213328im
-1.483845835574248 + 0.0im	0.04011591007474499 + 0.004236863106091158im	0.001814117024763107 - 0.00018125620245612194im	0.0018141170247631786 - 0.00018125620245611776im	0.04011591007474518 + 0.004236863106091181im
-1.4691542926477703 + 0.0im	0.040981921148600726 + 0.004447012656484229im	0.0018284404532419119 - 0.0001905630054711547im	0.0018284404532419843 - 0.00019056300547115032im	0.04098192114860091 + 0.004447012656484251im
-1.4546082105423468 + 0.0im	0.041866421389562126 + 0.004666366489385881im	0.0018428806586564346 - 0.00020030328789798674im	0.001842880658656508 - 0.00020030328789798213im	0.04186642138956235 + 0.004666366489385903im
-1.4402061490518285 + 0.0im	0.04276975298532606 + 0.004895280890097663im	0.0018574457399369603 - 0.00021049481218489595im	0.0018574457399370332 - 0.0002104948121848912im	0.04276975298532628 + 0.004895280890097685im
-1.4259466822295332 + 0.0im	0.0436922604647298 + 0.005134125239476931im	0.0018721435286075164 - 0.00022115591150595983im	0.0018721435286075906 - 0.00022115591150595506im	0.04369226046472999 + 0.005134125239476953im
-1.4118283982470625 + 0.0im	0.04463430033286802 + 0.005383282549239415im	0.001886983583862722 - 0.00023230549508439962im	0.0018869835838627982 - 0.00023230549508439468im	0.04463430033286824 + 0.00538328254923944im
-1.3978498992545174 + 0.0im	0.045596233212679915 + 0.005643150019659359im	0.0019019755550174291 - 0.00024396305223221352im	0.0019019755550175059 - 0.0002439630522322083im	0.045596233212680165 + 0.005643150019659381im
-1.3840098012420965 + 0.0im	0.0465784230849646 + 0.0059141396199390685im	0.0019171299457194889 - 0.000256148654965264im	0.0019171299457195659 - 0.00025614865496525883im	0.04657842308496485 + 0.005914139619939096im
-1.370306733903066 + 0.0im	0.047581242259450686 + 0.0061966786914423085im	0.001932458250578527 - 0.0002688829590454947im	0.001932458250578605 - 0.00026888295904548936im	0.04758124225945094 + 0.006196678691442337im
